Element 1: (1, (1, 10), ['%', '%', 'F', '.'], [(13, 2), (1, 13), (10, 4)], [True, True, False, False], 98, False, [False, False, False, True], 9, 'North', (1, 11))
Element 2: (1, (1, 11), ['%', '', 'G', 'F'], [(14, 2), (1, 12), (10, 5)], [True, False, False, False], 96, False, [False, False, False, False], 2028, 'East', (2, 11))
Element 3: (1, (2, 11), ['', '.', 'G', '%'], [(14, 3), (2, 12), (9, 5)], [False, False, False, True], 94, False, [False, True, False, False], 3057, 'South', (2, 10))
Element 4: (1, (2, 10), ['', '%', '', '.'], [(14, 4), (3, 12), (9, 6)], [False, True, False, False], 92, False, [False, False, False, True], 3096, 'East', (3, 10))
Element 5: (1, (3, 10), ['', '%', '%', '.'], [(15, 4), (4, 12), (9, 7)], [False, True, True, False], 90, False, [False, False, False, True], 3135, 'East', (4, 10))
Element 6: (1, (4, 10), ['', '%', '.', '%'], [(16, 4), (5, 12), (10, 7)], [False, True, False, True], 88, False, [False, False, True, False], 3174, 'North', (4, 11))
Element 7: (1, (4, 11), ['%', '', '', '.'], [(17, 4), (6, 12), (10, 8)], [True, False, False, False], 86, False, [False, False, False, True], 3213, 'East', (5, 11))
Element 8: (1, (5, 11), ['', '%', '', '.'], [(18, 4), (7, 12), (9, 8)], [False, True, False, False], 84, False, [False, False, False, True], 3252, 'East', (6, 11))
Element 9: (1, (6, 11), ['', '%', '', '%'], [(18, 5), (8, 12), (8, 8)], [False, True, False, True], 82, False, [False, False, False, False], 4281, 'North', (6, 12))
Element 10: (1, (6, 12), ['', '', '.', ''], [(17, 5), (9, 12), (8, 9)], [False, False, False, False], 80, False, [False, False, True, False], 4310, 'North', (6, 13))
Element 11: (1, (6, 13), ['.', '', '%', '.'], [(17, 6), (10, 12), (7, 9)], [False, False, True, False], 78, False, [True, False, False, True], 4349, 'East', (7, 13))
Element 12: (1, (7, 13), ['', '', '%', '%'], [(17, 7), (11, 12), (7, 8)], [False, False, True, True], 76, False, [False, False, False, False], 4388, 'South', (7, 12))
Element 13: (1, (7, 12), ['', '%', '', ''], [(18, 7), (12, 12), (6, 8)], [False, True, False, False], 74, False, [False, False, False, False], 4417, 'East', (8, 12))
Element 14: (1, (8, 12), ['', '%', '%', ''], [(17, 7), (13, 12), (6, 9)], [False, True, True, False], 72, False, [False, False, False, False], 4436, 'East', (9, 12))
Element 15: (1, (9, 12), ['', '%', '.', ''], [(17, 6), (13, 13), (6, 8)], [False, True, False, False], 70, False, [False, False, True, False], 4445, 'North', (9, 13))
Element 16: (1, (9, 13), ['%', '', '%', '.'], [(16, 6), (14, 13), (5, 8)], [True, False, True, False], 68, False, [False, False, False, True], 4484, 'East', (10, 13))
Element 17: (1, (10, 13), ['', '', '%', '%'], [(16, 5), (15, 13), (4, 8)], [False, False, True, True], 66, False, [False, False, False, False], 4523, 'South', (10, 12))
Element 18: (1, (10, 12), ['', '%', '', ''], [(15, 5), (16, 13), (5, 8)], [False, True, False, False], 64, False, [False, False, False, False], 4542, 'East', (11, 12))
Element 19: (1, (11, 12), ['', '%', '%', ''], [(15, 6), (17, 13), (6, 8)], [False, True, True, False], 62, False, [False, False, False, False], 4561, 'East', (12, 12))
Element 20: (1, (12, 12), ['', '.', '.', ''], [(15, 7), (18, 13), (7, 8)], [False, False, False, False], 60, False, [False, True, True, False], 4580, 'North', (12, 13))
Element 21: (1, (12, 13), ['%', '', '%', ''], [(15, 8), (18, 12), (7, 9)], [True, False, True, False], 58, False, [False, False, False, False], 4609, 'East', (13, 13))
Element 22: (1, (13, 13), ['', '', '%', ''], [(14, 8), (18, 11), (6, 9)], [False, False, True, False], 56, False, [False, False, False, False], 4628, 'East', (14, 13))
Element 23: (1, (14, 13), ['', '%', '%', ''], [(14, 7), (18, 10), (7, 9)], [False, True, True, False], 54, False, [False, False, False, False], 4647, 'East', (15, 13))
Element 24: (1, (15, 13), ['', '.', '%', ''], [(14, 8), (17, 10), (8, 9)], [False, False, True, False], 52, False, [False, True, False, False], 4656, 'South', (15, 12))
Element 25: (1, (15, 12), ['%', '%', '', '.'], [(13, 8), (17, 11), (8, 8)], [True, True, False, False], 50, False, [False, False, False, True], 4685, 'East', (16, 12))
Element 26: (1, (16, 12), ['', '.', '', 'G'], [(14, 8), (17, 12), (7, 8)], [False, False, False, False], 48, False, [False, True, False, False], 4704, 'South', (16, 11))
Element 27: (1, (16, 11), ['%', '.', 'G', ''], [(15, 8), (16, 12), (8, 8)], [True, False, False, False], 46, False, [False, True, False, False], 4713, 'South', (16, 10))
Element 28: (1, (16, 10), ['%', '.', 'G', ''], [(15, 7), (16, 11), (9, 8)], [True, False, False, False], 44, False, [False, True, False, False], 4722, 'South', (16, 9))
Element 29: (1, (16, 9), ['%', '%', 'G', '.'], [(14, 7), (16, 10), (10, 8)], [True, True, False, False], 42, False, [False, False, False, True], 4731, 'East', (17, 9))
Element 30: (1, (17, 9), ['G', '%', '', '%'], [(15, 7), (16, 9), (10, 7)], [False, True, False, True], 40, False, [False, False, False, False], 4740, 'North', (17, 10))
Element 31: (1, (17, 10), ['', 'G', '', ''], [(15, 6), (17, 9), (9, 7)], [False, False, False, False], 38, False, [False, False, False, False], 4739, 'East', (18, 10))
Element 32: (1, (18, 10), ['', '%', '', '%'], [(15, 5), (16, 9), (9, 8)], [False, True, False, True], 36, False, [False, False, False, False], 4738, 'North', (18, 11))
Element 33: (1, (18, 11), ['', '', '', '%'], [(14, 5), (16, 10), (9, 7)], [False, False, False, True], 34, False, [False, False, False, False], 4747, 'North', (18, 12))
Element 34: (1, (18, 12), ['', '', '', '%'], [(13, 5), (16, 11), (9, 6)], [False, False, False, True], 32, False, [False, False, False, False], 4756, 'North', (18, 13))
Element 35: (1, (18, 13), ['', '', '%', '%'], [(13, 6), (16, 12), (8, 6)], [False, False, True, True], 30, False, [False, False, False, False], 4775, 'West', (17, 13))
Element 36: (1, (17, 13), ['', '', '%', ''], [(12, 6), (15, 12), (8, 5)], [False, False, True, False], 28, False, [False, False, False, False], 4794, 'South', (17, 12))
Element 37: (1, (17, 12), ['G', '', '', ''], [(12, 5), (16, 12), (8, 4)], [False, False, False, False], 26, False, [False, False, False, False], 4813, 'South', (17, 11))
Element 38: (1, (17, 11), ['', '', 'G', ''], [(12, 4), (17, 12), (8, 3)], [False, False, False, False], 24, False, [False, False, False, False], 5822, 'West', (16, 11))
Element 39: (1, (16, 11), ['%', '', '', 'G'], [(13, 4), (17, 11), (9, 3)], [True, False, False, False], 22, False, [False, False, False, False], 5841, 'North', (16, 12))
Element 40: (1, (16, 12), ['', 'G', '', ''], [(13, 3), (16, 11), (9, 2)], [False, False, False, False], 20, False, [False, False, False, False], 6850, 'North', (16, 13))
Element 41: (1, (16, 13), ['', '', '%', ''], [(13, 4), (17, 11), (10, 2)], [False, False, True, False], 18, False, [False, False, False, False], 6859, 'East', (17, 13))
Element 42: (1, (17, 13), ['', '', '%', ''], [(12, 4), (17, 10), (11, 2)], [False, False, True, False], 16, False, [False, False, False, False], 6868, 'East', (18, 13))
Element 43: (1, (18, 13), ['', '', '%', '%'], [(11, 4), (17, 9), (11, 3)], [False, False, True, True], 14, False, [False, False, False, False], 6887, 'South', (18, 12))
Element 44: (1, (18, 12), ['', '', '', '%'], [(11, 3), (17, 10), (10, 3)], [False, False, False, True], 12, False, [False, False, False, False], 6896, 'West', (17, 12))
Element 45: (1, (17, 12), ['', '', '', ''], [(11, 2), (16, 10), (9, 3)], [False, False, False, False], 10, False, [False, False, False, False], 6895, 'East', (18, 12))
Element 46: (1, (18, 12), ['', '', '', '%'], [(11, 1), (17, 10), (8, 3)], [False, False, False, True], 8, False, [False, False, False, False], 6904, 'South', (18, 11))
Element 47: (1, (18, 11), ['', 'G', '', '%'], [(12, 1), (18, 10), (8, 4)], [False, False, False, True], 6, False, [False, False, False, False], 6913, 'West', (17, 11))
Element 48: (1, (17, 11), ['', '', '', 'G'], [(13, 1), (18, 11), (8, 3)], [False, False, False, False], 4, False, [False, False, False, False], 6922, 'West', (16, 11))
Element 49: (1, (16, 11), ['%', '', '', 'G'], [(14, 1), (17, 11), (8, 2)], [True, False, False, False], 2, False, [False, False, False, False], 6941, 'South', (16, 10))
Element 50: (1, (16, 10), ['%', '', '', ''], [(14, 1), (18, 11), (8, 1)], [True, False, False, False], 0, False, [False, False, False, False], 6950, 'Stop', (16, 10))
Element 51: #0#
