Element 18: (3, (5, 8), ['', '%', '%', ''], [(16, 9), (17, 5), (5, 8)], [False, True, True, False], 64, False, [False, False, False, False], 3472, 'West', (4, 8))
Element 19: (3, (4, 8), ['%', '%', '%', 'G'], [(16, 10), (17, 6), (5, 8)], [True, True, True, False], 62, False, [False, False, False, False], 3481, 'Stop', (4, 8))
Element 20: (3, (4, 8), ['%', '%', '%', 'G'], [(16, 11), (17, 7), (5, 8)], [True, True, True, False], 60, False, [False, False, False, False], 3490, 'East', (5, 8))
Element 21: (3, (5, 8), ['', '%', '%', ''], [(16, 12), (18, 7), (5, 8)], [False, True, True, False], 58, False, [False, False, False, False], 3499, 'East', (6, 8))
Element 22: (3, (6, 8), ['G', '%', '', ''], [(15, 12), (17, 7), (5, 8)], [False, True, False, False], 56, False, [False, False, False, False], 3508, 'North', (6, 9))
Element 23: (3, (6, 9), ['%', 'G', '%', ''], [(16, 12), (17, 6), (6, 8)], [True, False, True, False], 54, False, [False, False, False, False], 3507, 'Stop', (6, 9))
Element 24: (3, (6, 9), ['%', '', '%', ''], [(17, 12), (16, 6), (7, 8)], [True, False, True, False], 52, False, [False, False, False, False], 3516, 'East', (7, 9))
Element 25: (3, (7, 9), ['', '', '%', ''], [(17, 11), (16, 5), (8, 8)], [False, False, True, False], 50, False, [False, False, False, False], 3525, 'East', (8, 9))
Element 26: (3, (8, 9), ['', '', '%', '%'], [(16, 11), (15, 5), (9, 8)], [False, False, True, True], 48, False, [False, False, False, False], 3534, 'South', (8, 8))
Element 27: (3, (8, 8), ['', '%', '', ''], [(17, 11), (15, 6), (10, 8)], [False, True, False, False], 46, False, [False, False, False, False], 3543, 'West', (7, 8))
Element 28: (3, (7, 8), ['', '%', '', ''], [(17, 10), (15, 7), (10, 7)], [False, True, False, False], 44, False, [False, False, False, False], 3552, 'East', (8, 8))
Element 29: (3, (8, 8), ['', '%', '', ''], [(17, 9), (15, 8), (9, 7)], [False, True, False, False], 42, False, [False, False, False, False], 3561, 'East', (9, 8))
Element 30: (3, (9, 8), ['', '', '%', ''], [(17, 10), (14, 8), (9, 6)], [False, False, True, False], 40, False, [False, False, False, False], 3570, 'East', (10, 8))
Element 31: (3, (10, 8), ['', '', '%', '%'], [(16, 10), (14, 7), (9, 7)], [False, False, True, True], 38, False, [False, False, False, False], 3579, 'South', (10, 7))
