Element 1: (1, (1, 7), ['%', '.', 'F', '.'], [(15, 7), (8, 4), (13, 3)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'North', (1, 8))
Element 2: (1, (1, 8), ['%', '', '%', 'F'], [(15, 8), (8, 3), (14, 3)], [True, False, True, False], 96, False, [False, False, False, False], 2028, 'East', (2, 8))
Element 3: (1, (2, 8), ['', '.', '%', '%'], [(14, 8), (9, 3), (14, 4)], [False, False, True, True], 94, False, [False, True, False, False], 3057, 'South', (2, 7))
Element 4: (1, (2, 7), ['', '.', '', '.'], [(13, 8), (9, 2), (15, 4)], [False, False, False, False], 92, False, [False, True, False, True], 4086, 'East', (3, 7))
Element 5: (1, (3, 7), ['', '.', '%', '%'], [(14, 8), (10, 2), (16, 4)], [False, False, True, True], 90, False, [False, True, False, False], 4115, 'South', (3, 6))
Element 6: (1, (3, 6), ['.', '.', '', '.'], [(15, 8), (11, 2), (17, 4)], [False, False, False, False], 88, False, [True, True, False, True], 4144, 'East', (4, 6))
Element 7: (1, (4, 6), ['', '.', '%', '.'], [(15, 7), (12, 2), (18, 4)], [False, False, True, False], 86, False, [False, True, False, True], 4173, 'East', (5, 6))
Element 8: (1, (5, 6), ['', '.', '%', '.'], [(15, 6), (13, 2), (18, 5)], [False, False, True, False], 84, False, [False, True, False, True], 4212, 'East', (6, 6))
Element 9: (1, (6, 6), ['', '.', '%', '%'], [(16, 6), (14, 2), (17, 5)], [False, False, True, True], 82, False, [False, True, False, False], 4251, 'South', (6, 5))
Element 10: (1, (6, 5), ['.', '.', '', '%'], [(16, 5), (14, 1), (17, 6)], [False, False, False, True], 80, False, [True, True, False, False], 4290, 'South', (6, 4))
Element 11: (1, (6, 4), ['%', '.', '', '%'], [(15, 5), (15, 1), (17, 7)], [True, False, False, True], 78, False, [False, True, False, False], 4329, 'South', (6, 3))
Element 12: (1, (6, 3), ['.', '.', '', '.'], [(14, 5), (14, 1), (18, 7)], [False, False, False, False], 76, False, [True, True, False, True], 4358, 'East', (7, 3))
Element 13: (1, (7, 3), ['', '.', '%', ''], [(13, 5), (13, 1), (17, 7)], [False, False, True, False], 74, False, [False, True, False, False], 4387, 'South', (7, 2))
Element 14: (1, (7, 2), ['.', '.', '', '.'], [(13, 6), (12, 1), (17, 6)], [False, False, False, False], 72, False, [True, True, False, True], 4416, 'East', (8, 2))
Element 15: (1, (8, 2), ['', '.', '', ''], [(12, 6), (11, 1), (16, 6)], [False, False, False, False], 70, False, [False, True, False, False], 4445, 'South', (8, 1))
Element 16: (1, (8, 1), ['.', '%', '', '.'], [(12, 5), (12, 1), (16, 5)], [False, True, False, False], 68, False, [True, False, False, True], 4464, 'East', (9, 1))
Element 17: (1, (9, 1), ['', '%', '', '%'], [(12, 4), (13, 1), (15, 5)], [False, True, False, True], 66, False, [False, False, False, False], 4483, 'North', (9, 2))
Element 18: (1, (9, 2), ['', '', '', ''], [(13, 4), (14, 1), (15, 6)], [False, False, False, False], 64, False, [False, False, False, False], 4492, 'East', (10, 2))
Element 19: (1, (10, 2), ['', '%', '.', ''], [(14, 4), (14, 2), (15, 7)], [False, True, False, False], 62, False, [False, False, True, False], 4491, 'North', (10, 3))
Element 20: (1, (10, 3), ['', '', '.', '.'], [(15, 4), (14, 3), (15, 8)], [False, False, False, False], 60, False, [False, False, True, True], 4500, 'East', (11, 3))
Element 21: (1, (11, 3), ['', '', '.', '%'], [(16, 4), (14, 4), (14, 8)], [False, False, False, True], 58, False, [False, False, True, False], 4509, 'North', (11, 4))
Element 22: (1, (11, 4), ['.', '', '%', ''], [(16, 3), (15, 4), (14, 7)], [False, False, True, False], 56, False, [True, False, False, False], 4528, 'West', (10, 4))
Element 23: (1, (10, 4), ['.', '', 'F', ''], [(17, 3), (16, 4), (14, 8)], [False, False, False, False], 54, False, [True, False, False, False], 4547, 'North', (10, 5))
Element 24: (1, (10, 5), ['.', '', '%', '%'], [(18, 3), (17, 4), (13, 8)], [False, False, True, True], 52, False, [True, False, False, False], 5556, 'West', (9, 5))
Element 25: (1, (9, 5), ['.', '.', '.', ''], [(17, 3), (18, 4), (14, 8)], [False, False, False, False], 50, False, [True, True, True, False], 5565, 'North', (9, 6))
Element 26: (1, (9, 6), ['.', '', '.', '%'], [(16, 3), (18, 5), (15, 8)], [False, False, False, True], 48, False, [True, False, True, False], 5574, 'North', (9, 7))
Element 27: (1, (9, 7), ['%', '', '.', '.'], [(16, 4), (17, 5), (15, 7)], [True, False, False, False], 46, False, [False, False, True, True], 5583, 'East', (10, 7))
Element 28: (1, (10, 7), ['', '%', '.', '%'], [(17, 4), (17, 6), (14, 7)], [False, True, False, True], 44, False, [False, False, True, False], 5592, 'North', (10, 8))
Element 29: (1, (10, 8), ['.', '', '%', '%'], [(18, 4), (17, 7), (15, 7)], [False, False, True, True], 42, False, [True, False, False, False], 5601, 'West', (9, 8))
Element 30: (1, (9, 8), ['.', '', '%', ''], [(18, 5), (18, 7), (15, 6)], [False, False, True, False], 40, False, [True, False, False, False], 5610, 'West', (8, 8))
Element 31: (1, (8, 8), ['.', '%', '.', ''], [(17, 5), (17, 7), (15, 5)], [False, True, False, False], 38, False, [True, False, True, False], 5619, 'North', (8, 9))
Element 32: (1, (8, 9), ['.', '', '%', '%'], [(18, 5), (17, 6), (14, 5)], [False, False, True, True], 36, False, [True, False, False, False], 5628, 'West', (7, 9))
Element 33: (1, (7, 9), ['.', '.', '%', ''], [(18, 4), (16, 6), (13, 5)], [False, False, True, False], 34, False, [True, True, False, False], 5637, 'South', (7, 8))
Element 34: (1, (7, 8), ['.', '%', '', ''], [(17, 4), (16, 5), (13, 6)], [False, True, False, False], 32, False, [True, False, False, False], 5646, 'West', (6, 8))
Element 35: (1, (6, 8), ['.', '%', '.', ''], [(17, 5), (15, 5), (12, 6)], [False, True, False, False], 30, False, [True, False, True, False], 5655, 'North', (6, 9))
Element 36: (1, (6, 9), ['%', '', '%', ''], [(17, 4), (15, 6), (11, 6)], [True, False, True, False], 28, False, [False, False, False, False], 5674, 'South', (6, 8))
Element 37: (1, (6, 8), ['.', '%', '', ''], [(16, 4), (15, 7), (12, 6)], [False, True, False, False], 26, False, [True, False, False, False], 5673, 'West', (5, 8))
Element 38: (1, (5, 8), ['.', '%', '%', ''], [(15, 4), (15, 8), (12, 5)], [False, True, True, False], 24, False, [True, False, False, False], 5682, 'West', (4, 8))
Element 39: (1, (4, 8), ['%', '%', '%', ''], [(14, 4), (14, 8), (12, 4)], [True, True, True, False], 22, False, [False, False, False, False], 5691, 'East', (5, 8))
Element 40: (1, (5, 8), ['', '%', '%', ''], [(14, 3), (14, 7), (13, 4)], [False, True, True, False], 20, False, [False, False, False, False], 5690, 'East', (6, 8))
Element 41: (1, (6, 8), ['', '%', '', ''], [(14, 2), (14, 8), (12, 4)], [False, True, False, False], 18, False, [False, False, False, False], 5689, 'East', (7, 8))
