Element 1: (2, (9, 12), ['F', '%', '.', '.'], [(9, 10), (8, 8), (12, 4)], [False, True, False, False], 98, False, [False, False, True, True], 19, 'West', (8, 12))
Element 2: (2, (8, 12), ['.', '%', '%', ''], [(10, 10), (9, 8), (13, 4)], [False, True, True, False], 96, False, [True, False, False, False], 1038, 'West', (7, 12))
Element 3: (2, (7, 12), ['.', '%', '.', ''], [(10, 10), (10, 8), (14, 4)], [False, True, False, False], 94, False, [True, False, True, False], 1067, 'North', (7, 13))
Element 4: (2, (7, 13), ['.', '', '%', '%'], [(9, 10), (10, 7), (15, 4)], [False, False, True, True], 92, False, [True, False, False, False], 1096, 'West', (6, 13))
Element 5: (2, (6, 13), ['.', '.', '%', ''], [(10, 10), (9, 7), (16, 4)], [False, False, True, False], 90, False, [True, True, False, False], 1125, 'South', (6, 12))
Element 6: (2, (6, 12), ['.', '.', '', ''], [(10, 10), (9, 6), (17, 4)], [False, False, False, False], 88, False, [True, True, False, False], 1154, 'South', (6, 11))
Element 7: (2, (6, 11), ['.', '%', '', '%'], [(9, 10), (9, 5), (18, 4)], [False, True, False, True], 86, False, [True, False, False, False], 1183, 'West', (5, 11))
Element 8: (2, (5, 11), ['.', '%', '.', ''], [(10, 10), (10, 5), (18, 5)], [False, True, False, False], 84, False, [True, False, True, False], 2202, 'North', (5, 12))
Element 9: (2, (5, 12), ['.', '', '.', ''], [(10, 10), (10, 4), (17, 5)], [False, False, False, False], 82, False, [True, False, True, False], 2231, 'North', (5, 13))
Element 10: (2, (5, 13), ['.', '', '%', ''], [(9, 10), (11, 4), (17, 6)], [False, False, True, False], 80, False, [True, False, False, False], 2260, 'West', (4, 13))
Element 11: (2, (4, 13), ['.', '.', '%', ''], [(10, 10), (11, 3), (17, 7)], [False, False, True, False], 78, False, [True, True, False, False], 2289, 'South', (4, 12))
Element 12: (2, (4, 12), ['.', '.', '', ''], [(10, 10), (11, 2), (18, 7)], [False, False, False, False], 76, False, [True, True, False, False], 2318, 'South', (4, 11))
Element 13: (2, (4, 11), ['%', '.', '', ''], [(9, 10), (12, 2), (17, 7)], [True, False, False, False], 74, False, [False, True, False, False], 2337, 'South', (4, 10))
Element 14: (2, (4, 10), ['.', '%', '', '%'], [(10, 10), (13, 2), (17, 6)], [False, True, False, True], 72, False, [True, False, False, False], 2356, 'West', (3, 10))
Element 15: (2, (3, 10), ['.', '%', '%', ''], [(10, 10), (14, 2), (16, 6)], [False, True, True, False], 70, False, [True, False, False, False], 2385, 'West', (2, 10))
Element 16: (2, (2, 10), ['.', '%', 'F', ''], [(9, 10), (14, 3), (16, 5)], [False, True, False, False], 68, False, [True, False, False, False], 2414, 'North', (2, 11))
Element 17: (2, (2, 11), ['F', '', '.', '%'], [(10, 10), (13, 3), (15, 5)], [False, False, False, True], 66, False, [False, False, True, False], 3433, 'West', (1, 11))
Element 18: (2, (1, 11), ['%', '.', '.', ''], [(10, 10), (13, 4), (15, 6)], [True, False, False, False], 64, False, [False, True, True, False], 4442, 'North', (1, 12))
Element 19: (2, (1, 12), ['%', '', '.', '.'], [(9, 10), (13, 5), (15, 7)], [True, False, False, False], 62, False, [False, False, True, True], 4471, 'East', (2, 12))
Element 20: (2, (2, 12), ['', '', '%', '.'], [(10, 10), (14, 5), (15, 8)], [False, False, True, False], 60, False, [False, False, False, True], 4500, 'East', (3, 12))
Element 21: (2, (3, 12), ['', '%', '.', ''], [(10, 10), (15, 5), (14, 8)], [False, True, False, False], 58, False, [False, False, True, False], 4519, 'North', (3, 13))
Element 22: (2, (3, 13), ['%', '', '%', ''], [(9, 10), (16, 5), (14, 7)], [True, False, True, False], 56, False, [False, False, False, False], 4538, 'South', (3, 12))
Element 23: (2, (3, 12), ['', '%', '', ''], [(10, 10), (17, 5), (14, 8)], [False, True, False, False], 54, False, [False, False, False, False], 4537, 'West', (2, 12))
Element 24: (2, (2, 12), ['', '', '%', ''], [(10, 10), (18, 5), (13, 8)], [False, False, True, False], 52, False, [False, False, False, False], 4546, 'West', (1, 12))
Element 25: (2, (1, 12), ['%', '', '.', ''], [(9, 10), (18, 4), (14, 8)], [True, False, False, False], 50, False, [False, False, True, False], 4545, 'North', (1, 13))
Element 26: (2, (1, 13), ['%', '', '%', '%'], [(10, 10), (18, 3), (15, 8)], [True, False, True, True], 48, False, [False, False, False, False], 4564, 'South', (1, 12))
Element 27: (2, (1, 12), ['%', '', '', ''], [(10, 10), (17, 3), (15, 7)], [True, False, False, False], 46, False, [False, False, False, False], 4573, 'South', (1, 11))
Element 28: (2, (1, 11), ['%', '.', '', ''], [(9, 10), (16, 3), (14, 7)], [True, False, False, False], 44, False, [False, True, False, False], 4582, 'South', (1, 10))
Element 29: (2, (1, 10), ['%', '%', '', ''], [(10, 10), (16, 4), (15, 7)], [True, True, False, False], 42, False, [False, False, False, False], 4591, 'North', (1, 11))
Element 30: (2, (1, 11), ['%', '', '', ''], [(10, 10), (17, 4), (15, 6)], [True, False, False, False], 40, False, [False, False, False, False], 4590, 'East', (2, 11))
Element 31: (2, (2, 11), ['', '', '', '%'], [(9, 10), (16, 4), (15, 5)], [False, False, False, True], 38, False, [False, False, False, False], 4589, 'North', (2, 12))
Element 32: (2, (2, 12), ['', '', '%', ''], [(10, 10), (15, 4), (14, 5)], [False, False, True, False], 36, False, [False, False, False, False], 4588, 'South', (2, 11))
Element 33: (2, (2, 11), ['', '', '', '%'], [(10, 10), (14, 4), (13, 5)], [False, False, False, True], 34, False, [False, False, False, False], 4587, 'South', (2, 10))
Element 34: (2, (2, 10), ['', '%', '', ''], [(9, 10), (15, 4), (13, 6)], [False, True, False, False], 32, False, [False, False, False, False], 4596, 'West', (1, 10))
Element 35: (2, (1, 10), ['%', '%', '', ''], [(10, 10), (16, 4), (12, 6)], [True, True, False, False], 30, False, [False, False, False, False], 4605, 'East', (2, 10))
