Element 1: (3, (17, 6), ['.', '.', 'G', '%'], [(17, 7), (10, 4), (10, 12)], [False, False, False, True], 98, False, [True, True, False, False], 29, 'South', (17, 5))
Element 2: (3, (17, 5), ['.', '.', 'G', '.'], [(17, 6), (10, 5), (11, 12)], [False, False, False, False], 96, False, [True, True, False, True], 1048, 'East', (18, 5))
Element 3: (3, (18, 5), ['', '.', '%', '%'], [(16, 6), (9, 5), (12, 12)], [False, False, True, True], 94, False, [False, True, False, False], 1087, 'South', (18, 4))
Element 4: (3, (18, 4), ['.', '.', '', '%'], [(16, 5), (9, 6), (13, 12)], [False, False, False, True], 92, False, [True, True, False, False], 1126, 'South', (18, 3))
Element 5: (3, (18, 3), ['.', '%', '', '%'], [(16, 4), (9, 7), (13, 13)], [False, True, False, True], 90, False, [True, False, False, False], 1165, 'West', (17, 3))
Element 6: (3, (17, 3), ['.', '%', 'G', ''], [(17, 4), (10, 7), (14, 13)], [False, True, False, False], 88, False, [True, False, False, False], 1204, 'West', (16, 3))
Element 7: (3, (16, 3), ['%', '%', '', ''], [(18, 4), (10, 8), (15, 13)], [True, True, False, False], 86, False, [False, False, False, False], 1233, 'North', (16, 4))
Element 8: (3, (16, 4), ['.', '', '', ''], [(18, 5), (9, 8), (16, 13)], [False, False, False, False], 84, False, [True, False, False, False], 1252, 'West', (15, 4))
Element 9: (3, (15, 4), ['.', '%', '.', ''], [(17, 5), (8, 8), (17, 13)], [False, True, False, False], 82, False, [True, False, True, False], 1281, 'North', (15, 5))
Element 10: (3, (15, 5), ['.', '', '.', ''], [(18, 5), (8, 9), (18, 13)], [False, False, False, False], 80, False, [True, False, True, False], 1310, 'North', (15, 6))
Element 11: (3, (15, 6), ['%', '', '.', ''], [(18, 4), (7, 9), (18, 12)], [True, False, False, False], 78, False, [False, False, True, False], 1339, 'North', (15, 7))
Element 12: (3, (15, 7), ['.', '', '.', '%'], [(18, 3), (7, 8), (18, 11)], [False, False, False, True], 76, False, [True, False, True, False], 1368, 'North', (15, 8))
Element 13: (3, (15, 8), ['.', '', '%', '%'], [(17, 3), (6, 8), (18, 10)], [False, False, True, True], 74, False, [True, False, False, False], 1397, 'West', (14, 8))
Element 14: (3, (14, 8), ['.', '.', '%', ''], [(16, 3), (6, 9), (17, 10)], [False, False, True, False], 72, False, [True, True, False, False], 1426, 'South', (14, 7))
Element 15: (3, (14, 7), ['%', '%', '', ''], [(17, 3), (6, 8), (17, 11)], [True, True, False, False], 70, False, [False, False, False, False], 1445, 'North', (14, 8))
Element 16: (3, (14, 8), ['.', '', '%', ''], [(18, 3), (5, 8), (17, 12)], [False, False, True, False], 68, False, [True, False, False, False], 1464, 'West', (13, 8))
Element 17: (3, (13, 8), ['%', '%', '%', ''], [(18, 4), (4, 8), (16, 12)], [True, True, True, False], 66, False, [False, False, False, False], 1493, 'East', (14, 8))
Element 18: (3, (14, 8), ['', '', '%', ''], [(17, 4), (5, 8), (16, 11)], [False, False, True, False], 64, False, [False, False, False, False], 1502, 'East', (15, 8))
Element 19: (3, (15, 8), ['', '', '%', '%'], [(17, 5), (6, 8), (16, 10)], [False, False, True, True], 62, False, [False, False, False, False], 1511, 'South', (15, 7))
Element 20: (3, (15, 7), ['', '', '', '%'], [(17, 4), (7, 8), (16, 9)], [False, False, False, True], 60, False, [False, False, False, False], 1520, 'West', (14, 7))
Element 21: (3, (14, 7), ['%', '%', '', ''], [(17, 3), (7, 9), (17, 9)], [True, True, False, False], 58, False, [False, False, False, False], 1529, 'East', (15, 7))
Element 22: (3, (15, 7), ['', '', '', '%'], [(17, 4), (6, 9), (16, 9)], [False, False, False, True], 56, False, [False, False, False, False], 1528, 'South', (15, 6))
Element 23: (3, (15, 6), ['%', '', '', ''], [(16, 4), (7, 9), (16, 10)], [True, False, False, False], 54, False, [False, False, False, False], 1527, 'East', (16, 6))
Element 24: (3, (16, 6), ['', '', '%', ''], [(16, 3), (8, 9), (16, 11)], [False, False, True, False], 52, False, [False, False, False, False], 1526, 'South', (16, 5))
Element 25: (3, (16, 5), ['', 'G', '', ''], [(16, 4), (8, 8), (16, 12)], [False, False, False, False], 50, False, [False, False, False, False], 1525, 'North', (16, 6))
Element 26: (3, (16, 6), ['', '', '%', ''], [(15, 4), (7, 8), (15, 12)], [False, False, True, False], 48, False, [False, False, False, False], 1534, 'West', (15, 6))
Element 27: (3, (15, 6), ['%', '', '', ''], [(14, 4), (8, 8), (16, 12)], [True, False, False, False], 46, False, [False, False, False, False], 1543, 'South', (15, 5))
Element 28: (3, (15, 5), ['G', '', '', ''], [(14, 5), (9, 8), (17, 12)], [False, False, False, False], 44, False, [False, False, False, False], 1552, 'South', (15, 4))
Element 29: (3, (15, 4), ['', '%', '', ''], [(13, 5), (10, 8), (17, 11)], [False, True, False, False], 42, False, [False, False, False, False], 1561, 'North', (15, 5))
Element 30: (3, (15, 5), ['', '', '', ''], [(13, 6), (10, 7), (16, 11)], [False, False, False, False], 40, False, [False, False, False, False], 1570, 'East', (16, 5))
Element 31: (3, (16, 5), ['', '', '', ''], [(12, 6), (9, 7), (17, 11)], [False, False, False, False], 38, False, [False, False, False, False], 1579, 'West', (15, 5))
Element 32: (3, (15, 5), ['', '', '', ''], [(12, 5), (9, 8), (17, 10)], [False, False, False, False], 36, False, [False, False, False, False], 1588, 'South', (15, 4))
Element 33: (3, (15, 4), ['', '%', '', ''], [(12, 4), (9, 7), (17, 9)], [False, True, False, False], 34, False, [False, False, False, False], 1597, 'West', (14, 4))
Element 34: (3, (14, 4), ['G', '.', '', ''], [(13, 4), (9, 6), (17, 10)], [False, False, False, False], 32, False, [False, True, False, False], 1606, 'South', (14, 3))
Element 35: (3, (14, 3), ['G', '.', '', '%'], [(13, 3), (8, 6), (16, 10)], [False, False, False, True], 30, False, [False, True, False, False], 1635, 'South', (14, 2))
Element 36: (3, (14, 2), ['G', '.', '', '%'], [(13, 2), (8, 5), (17, 10)], [False, False, False, True], 28, False, [False, True, False, False], 1664, 'South', (14, 1))
Element 37: (3, (14, 1), ['G', '%', '', '.'], [(13, 1), (8, 4), (18, 10)], [False, True, False, False], 26, False, [False, False, False, True], 1693, 'East', (15, 1))
Element 38: (3, (15, 1), ['', '%', '%', '%'], [(12, 1), (8, 3), (18, 11)], [False, True, True, True], 24, False, [False, False, False, False], 2712, 'West', (14, 1))
Element 39: (3, (14, 1), ['', '%', '', ''], [(12, 2), (9, 3), (17, 11)], [False, True, False, False], 22, False, [False, False, False, False], 2731, 'North', (14, 2))
Element 40: (3, (14, 2), ['', '', '', '%'], [(11, 2), (9, 2), (18, 11)], [False, False, False, True], 20, False, [False, False, False, False], 3740, 'North', (14, 3))
Element 41: (3, (14, 3), ['', '', '', '%'], [(11, 3), (10, 2), (18, 12)], [False, False, False, True], 18, False, [False, False, False, False], 3759, 'North', (14, 4))
Element 42: (3, (14, 4), ['', '', '', ''], [(11, 4), (10, 3), (17, 12)], [False, False, False, False], 16, False, [False, False, False, False], 3778, 'North', (14, 5))
Element 43: (3, (14, 5), ['', '', '%', ''], [(10, 4), (11, 3), (18, 12)], [False, False, True, False], 14, False, [False, False, False, False], 3777, 'West', (13, 5))
Element 44: (3, (13, 5), ['', '', '', ''], [(10, 5), (11, 4), (18, 13)], [False, False, False, False], 12, False, [False, False, False, False], 3776, 'North', (13, 6))
Element 45: (3, (13, 6), ['', '', '%', '%'], [(9, 5), (12, 4), (17, 13)], [False, False, True, True], 10, False, [False, False, False, False], 3775, 'West', (12, 6))
Element 46: (3, (12, 6), ['.', '', '%', ''], [(9, 6), (13, 4), (17, 12)], [False, False, True, False], 8, False, [True, False, False, False], 3774, 'West', (11, 6))
Element 47: (3, (11, 6), ['%', '%', '%', ''], [(9, 7), (14, 4), (17, 13)], [True, True, True, False], 6, False, [False, False, False, False], 3783, 'East', (12, 6))
Element 48: (3, (12, 6), ['', '', '%', ''], [(10, 7), (15, 4), (16, 13)], [False, False, True, False], 4, False, [False, False, False, False], 3782, 'South', (12, 5))
Element 49: (3, (12, 5), ['%', '', '', ''], [(10, 8), (16, 4), (16, 12)], [True, False, False, False], 2, False, [False, False, False, False], 3781, 'South', (12, 4))
Element 50: (3, (12, 4), ['', '%', '', ''], [(10, 8), (16, 4), (16, 12)], [False, True, False, False], 0, False, [False, False, False, False], 3780, 'Stop', (12, 4))
Element 51: #0#
