Element 38: (2, (18, 10), ['', '%', '', '%'], [(11, 2), (17, 11), (16, 10)], [False, True, False, True], 24, False, [False, False, False, False], 3762, 'West', (17, 10))
Element 39: (2, (17, 10), ['', '', '', ''], [(11, 3), (17, 12), (16, 9)], [False, False, False, False], 22, False, [False, False, False, False], 3771, 'North', (17, 11))
Element 40: (2, (17, 11), ['', '', '', ''], [(11, 4), (16, 12), (16, 10)], [False, False, False, False], 20, False, [False, False, False, False], 3780, 'North', (17, 12))
Element 41: (2, (17, 12), ['', '', '', ''], [(10, 4), (15, 12), (16, 11)], [False, False, False, False], 18, False, [False, False, False, False], 3789, 'Stop', (17, 12))
Element 42: (2, (17, 12), ['G', 'G', '', ''], [(10, 5), (16, 12), (17, 11)], [False, False, False, False], 16, False, [False, False, False, False], 4788, 'East', (18, 12))
Element 43: (2, (18, 12), ['G', 'G', '', '%'], [(9, 5), (17, 12), (18, 11)], [False, False, False, True], 14, False, [False, False, False, False], 4797, 'North', (18, 13))
Element 44: (2, (18, 13), ['', '', '%', '%'], [(9, 6), (16, 12), (17, 11)], [False, False, True, True], 12, False, [False, False, False, False], 4806, 'West', (17, 13))
Element 45: (2, (17, 13), ['', '', '%', ''], [(9, 7), (16, 11), (17, 10)], [False, False, True, False], 10, False, [False, False, False, False], 4815, 'South', (17, 12))
Element 46: (2, (17, 12), ['', 'G', '', ''], [(10, 7), (16, 10), (17, 11)], [False, False, False, False], 8, False, [False, False, False, False], 4824, 'North', (17, 13))
Element 47: (2, (17, 13), ['', 'G', '%', ''], [(10, 8), (17, 10), (17, 12)], [False, False, True, False], 6, False, [False, False, False, False], 4833, 'West', (16, 13))
Element 48: (2, (16, 13), ['', '', '%', ''], [(9, 8), (18, 10), (18, 12)], [False, False, True, False], 4, False, [False, False, False, False], 4842, 'South', (16, 12))
Element 49: (2, (16, 12), ['', '', '', 'G'], [(8, 8), (17, 10), (17, 12)], [False, False, False, False], 2, False, [False, False, False, False], 4851, 'North', (16, 13))
Element 50: (2, (16, 13), ['', '', '%', 'G'], [(8, 8), (17, 10), (17, 13)], [False, False, True, False], 0, False, [False, False, False, False], 4850, 'Stop', (16, 13))
Element 51: #0#
