Element 1: (2, (2, 5), ['.', '.', '.', '.'], [(18, 12), (1, 11), (14, 1)], [False, False, False, False], 98, False, [True, True, True, True], 1009, 'East', (3, 5))
Element 2: (2, (3, 5), ['', '.', '.', '.'], [(18, 13), (2, 11), (15, 1)], [False, False, False, False], 96, False, [False, True, True, True], 2038, 'East', (4, 5))
Element 3: (2, (4, 5), ['', '.', '.', '.'], [(17, 13), (2, 12), (14, 1)], [False, False, False, False], 94, False, [False, True, True, True], 2067, 'East', (5, 5))
Element 4: (2, (5, 5), ['', '%', '.', '.'], [(16, 13), (3, 12), (14, 2)], [False, True, False, False], 92, False, [False, False, True, True], 2106, 'East', (6, 5))
Element 5: (2, (6, 5), ['', '.', '.', '%'], [(16, 12), (4, 12), (14, 3)], [False, False, False, True], 90, False, [False, True, True, False], 2145, 'North', (6, 6))
Element 6: (2, (6, 6), ['.', '', '%', '%'], [(16, 11), (5, 12), (14, 4)], [False, False, True, True], 88, False, [True, False, False, False], 2184, 'West', (5, 6))
Element 7: (2, (5, 6), ['.', '', '%', ''], [(17, 11), (6, 12), (15, 4)], [False, False, True, False], 86, False, [True, False, False, False], 2223, 'West', (4, 6))
Element 8: (2, (4, 6), ['.', '', '%', ''], [(18, 11), (7, 12), (16, 4)], [False, False, True, False], 84, False, [True, False, False, False], 2262, 'West', (3, 6))
Element 9: (2, (3, 6), ['.', '', '.', ''], [(18, 10), (8, 12), (17, 4)], [False, False, False, False], 82, False, [True, False, True, False], 3291, 'North', (3, 7))
Element 10: (2, (3, 7), ['.', '', '%', '%'], [(17, 10), (9, 12), (18, 4)], [False, False, True, True], 80, False, [True, False, False, False], 3330, 'West', (2, 7))
Element 11: (2, (2, 7), ['.', '.', 'F', ''], [(17, 9), (10, 12), (18, 5)], [False, False, False, False], 78, False, [True, True, False, False], 3369, 'North', (2, 8))
Element 12: (2, (2, 8), ['F', '', '%', '%'], [(16, 9), (11, 12), (17, 5)], [False, False, True, True], 76, False, [False, False, False, False], 4398, 'West', (1, 8))
Element 13: (2, (1, 8), ['%', '.', '%', ''], [(16, 10), (12, 12), (17, 6)], [True, False, True, False], 74, False, [False, True, False, False], 5427, 'South', (1, 7))
Element 14: (2, (1, 7), ['%', '.', '', ''], [(16, 9), (13, 12), (17, 7)], [True, False, False, False], 72, False, [False, True, False, False], 5456, 'South', (1, 6))
Element 15: (2, (1, 6), ['%', '.', '', '.'], [(17, 9), (13, 13), (18, 7)], [True, False, False, False], 70, False, [False, True, False, True], 5485, 'East', (2, 6))
Element 16: (2, (2, 6), ['', '', '', ''], [(17, 10), (14, 13), (17, 7)], [False, False, False, False], 68, False, [False, False, False, False], 5504, 'West', (1, 6))
Element 17: (2, (1, 6), ['%', '.', '', ''], [(16, 10), (15, 13), (17, 6)], [True, False, False, False], 66, False, [False, True, False, False], 5513, 'South', (1, 5))
Element 18: (2, (1, 5), ['%', '.', '', ''], [(17, 10), (15, 12), (16, 6)], [True, False, False, False], 64, False, [False, True, False, False], 5542, 'South', (1, 4))
Element 19: (2, (1, 4), ['%', '%', '', '.'], [(18, 10), (16, 12), (16, 5)], [True, True, False, False], 62, False, [False, False, False, True], 5561, 'East', (2, 4))
Element 20: (2, (2, 4), ['', '.', '', '.'], [(18, 11), (17, 12), (15, 5)], [False, False, False, False], 60, False, [False, True, False, True], 5580, 'East', (3, 4))
Element 21: (2, (3, 4), ['', '.', '', '.'], [(17, 11), (18, 12), (15, 6)], [False, False, False, False], 58, False, [False, True, False, True], 5599, 'East', (4, 4))
Element 22: (2, (4, 4), ['', '.', '', '%'], [(17, 10), (18, 13), (15, 7)], [False, False, False, True], 56, False, [False, True, False, False], 5618, 'South', (4, 3))
Element 23: (2, (4, 3), ['.', '.', '', '.'], [(17, 11), (17, 13), (15, 8)], [False, False, False, False], 54, False, [True, True, False, True], 5637, 'East', (5, 3))
Element 24: (2, (5, 3), ['', '.', '%', '.'], [(16, 11), (16, 13), (14, 8)], [False, False, True, False], 52, False, [False, True, False, True], 5656, 'East', (6, 3))
Element 25: (2, (6, 3), ['', '.', '.', '.'], [(16, 10), (17, 13), (14, 7)], [False, False, False, False], 50, False, [False, True, True, True], 5675, 'East', (7, 3))
