Element 1: (3, (17, 4), ['.', '.', 'G', '.'], [(17, 5), (6, 1), (10, 5)], [False, False, False, False], 98, False, [True, True, False, True], 2009, 'East', (18, 4))
Element 2: (3, (18, 4), ['', '.', 'G', '%'], [(18, 5), (7, 1), (9, 5)], [False, False, False, True], 96, False, [False, True, False, False], 2048, 'South', (18, 3))
Element 3: (3, (18, 3), ['.', '%', 'G', '%'], [(18, 4), (8, 1), (9, 6)], [False, True, False, True], 94, False, [True, False, False, False], 2077, 'West', (17, 3))
Element 4: (3, (17, 3), ['.', '%', '', 'G'], [(18, 3), (9, 1), (9, 7)], [False, True, False, False], 92, False, [True, False, False, False], 2106, 'West', (16, 3))
Element 5: (3, (16, 3), ['%', '%', '.', 'G'], [(17, 3), (9, 2), (10, 7)], [True, True, False, False], 90, False, [False, False, True, False], 3125, 'North', (16, 4))
Element 6: (3, (16, 4), ['.', '', '', 'G'], [(17, 4), (10, 2), (10, 8)], [False, False, False, False], 88, False, [True, False, False, False], 3154, 'West', (15, 4))
Element 7: (3, (15, 4), ['.', '%', '.', 'G'], [(16, 4), (11, 2), (9, 8)], [False, True, False, False], 86, False, [True, False, True, False], 3183, 'North', (15, 5))
Element 8: (3, (15, 5), ['.', '', '.', ''], [(16, 3), (12, 2), (8, 8)], [False, False, False, False], 84, False, [True, False, True, False], 3212, 'North', (15, 6))
Element 9: (3, (15, 6), ['%', '', '.', '.'], [(16, 4), (13, 2), (8, 9)], [True, False, False, False], 82, False, [False, False, True, True], 3241, 'East', (16, 6))
Element 10: (3, (16, 6), ['', '', '%', '.'], [(15, 4), (14, 2), (7, 9)], [False, False, True, False], 80, False, [False, False, False, True], 3270, 'East', (17, 6))
Element 11: (3, (17, 6), ['', '', '.', '%'], [(14, 4), (14, 3), (7, 8)], [False, False, False, True], 78, False, [False, False, True, False], 3309, 'North', (17, 7))
Element 12: (3, (17, 7), ['%', '', '%', '.'], [(14, 5), (13, 3), (6, 8)], [True, False, True, False], 76, False, [False, False, False, True], 3348, 'East', (18, 7))
Element 13: (3, (18, 7), ['', '%', '%', '%'], [(13, 5), (13, 4), (6, 9)], [False, True, True, True], 74, False, [False, False, False, False], 3387, 'West', (17, 7))
Element 14: (3, (17, 7), ['%', '', '%', ''], [(13, 6), (12, 4), (6, 8)], [True, False, True, False], 72, False, [False, False, False, False], 3406, 'South', (17, 6))
Element 15: (3, (17, 6), ['', '', '', '%'], [(12, 6), (12, 5), (5, 8)], [False, False, False, True], 70, False, [False, False, False, False], 3435, 'South', (17, 5))
Element 16: (3, (17, 5), ['', '', '', ''], [(11, 6), (13, 5), (4, 8)], [False, False, False, False], 68, False, [False, False, False, False], 3454, 'East', (18, 5))
Element 17: (3, (18, 5), ['', '', '%', '%'], [(12, 6), (14, 5), (5, 8)], [False, False, True, True], 66, False, [False, False, False, False], 3453, 'West', (17, 5))
Element 18: (3, (17, 5), ['', '', '', ''], [(13, 6), (15, 5), (6, 8)], [False, False, False, False], 64, False, [False, False, False, False], 3452, 'West', (16, 5))
Element 19: (3, (16, 5), ['', '', '', ''], [(13, 5), (15, 6), (7, 8)], [False, False, False, False], 62, False, [False, False, False, False], 3451, 'East', (17, 5))
Element 20: (3, (17, 5), ['', '', '', ''], [(12, 5), (15, 7), (7, 9)], [False, False, False, False], 60, False, [False, False, False, False], 3460, 'North', (17, 6))
Element 21: (3, (17, 6), ['', '', '', '%'], [(12, 4), (15, 8), (6, 9)], [False, False, False, True], 58, False, [False, False, False, False], 3469, 'West', (16, 6))
Element 22: (3, (16, 6), ['', '', '%', ''], [(11, 4), (14, 8), (7, 9)], [False, False, True, False], 56, False, [False, False, False, False], 3488, 'South', (16, 5))
Element 23: (3, (16, 5), ['', '', '', ''], [(11, 3), (14, 7), (8, 9)], [False, False, False, False], 54, False, [False, False, False, False], 3507, 'North', (16, 6))
Element 24: (3, (16, 6), ['', '', '%', ''], [(10, 3), (14, 8), (8, 8)], [False, False, True, False], 52, False, [False, False, False, False], 3516, 'West', (15, 6))
Element 25: (3, (15, 6), ['%', '', '', ''], [(9, 3), (13, 8), (7, 8)], [True, False, False, False], 50, False, [False, False, False, False], 3535, 'North', (15, 7))
Element 26: (3, (15, 7), ['', '', '', '%'], [(8, 3), (14, 8), (8, 8)], [False, False, False, True], 48, False, [False, False, False, False], 4534, 'North', (15, 8))
Element 27: (3, (15, 8), ['', '', '%', '%'], [(8, 4), (13, 8), (9, 8)], [False, False, True, True], 46, False, [False, False, False, False], 4543, 'West', (14, 8))
Element 28: (3, (14, 8), ['G', '', '%', ''], [(9, 4), (13, 8), (10, 8)], [False, False, True, False], 44, False, [False, False, False, False], 4552, 'South', (14, 7))
Element 29: (3, (14, 7), ['%', '%', 'G', ''], [(10, 4), (14, 8), (10, 7)], [True, True, False, False], 42, False, [False, False, False, False], 4551, 'East', (15, 7))
Element 30: (3, (15, 7), ['', '', '', '%'], [(10, 5), (13, 8), (9, 7)], [False, False, False, True], 40, False, [False, False, False, False], 4550, 'North', (15, 8))
Element 31: (3, (15, 8), ['', '', '%', '%'], [(9, 5), (13, 8), (9, 8)], [False, False, True, True], 38, False, [False, False, False, False], 4549, 'South', (15, 7))
Element 32: (3, (15, 7), ['', '', '', '%'], [(8, 5), (13, 8), (9, 7)], [False, False, False, True], 36, False, [False, False, False, False], 4558, 'West', (14, 7))
Element 33: (3, (14, 7), ['%', '%', '', ''], [(8, 6), (13, 8), (9, 6)], [True, True, False, False], 34, False, [False, False, False, False], 4567, 'East', (15, 7))
Element 34: (3, (15, 7), ['', '', '', '%'], [(8, 5), (13, 8), (8, 6)], [False, False, False, True], 32, False, [False, False, False, False], 4566, 'South', (15, 6))
Element 35: (3, (15, 6), ['%', '', '', ''], [(9, 5), (13, 8), (8, 5)], [True, False, False, False], 30, False, [False, False, False, False], 4565, 'South', (15, 5))
Element 36: (3, (15, 5), ['', '', '', ''], [(9, 6), (14, 8), (8, 4)], [False, False, False, False], 28, False, [False, False, False, False], 4564, 'West', (14, 5))
Element 37: (3, (14, 5), ['', '', '%', ''], [(9, 7), (13, 8), (9, 4)], [False, False, True, False], 26, False, [False, False, False, False], 4563, 'South', (14, 4))
Element 38: (3, (14, 4), ['', '', '', ''], [(10, 7), (14, 8), (9, 3)], [False, False, False, False], 24, False, [False, False, False, False], 4562, 'South', (14, 3))
Element 39: (3, (14, 3), ['', '', '', '%'], [(10, 8), (14, 7), (10, 3)], [False, False, False, True], 22, False, [False, False, False, False], 4561, 'South', (14, 2))
Element 40: (3, (14, 2), ['', '.', '', '%'], [(9, 8), (14, 7), (11, 3)], [False, False, False, True], 20, False, [False, True, False, False], 4560, 'South', (14, 1))
Element 41: (3, (14, 1), ['.', '%', '', '.'], [(8, 8), (14, 7), (11, 4)], [False, True, False, False], 18, False, [True, False, False, True], 4569, 'East', (15, 1))
Element 42: (3, (15, 1), ['', '%', '%', '%'], [(8, 9), (14, 7), (12, 4)], [False, True, True, True], 16, False, [False, False, False, False], 4578, 'West', (14, 1))
Element 43: (3, (14, 1), ['.', '%', '', ''], [(7, 9), (14, 7), (13, 4)], [False, True, False, False], 14, False, [True, False, False, False], 4577, 'West', (13, 1))
Element 44: (3, (13, 1), ['.', '%', '', ''], [(7, 8), (14, 7), (14, 4)], [False, True, False, False], 12, False, [True, False, False, False], 4586, 'West', (12, 1))
Element 45: (3, (12, 1), ['.', '%', '', ''], [(6, 8), (14, 7), (15, 4)], [False, True, False, False], 10, False, [True, False, False, False], 4595, 'West', (11, 1))
Element 46: (3, (11, 1), ['%', '%', '', ''], [(6, 9), (14, 7), (16, 4)], [True, True, False, False], 8, False, [False, False, False, False], 4604, 'North', (11, 2))
Element 47: (3, (11, 2), ['', '', '', ''], [(6, 8), (14, 7), (17, 4)], [False, False, False, False], 6, False, [False, False, False, False], 4603, 'East', (12, 2))
Element 48: (3, (12, 2), ['', '', '%', ''], [(5, 8), (14, 7), (18, 4)], [False, False, True, False], 4, False, [False, False, False, False], 4602, 'East', (13, 2))
Element 49: (3, (13, 2), ['', '', '', ''], [(4, 8), (14, 7), (18, 5)], [False, False, False, False], 2, False, [False, False, False, False], 4601, 'North', (13, 3))
Element 50: (3, (13, 3), ['%', '', '', ''], [(4, 8), (14, 7), (18, 5)], [True, False, False, False], 0, False, [False, False, False, False], 4600, 'Stop', (13, 3))
Element 51: #0#
