Element 38: (0, (14, 7), ['%', '%', '', ''], [(13, 1), (16, 4), (14, 2)], [True, True, False, False], 24, False, [False, False, False, False], 1373, 'Stop', (14, 7))
Element 39: (0, (14, 7), ['%', '%', '', ''], [(12, 1), (17, 4), (14, 1)], [True, True, False, False], 22, False, [False, False, False, False], 1382, 'Stop', (14, 7))
Element 40: (0, (14, 7), ['%', '%', '', ''], [(11, 1), (17, 3), (15, 1)], [True, True, False, False], 20, False, [False, False, False, False], 1391, 'Stop', (14, 7))
Element 41: (0, (14, 7), ['%', '%', '', ''], [(11, 2), (16, 3), (14, 1)], [True, True, False, False], 18, False, [False, False, False, False], 1390, 'Stop', (14, 7))
Element 42: (0, (14, 7), ['%', '%', '', ''], [(11, 3), (17, 3), (13, 1)], [True, True, False, False], 16, False, [False, False, False, False], 1399, 'Stop', (14, 7))
Element 43: (0, (14, 7), ['%', '%', '', ''], [(10, 3), (18, 3), (13, 2)], [True, True, False, False], 14, False, [False, False, False, False], 1408, 'Stop', (14, 7))
Element 44: (0, (14, 7), ['%', '%', '', ''], [(10, 2), (18, 4), (13, 3)], [True, True, False, False], 12, False, [False, False, False, False], 1417, 'Stop', (14, 7))
Element 45: (0, (14, 7), ['%', '%', '', ''], [(9, 2), (17, 4), (13, 4)], [True, True, False, False], 10, False, [False, False, False, False], 2416, 'Stop', (14, 7))
Element 46: (0, (14, 7), ['%', '%', '', ''], [(9, 3), (18, 4), (13, 5)], [True, True, False, False], 8, False, [False, False, False, False], 2425, 'Stop', (14, 7))
Element 47: (0, (14, 7), ['%', '%', '', ''], [(8, 3), (18, 5), (13, 6)], [True, True, False, False], 6, False, [False, False, False, False], 3434, 'Stop', (14, 7))
Element 48: (0, (14, 7), ['%', '%', '', ''], [(8, 4), (17, 5), (12, 6)], [True, True, False, False], 4, False, [False, False, False, False], 3453, 'East', (15, 7))
Element 49: (0, (15, 7), ['', '', '', '%'], [(9, 4), (17, 4), (12, 5)], [False, False, False, True], 2, False, [False, False, False, False], 3472, 'Stop', (15, 7))
Element 50: (0, (15, 7), ['', '', '', '%'], [(8, 4), (17, 5), (12, 4)], [False, False, False, True], 0, False, [False, False, False, False], 3471, 'Stop', (15, 7))
Element 51: #0#
