Element 1: (1, (1, 7), ['%', '.', 'F', '.'], [(6, 1), (8, 1), (9, 1)], [True, False, False, False], 98, False, [False, True, False, True], 999, 'North', (1, 8))
Element 2: (1, (1, 8), ['%', '', '%', 'F'], [(7, 1), (8, 2), (9, 2)], [True, False, True, False], 96, False, [False, False, False, False], 3018, 'East', (2, 8))
Element 3: (1, (2, 8), ['', '.', '%', '%'], [(7, 2), (8, 3), (10, 2)], [False, False, True, True], 94, False, [False, True, False, False], 5037, 'South', (2, 7))
Element 4: (1, (2, 7), ['', '.', '', '.'], [(7, 3), (9, 3), (11, 2)], [False, False, False, False], 92, False, [False, True, False, True], 5076, 'East', (3, 7))
Element 5: (1, (3, 7), ['', '.', '%', '%'], [(6, 3), (10, 3), (12, 2)], [False, False, True, True], 90, False, [False, True, False, False], 5115, 'South', (3, 6))
Element 6: (1, (3, 6), ['.', '.', '', '.'], [(6, 4), (11, 3), (13, 2)], [False, False, False, False], 88, False, [True, True, False, True], 5154, 'East', (4, 6))
Element 7: (1, (4, 6), ['', '.', '%', '.'], [(6, 5), (11, 4), (14, 2)], [False, False, True, False], 86, False, [False, True, False, True], 5193, 'East', (5, 6))
Element 8: (1, (5, 6), ['', '.', '%', 'G'], [(6, 6), (12, 4), (14, 3)], [False, False, True, False], 84, False, [False, True, False, False], 5232, 'South', (5, 5))
Element 9: (1, (5, 5), ['.', '%', 'G', ''], [(5, 6), (13, 4), (14, 4)], [False, True, False, False], 82, False, [True, False, False, False], 5261, 'West', (4, 5))
Element 10: (1, (4, 5), ['.', '.', '', 'G'], [(5, 5), (13, 5), (15, 4)], [False, False, False, False], 80, False, [True, True, False, False], 5290, 'South', (4, 4))
Element 11: (1, (4, 4), ['.', '.', 'G', '%'], [(4, 5), (14, 5), (16, 4)], [False, False, False, True], 78, False, [True, True, False, False], 5319, 'South', (4, 3))
Element 12: (1, (4, 3), ['.', '.', '', '.'], [(3, 5), (15, 5), (17, 4)], [False, False, False, False], 76, False, [True, True, False, True], 5358, 'East', (5, 3))
Element 13: (1, (5, 3), ['', '.', '%', ''], [(3, 4), (16, 5), (18, 4)], [False, False, True, False], 74, False, [False, True, False, False], 5397, 'South', (5, 2))
Element 14: (1, (5, 2), ['.', '', '', '.'], [(3, 3), (17, 5), (18, 5)], [False, False, False, False], 72, False, [True, False, False, True], 5436, 'East', (6, 2))
Element 15: (1, (6, 2), ['', '', '', ''], [(2, 3), (17, 6), (17, 5)], [False, False, False, False], 70, False, [False, False, False, False], 5465, 'East', (7, 2))
Element 16: (1, (7, 2), ['', '', '', ''], [(2, 4), (17, 7), (17, 6)], [False, False, False, False], 68, False, [False, False, False, False], 5484, 'East', (8, 2))
Element 17: (1, (8, 2), ['', '', '', ''], [(2, 5), (18, 7), (16, 6)], [False, False, False, False], 66, False, [False, False, False, False], 5513, 'East', (9, 2))
Element 18: (1, (9, 2), ['', '', '', ''], [(2, 6), (17, 7), (15, 6)], [False, False, False, False], 64, False, [False, False, False, False], 5532, 'East', (10, 2))
Element 19: (1, (10, 2), ['', '%', '', ''], [(1, 6), (17, 6), (15, 7)], [False, True, False, False], 62, False, [False, False, False, False], 5551, 'East', (11, 2))
Element 20: (1, (11, 2), ['', '.', '', ''], [(1, 5), (16, 6), (15, 8)], [False, False, False, False], 60, False, [False, True, False, False], 5570, 'South', (11, 1))
Element 21: (1, (11, 1), ['%', '%', '', '.'], [(1, 4), (15, 6), (14, 8)], [True, True, False, False], 58, False, [False, False, False, True], 5599, 'East', (12, 1))
Element 22: (1, (12, 1), ['', '%', '', '.'], [(1, 5), (15, 7), (14, 7)], [False, True, False, False], 56, False, [False, False, False, True], 5618, 'East', (13, 1))
Element 23: (1, (13, 1), ['', '%', '', '.'], [(1, 6), (15, 8), (14, 8)], [False, True, False, False], 54, False, [False, False, False, True], 5627, 'East', (14, 1))
Element 24: (1, (14, 1), ['', '%', '', '.'], [(1, 7), (15, 7), (13, 8)], [False, True, False, False], 52, False, [False, False, False, True], 5646, 'East', (15, 1))
Element 25: (1, (15, 1), ['', '%', '%', '%'], [(2, 7), (15, 6), (14, 8)], [False, True, True, True], 50, False, [False, False, False, False], 5655, 'West', (14, 1))
Element 26: (1, (14, 1), ['', '%', '', ''], [(3, 7), (16, 6), (15, 8)], [False, True, False, False], 48, False, [False, False, False, False], 5654, 'North', (14, 2))
Element 27: (1, (14, 2), ['', '', '', '%'], [(3, 6), (17, 6), (15, 7)], [False, False, False, True], 46, False, [False, False, False, False], 5653, 'North', (14, 3))
Element 28: (1, (14, 3), ['.', '', '', '%'], [(4, 6), (17, 5), (14, 7)], [False, False, False, True], 44, False, [True, False, False, False], 5652, 'West', (13, 3))
Element 29: (1, (13, 3), ['%', '', '', ''], [(3, 6), (17, 4), (15, 7)], [True, False, False, False], 42, False, [False, False, False, False], 5661, 'North', (13, 4))
Element 30: (1, (13, 4), ['', '', '', ''], [(3, 7), (17, 3), (15, 6)], [False, False, False, False], 40, False, [False, False, False, False], 5670, 'East', (14, 4))
Element 31: (1, (14, 4), ['', '', '', ''], [(2, 7), (18, 3), (15, 5)], [False, False, False, False], 38, False, [False, False, False, False], 5679, 'East', (15, 4))
Element 32: (1, (15, 4), ['', '%', '', ''], [(2, 8), (18, 4), (16, 5)], [False, True, False, False], 36, False, [False, False, False, False], 5678, 'East', (16, 4))
Element 33: (1, (16, 4), ['', '.', '', ''], [(1, 8), (18, 5), (15, 5)], [False, False, False, False], 34, False, [False, True, False, False], 5677, 'South', (16, 3))
Element 34: (1, (16, 3), ['%', '%', '', ''], [(2, 8), (18, 4), (14, 5)], [True, True, False, False], 32, False, [False, False, False, False], 5686, 'East', (17, 3))
Element 35: (1, (17, 3), ['', '%', '', 'G'], [(2, 7), (18, 3), (13, 5)], [False, True, False, False], 30, False, [False, False, False, False], 5685, 'North', (17, 4))
Element 36: (1, (17, 4), ['', 'G', '', ''], [(1, 7), (17, 3), (13, 6)], [False, False, False, False], 28, False, [False, False, False, False], 5694, 'East', (18, 4))
Element 37: (1, (18, 4), ['', '', '', '%'], [(1, 8), (16, 3), (12, 6)], [False, False, False, True], 26, False, [False, False, False, False], 5703, 'North', (18, 5))
Element 38: (1, (18, 5), ['', '', '%', '%'], [(1, 7), (16, 4), (12, 5)], [False, False, True, True], 24, False, [False, False, False, False], 5712, 'West', (17, 5))
Element 39: (1, (17, 5), ['', '', '', ''], [(1, 6), (15, 4), (12, 4)], [False, False, False, False], 22, False, [False, False, False, False], 5711, 'North', (17, 6))
Element 40: (1, (17, 6), ['', '', '', '%'], [(2, 6), (14, 4), (13, 4)], [False, False, False, True], 20, False, [False, False, False, False], 5710, 'North', (17, 7))
Element 41: (1, (17, 7), ['%', '', '%', ''], [(3, 6), (14, 3), (13, 3)], [True, False, True, False], 18, False, [False, False, False, False], 5709, 'East', (18, 7))
Element 42: (1, (18, 7), ['', '%', '%', '%'], [(2, 6), (14, 2), (13, 4)], [False, True, True, True], 16, False, [False, False, False, False], 5708, 'West', (17, 7))
Element 43: (1, (17, 7), ['%', '', '%', ''], [(2, 7), (14, 1), (12, 4)], [True, False, True, False], 14, False, [False, False, False, False], 5707, 'South', (17, 6))
Element 44: (1, (17, 6), ['', '', '', '%'], [(2, 6), (15, 1), (11, 4)], [False, False, False, True], 12, False, [False, False, False, False], 5706, 'West', (16, 6))
Element 45: (1, (16, 6), ['', '', '%', ''], [(2, 5), (14, 1), (10, 4)], [False, False, True, False], 10, False, [False, False, False, False], 5715, 'South', (16, 5))
Element 46: (1, (16, 5), ['', '', '', ''], [(1, 5), (13, 1), (10, 5)], [False, False, False, False], 8, False, [False, False, False, False], 6714, 'West', (15, 5))
Element 47: (1, (15, 5), ['', '', '', ''], [(2, 5), (13, 2), (9, 5)], [False, False, False, False], 6, False, [False, False, False, False], 6723, 'North', (15, 6))
Element 48: (1, (15, 6), ['%', '', '', ''], [(2, 4), (13, 3), (9, 6)], [True, False, False, False], 4, False, [False, False, False, False], 6732, 'North', (15, 7))
Element 49: (1, (15, 7), ['', '', '', '%'], [(1, 4), (13, 2), (9, 7)], [False, False, False, True], 2, False, [False, False, False, False], 6741, 'North', (15, 8))
Element 50: (1, (15, 8), ['', '', '%', '%'], [(1, 4), (12, 2), (10, 7)], [False, False, True, True], 0, False, [False, False, False, False], 6750, 'Stop', (15, 8))
Element 51: #0#
