Element 1: (1, (3, 6), ['', '.', '.', '.'], [(2, 7), (4, 3), (6, 5)], [False, False, False, False], 98, False, [False, True, True, True], 9, 'East', (4, 6))
Element 2: (1, (4, 6), ['', '.', '%', '.'], [(2, 8), (5, 3), (6, 6)], [False, False, True, False], 96, False, [False, True, False, True], 1038, 'East', (5, 6))
Element 3: (1, (5, 6), ['', '.', '%', ''], [(1, 8), (6, 3), (6, 5)], [False, False, True, False], 94, False, [False, True, False, False], 2057, 'South', (5, 5))
Element 4: (1, (5, 5), ['.', '%', '', ''], [(1, 7), (7, 3), (6, 4)], [False, True, False, False], 92, False, [True, False, False, False], 2096, 'West', (4, 5))
Element 5: (1, (4, 5), ['.', '.', '', ''], [(1, 6), (8, 3), (6, 3)], [False, False, False, False], 90, False, [True, True, False, False], 3115, 'South', (4, 4))
Element 6: (1, (4, 4), ['.', '', '', '%'], [(1, 5), (9, 3), (6, 2)], [False, False, False, True], 88, False, [True, False, False, False], 3154, 'West', (3, 4))
Element 7: (1, (3, 4), ['.', '.', '.', ''], [(2, 5), (9, 2), (6, 1)], [False, False, False, False], 86, False, [True, True, True, False], 5173, 'North', (3, 5))
Element 8: (1, (3, 5), ['', '', '', ''], [(2, 4), (10, 2), (7, 1)], [False, False, False, False], 84, False, [False, False, False, False], 5212, 'West', (2, 5))
Element 9: (1, (2, 5), ['', '', '', ''], [(2, 3), (11, 2), (8, 1)], [False, False, False, False], 82, False, [False, False, False, False], 5241, 'North', (2, 6))
Element 10: (1, (2, 6), ['', '', '', ''], [(3, 3), (12, 2), (9, 1)], [False, False, False, False], 80, False, [False, False, False, False], 5270, 'North', (2, 7))
Element 11: (1, (2, 7), ['', '', '', '.'], [(4, 3), (13, 2), (9, 2)], [False, False, False, False], 78, False, [False, False, False, True], 5279, 'East', (3, 7))
Element 12: (1, (3, 7), ['', '', '%', '%'], [(4, 2), (14, 2), (8, 2)], [False, False, True, True], 76, False, [False, False, False, False], 5318, 'West', (2, 7))
Element 13: (1, (2, 7), ['', '', '', ''], [(5, 2), (14, 3), (7, 2)], [False, False, False, False], 74, False, [False, False, False, False], 5347, 'North', (2, 8))
Element 14: (1, (2, 8), ['', '', '%', '%'], [(5, 1), (14, 4), (7, 3)], [False, False, True, True], 72, False, [False, False, False, False], 5366, 'West', (1, 8))
Element 15: (1, (1, 8), ['%', '', '%', ''], [(4, 1), (15, 4), (8, 3)], [True, False, True, False], 70, False, [False, False, False, False], 5385, 'South', (1, 7))
Element 16: (1, (1, 7), ['%', '', '', ''], [(3, 1), (16, 4), (8, 4)], [True, False, False, False], 68, False, [False, False, False, False], 5414, 'South', (1, 6))
Element 17: (1, (1, 6), ['%', '', '', ''], [(2, 1), (17, 4), (9, 4)], [True, False, False, False], 66, False, [False, False, False, False], 5443, 'South', (1, 5))
Element 18: (1, (1, 5), ['%', '.', '', ''], [(2, 2), (18, 4), (10, 4)], [True, False, False, False], 64, False, [False, True, False, False], 5472, 'South', (1, 4))
Element 19: (1, (1, 4), ['%', '%', '', ''], [(1, 2), (18, 5), (10, 5)], [True, True, False, False], 62, False, [False, False, False, False], 6501, 'East', (2, 4))
Element 20: (1, (2, 4), ['', '', '', ''], [(1, 1), (17, 5), (9, 5)], [False, False, False, False], 60, False, [False, False, False, False], 6530, 'South', (2, 3))
Element 21: (1, (2, 3), ['%', '', '', ''], [(1, 2), (17, 6), (9, 6)], [True, False, False, False], 58, False, [False, False, False, False], 6549, 'East', (3, 3))
Element 22: (1, (3, 3), ['', '%', '', ''], [(2, 2), (17, 7), (9, 7)], [False, True, False, False], 56, False, [False, False, False, False], 6568, 'East', (4, 3))
Element 23: (1, (4, 3), ['', '', '', ''], [(2, 1), (18, 7), (10, 7)], [False, False, False, False], 54, False, [False, False, False, False], 6587, 'East', (5, 3))
Element 24: (1, (5, 3), ['', '', '%', ''], [(1, 1), (17, 7), (10, 8)], [False, False, True, False], 52, False, [False, False, False, False], 6596, 'East', (6, 3))
Element 25: (1, (6, 3), ['', '', '', ''], [(2, 1), (17, 6), (9, 8)], [False, False, False, False], 50, False, [False, False, False, False], 6605, 'East', (7, 3))
Element 26: (1, (7, 3), ['', '', '%', ''], [(3, 1), (16, 6), (8, 8)], [False, False, True, False], 48, False, [False, False, False, False], 6624, 'East', (8, 3))
Element 27: (1, (8, 3), ['', '', '', ''], [(4, 1), (16, 5), (8, 9)], [False, False, False, False], 46, False, [False, False, False, False], 6643, 'East', (9, 3))
Element 28: (1, (9, 3), ['', '', '', '.'], [(5, 1), (15, 5), (7, 9)], [False, False, False, False], 44, False, [False, False, False, True], 6662, 'East', (10, 3))
Element 29: (1, (10, 3), ['', '', '', '.'], [(6, 1), (15, 6), (7, 8)], [False, False, False, False], 42, False, [False, False, False, True], 6691, 'East', (11, 3))
Element 30: (1, (11, 3), ['', '', '.', '%'], [(7, 1), (15, 7), (6, 8)], [False, False, False, True], 40, False, [False, False, True, False], 6720, 'North', (11, 4))
Element 31: (1, (11, 4), ['', '', '%', '.'], [(8, 1), (15, 8), (6, 9)], [False, False, True, False], 38, False, [False, False, False, True], 6749, 'East', (12, 4))
Element 32: (1, (12, 4), ['', '%', '.', '.'], [(9, 1), (14, 8), (6, 8)], [False, True, False, False], 36, False, [False, False, True, True], 6768, 'East', (13, 4))
Element 33: (1, (13, 4), ['', '.', '.', ''], [(9, 2), (14, 7), (5, 8)], [False, False, False, False], 34, False, [False, True, True, False], 6797, 'North', (13, 5))
Element 34: (1, (13, 5), ['.', '', '.', '.'], [(10, 2), (14, 8), (4, 8)], [False, False, False, False], 32, False, [True, False, True, True], 6816, 'East', (14, 5))
Element 35: (1, (14, 5), ['', '', '%', ''], [(11, 2), (13, 8), (5, 8)], [False, False, True, False], 30, False, [False, False, False, False], 6835, 'East', (15, 5))
Element 36: (1, (15, 5), ['', '', '', ''], [(11, 1), (14, 8), (6, 8)], [False, False, False, False], 28, False, [False, False, False, False], 6844, 'East', (16, 5))
Element 37: (1, (16, 5), ['', '', '', ''], [(12, 1), (15, 8), (7, 8)], [False, False, False, False], 26, False, [False, False, False, False], 6853, 'East', (17, 5))
Element 38: (1, (17, 5), ['', '', '', ''], [(13, 1), (15, 7), (7, 9)], [False, False, False, False], 24, False, [False, False, False, False], 6862, 'East', (18, 5))
Element 39: (1, (18, 5), ['', '', '%', '%'], [(14, 1), (14, 7), (6, 9)], [False, False, True, True], 22, False, [False, False, False, False], 6871, 'South', (18, 4))
Element 40: (1, (18, 4), ['', '.', '', '%'], [(15, 1), (15, 7), (7, 9)], [False, False, False, True], 20, False, [False, True, False, False], 6880, 'South', (18, 3))
Element 41: (1, (18, 3), ['.', '%', '', '%'], [(14, 1), (15, 6), (8, 9)], [False, True, False, True], 18, False, [True, False, False, False], 6889, 'West', (17, 3))
Element 42: (1, (17, 3), ['.', '%', '', ''], [(14, 2), (15, 5), (8, 8)], [False, True, False, False], 16, False, [True, False, False, False], 6898, 'West', (16, 3))
Element 43: (1, (16, 3), ['%', '%', '', ''], [(14, 3), (14, 5), (7, 8)], [True, True, False, False], 14, False, [False, False, False, False], 6907, 'North', (16, 4))
Element 44: (1, (16, 4), ['', '', '', ''], [(13, 3), (13, 5), (8, 8)], [False, False, False, False], 12, False, [False, False, False, False], 6916, 'East', (17, 4))
Element 45: (1, (17, 4), ['', '', '', ''], [(13, 4), (13, 6), (9, 8)], [False, False, False, False], 10, False, [False, False, False, False], 6925, 'West', (16, 4))
Element 46: (1, (16, 4), ['', '', '', ''], [(14, 4), (12, 6), (10, 8)], [False, False, False, False], 8, False, [False, False, False, False], 6934, 'West', (15, 4))
Element 47: (1, (15, 4), ['', '%', '', ''], [(14, 5), (12, 5), (10, 7)], [False, True, False, False], 6, False, [False, False, False, False], 6943, 'West', (14, 4))
Element 48: (1, (14, 4), ['', '', '', ''], [(15, 5), (12, 4), (9, 7)], [False, False, False, False], 4, False, [False, False, False, False], 6942, 'South', (14, 3))
Element 49: (1, (14, 3), ['', '', '', '%'], [(16, 5), (13, 4), (9, 8)], [False, False, False, True], 2, False, [False, False, False, False], 6941, 'South', (14, 2))
Element 50: (1, (14, 2), ['', '', '', '%'], [(16, 5), (13, 3), (9, 7)], [False, False, False, True], 0, False, [False, False, False, False], 6940, 'Stop', (14, 2))
Element 51: #0#
