Element 1: (1, (5, 3), ['.', '.', '%', 'G'], [(15, 5), (6, 3), (17, 1)], [False, False, True, False], 98, False, [True, True, False, False], 9, 'South', (5, 2))
Element 2: (1, (5, 2), ['.', '.', '', '.'], [(16, 5), (7, 3), (18, 1)], [False, False, False, False], 96, False, [True, True, False, True], 48, 'East', (6, 2))
Element 3: (1, (6, 2), ['', 'F', '', '.'], [(17, 5), (8, 3), (17, 1)], [False, False, False, False], 94, False, [False, False, False, True], 1067, 'South', (6, 1))
Element 4: (1, (6, 1), ['.', '%', '', '.'], [(18, 5), (9, 3), (17, 1)], [False, True, False, False], 92, False, [True, False, False, True], 2086, 'East', (7, 1))
Element 5: (1, (7, 1), ['', '%', '.', '.'], [(18, 4), (9, 2), (18, 1)], [False, True, False, False], 90, False, [False, False, True, True], 3105, 'East', (8, 1))
Element 6: (1, (8, 1), ['', '%', '.', '.'], [(18, 3), (10, 2), (17, 1)], [False, True, False, False], 88, False, [False, False, True, True], 3134, 'East', (9, 1))
Element 7: (1, (9, 1), ['', '%', '', '%'], [(17, 3), (11, 2), (17, 1)], [False, True, False, True], 86, False, [False, False, False, False], 3163, 'North', (9, 2))
Element 8: (1, (9, 2), ['.', '', '', ''], [(17, 4), (12, 2), (18, 1)], [False, False, False, False], 84, False, [True, False, False, False], 3182, 'West', (8, 2))
Element 9: (1, (8, 2), ['.', '', '', ''], [(16, 4), (13, 2), (17, 1)], [False, False, False, False], 82, False, [True, False, False, False], 3211, 'West', (7, 2))
Element 10: (1, (7, 2), ['', '', '', ''], [(16, 3), (14, 2), (17, 1)], [False, False, False, False], 80, False, [False, False, False, False], 3240, 'North', (7, 3))
Element 11: (1, (7, 3), ['', '', '%', ''], [(16, 4), (14, 3), (18, 1)], [False, False, True, False], 78, False, [False, False, False, False], 3249, 'East', (8, 3))
Element 12: (1, (8, 3), ['', '', '.', ''], [(15, 4), (14, 4), (17, 1)], [False, False, False, False], 76, False, [False, False, True, False], 3268, 'North', (8, 4))
Element 13: (1, (8, 4), ['%', '', '.', '.'], [(14, 4), (13, 4), (17, 1)], [True, False, False, False], 74, False, [False, False, True, True], 3287, 'East', (9, 4))
Element 14: (1, (9, 4), ['', '', '.', '.'], [(14, 3), (13, 5), (18, 1)], [False, False, False, False], 72, False, [False, False, True, True], 3306, 'East', (10, 4))
Element 15: (1, (10, 4), ['', '.', 'F', '.'], [(13, 3), (13, 6), (17, 1)], [False, False, False, False], 70, False, [False, True, False, True], 3335, 'North', (10, 5))
Element 16: (1, (10, 5), ['.', '', '%', '%'], [(13, 4), (12, 6), (17, 1)], [False, False, True, True], 68, False, [True, False, False, False], 4344, 'West', (9, 5))
Element 17: (1, (9, 5), ['.', '', '.', ''], [(12, 4), (12, 5), (18, 1)], [False, False, False, False], 66, False, [True, False, True, False], 4373, 'North', (9, 6))
Element 18: (1, (9, 6), ['.', '', '.', '%'], [(11, 4), (12, 6), (17, 1)], [False, False, False, True], 64, False, [True, False, True, False], 4392, 'North', (9, 7))
Element 19: (1, (9, 7), ['%', '', '.', '.'], [(11, 3), (11, 6), (17, 1)], [True, False, False, False], 62, False, [False, False, True, True], 4421, 'East', (10, 7))
Element 20: (1, (10, 7), ['', '%', '.', '%'], [(10, 3), (12, 6), (18, 1)], [False, True, False, True], 60, False, [False, False, True, False], 4440, 'North', (10, 8))
Element 21: (1, (10, 8), ['.', '', '%', '%'], [(10, 4), (13, 6), (17, 1)], [False, False, True, True], 58, False, [True, False, False, False], 4449, 'West', (9, 8))
Element 22: (1, (9, 8), ['.', '', '%', ''], [(10, 5), (13, 5), (17, 1)], [False, False, True, False], 56, False, [True, False, False, False], 4458, 'West', (8, 8))
Element 23: (1, (8, 8), ['.', '%', '.', ''], [(9, 5), (12, 5), (18, 1)], [False, True, False, False], 54, False, [True, False, True, False], 4467, 'North', (8, 9))
Element 24: (1, (8, 9), ['.', '', '%', '%'], [(8, 5), (13, 5), (17, 1)], [False, False, True, True], 52, False, [True, False, False, False], 4486, 'West', (7, 9))
Element 25: (1, (7, 9), ['.', '.', '%', ''], [(8, 6), (14, 5), (17, 1)], [False, False, True, False], 50, False, [True, True, False, False], 4505, 'South', (7, 8))
Element 26: (1, (7, 8), ['.', '%', '', ''], [(9, 6), (15, 5), (18, 1)], [False, True, False, False], 48, False, [True, False, False, False], 4514, 'West', (6, 8))
Element 27: (1, (6, 8), ['.', '%', '.', ''], [(9, 7), (15, 6), (17, 1)], [False, True, False, False], 46, False, [True, False, True, False], 4533, 'North', (6, 9))
Element 28: (1, (6, 9), ['%', '', '%', ''], [(10, 7), (16, 6), (17, 1)], [True, False, True, False], 44, False, [False, False, False, False], 4552, 'South', (6, 8))
Element 29: (1, (6, 8), ['.', '%', '', ''], [(10, 8), (17, 6), (18, 1)], [False, True, False, False], 42, False, [True, False, False, False], 4561, 'West', (5, 8))
Element 30: (1, (5, 8), ['.', '%', '%', ''], [(9, 8), (17, 7), (17, 1)], [False, True, True, False], 40, False, [True, False, False, False], 4580, 'West', (4, 8))
Element 31: (1, (4, 8), ['%', '%', '%', ''], [(8, 8), (18, 7), (17, 1)], [True, True, True, False], 38, False, [False, False, False, False], 4599, 'East', (5, 8))
Element 32: (1, (5, 8), ['', '%', '%', ''], [(8, 9), (17, 7), (18, 1)], [False, True, True, False], 36, False, [False, False, False, False], 4598, 'East', (6, 8))
Element 33: (1, (6, 8), ['', '%', '', ''], [(7, 9), (17, 6), (17, 1)], [False, True, False, False], 34, False, [False, False, False, False], 4597, 'East', (7, 8))
Element 34: (1, (7, 8), ['', '%', '', ''], [(6, 9), (17, 5), (17, 1)], [False, True, False, False], 32, False, [False, False, False, False], 4596, 'North', (7, 9))
