Element 1: (1, (5, 1), ['.', '%', '.', 'F'], [(17, 5), (10, 4), (17, 4)], [False, True, False, False], 98, False, [True, False, True, False], 9, 'East', (6, 1))
Element 2: (1, (6, 1), ['', '%', '.', '.'], [(18, 5), (10, 5), (18, 4)], [False, True, False, False], 96, False, [False, False, True, True], 2028, 'East', (7, 1))
Element 3: (1, (7, 1), ['', '%', '.', '.'], [(18, 4), (9, 5), (18, 3)], [False, True, False, False], 94, False, [False, False, True, True], 2057, 'East', (8, 1))
Element 4: (1, (8, 1), ['', '%', '.', '.'], [(18, 3), (9, 6), (17, 3)], [False, True, False, False], 92, False, [False, False, True, True], 2086, 'East', (9, 1))
Element 5: (1, (9, 1), ['', '%', 'F', '%'], [(17, 3), (9, 7), (16, 3)], [False, True, False, True], 90, False, [False, False, False, False], 2115, 'North', (9, 2))
Element 6: (1, (9, 2), ['.', '', '.', '.'], [(17, 4), (10, 7), (16, 4)], [False, False, False, False], 88, False, [True, False, True, True], 3134, 'East', (10, 2))
Element 7: (1, (10, 2), ['', '%', '.', '.'], [(16, 4), (10, 8), (15, 4)], [False, True, False, False], 86, False, [False, False, True, True], 3163, 'East', (11, 2))
Element 8: (1, (11, 2), ['', '.', '.', '.'], [(16, 3), (9, 8), (15, 5)], [False, False, False, False], 84, False, [False, True, True, True], 3192, 'East', (12, 2))
Element 9: (1, (12, 2), ['', '.', '%', '.'], [(16, 4), (8, 8), (15, 6)], [False, False, True, False], 82, False, [False, True, False, True], 3221, 'East', (13, 2))
Element 10: (1, (13, 2), ['', '.', '.', '.'], [(15, 4), (8, 9), (16, 6)], [False, False, False, False], 80, False, [False, True, True, True], 3250, 'East', (14, 2))
Element 11: (1, (14, 2), ['', '.', '.', '%'], [(14, 4), (7, 9), (17, 6)], [False, False, False, True], 78, False, [False, True, True, False], 3289, 'North', (14, 3))
Element 12: (1, (14, 3), ['.', '', '', '%'], [(14, 5), (7, 8), (17, 7)], [False, False, False, True], 76, False, [True, False, False, False], 3328, 'West', (13, 3))
Element 13: (1, (13, 3), ['%', '', '.', ''], [(13, 5), (6, 8), (18, 7)], [True, False, False, False], 74, False, [False, False, True, False], 3367, 'North', (13, 4))
Element 14: (1, (13, 4), ['.', '', '', ''], [(13, 6), (6, 9), (17, 7)], [False, False, False, False], 72, False, [True, False, False, False], 3396, 'West', (12, 4))
Element 15: (1, (12, 4), ['.', '%', '.', ''], [(12, 6), (6, 8), (17, 6)], [False, True, False, False], 70, False, [True, False, True, False], 3415, 'North', (12, 5))
Element 16: (1, (12, 5), ['%', '', '', ''], [(11, 6), (5, 8), (17, 5)], [True, False, False, False], 68, False, [False, False, False, False], 3444, 'East', (13, 5))
Element 17: (1, (13, 5), ['', '', '', ''], [(12, 6), (4, 8), (18, 5)], [False, False, False, False], 66, False, [False, False, False, False], 3453, 'East', (14, 5))
Element 18: (1, (14, 5), ['', '', '%', ''], [(13, 6), (5, 8), (17, 5)], [False, False, True, False], 64, False, [False, False, False, False], 3452, 'East', (15, 5))
Element 19: (1, (15, 5), ['', '', '', 'G'], [(13, 5), (6, 8), (16, 5)], [False, False, False, False], 62, False, [False, False, False, False], 3451, 'North', (15, 6))
Element 20: (1, (15, 6), ['%', '', '.', ''], [(12, 5), (7, 8), (17, 5)], [True, False, False, False], 60, False, [False, False, True, False], 3450, 'North', (15, 7))
Element 21: (1, (15, 7), ['.', '', '.', '%'], [(12, 4), (7, 9), (17, 6)], [False, False, False, True], 58, False, [True, False, True, False], 3459, 'North', (15, 8))
Element 22: (1, (15, 8), ['.', '', '%', '%'], [(11, 4), (6, 9), (16, 6)], [False, False, True, True], 56, False, [True, False, False, False], 3478, 'West', (14, 8))
Element 23: (1, (14, 8), ['.', '.', '%', ''], [(11, 3), (7, 9), (16, 5)], [False, False, True, False], 54, False, [True, True, False, False], 3497, 'South', (14, 7))
Element 24: (1, (14, 7), ['%', '%', '', ''], [(10, 3), (8, 9), (16, 6)], [True, True, False, False], 52, False, [False, False, False, False], 3516, 'North', (14, 8))
Element 25: (1, (14, 8), ['.', '', '%', ''], [(9, 3), (8, 8), (15, 6)], [False, False, True, False], 50, False, [True, False, False, False], 3525, 'West', (13, 8))
Element 26: (1, (13, 8), ['%', '%', '%', ''], [(8, 3), (7, 8), (15, 7)], [True, True, True, False], 48, False, [False, False, False, False], 4534, 'East', (14, 8))
Element 27: (1, (14, 8), ['', '', '%', 'G'], [(8, 4), (8, 8), (15, 8)], [False, False, True, False], 46, False, [False, False, False, False], 4543, 'West', (13, 8))
