Element 27: (1, (14, 8), ['', 'G', '%', ''], [(14, 7), (17, 7), (14, 7)], [False, False, True, False], 46, False, [False, False, False, False], 1333, 'West', (13, 8))
Element 28: (1, (13, 8), ['%', '%', '%', ''], [(14, 7), (17, 6), (14, 7)], [True, True, True, False], 44, False, [False, False, False, False], 1332, 'East', (14, 8))
Element 29: (1, (14, 8), ['', 'G', '%', ''], [(14, 7), (16, 6), (14, 7)], [False, False, True, False], 42, False, [False, False, False, False], 1331, 'East', (15, 8))
Element 30: (1, (15, 8), ['G', '', '%', '%'], [(14, 8), (15, 6), (14, 7)], [False, False, True, True], 40, False, [False, False, False, False], 1330, 'South', (15, 7))
Element 31: (1, (15, 7), ['G', '', '', '%'], [(13, 8), (15, 5), (14, 7)], [False, False, False, True], 38, False, [False, False, False, False], 1329, 'South', (15, 6))
Element 32: (1, (15, 6), ['%', '', '', ''], [(13, 8), (14, 5), (14, 8)], [True, False, False, False], 36, False, [False, False, False, False], 1328, 'South', (15, 5))
Element 33: (1, (15, 5), ['', '', '', ''], [(14, 8), (13, 5), (14, 7)], [False, False, False, False], 34, False, [False, False, False, False], 1327, 'West', (14, 5))
Element 34: (1, (14, 5), ['', '', '%', ''], [(13, 8), (13, 6), (14, 7)], [False, False, True, False], 32, False, [False, False, False, False], 1336, 'West', (13, 5))
Element 35: (1, (13, 5), ['.', '', '', ''], [(14, 8), (12, 6), (14, 7)], [False, False, False, False], 30, False, [True, False, False, False], 1345, 'West', (12, 5))
Element 36: (1, (12, 5), ['%', '', '', ''], [(13, 8), (11, 6), (14, 7)], [True, False, False, False], 28, False, [False, False, False, False], 1364, 'North', (12, 6))
Element 37: (1, (12, 6), ['G', '', '%', ''], [(13, 8), (11, 6), (14, 7)], [False, False, True, False], 26, False, [False, False, False, False], 1363, 'East', (13, 6))
Element 38: (1, (13, 6), ['G', '', '%', '%'], [(13, 8), (12, 6), (14, 7)], [False, False, True, True], 24, False, [False, False, False, False], 1362, 'South', (13, 5))
Element 39: (1, (13, 5), ['', '', '', ''], [(13, 8), (11, 6), (14, 7)], [False, False, False, False], 22, False, [False, False, False, False], 1361, 'West', (12, 5))
Element 40: (1, (12, 5), ['%', '', 'G', ''], [(13, 8), (12, 6), (14, 7)], [True, False, False, False], 20, False, [False, False, False, False], 1360, 'South', (12, 4))
Element 41: (1, (12, 4), ['', '%', 'G', ''], [(13, 8), (12, 5), (14, 7)], [False, True, False, False], 18, False, [False, False, False, False], 1359, 'East', (13, 4))
Element 42: (1, (13, 4), ['G', '', '', ''], [(14, 8), (12, 4), (14, 7)], [False, False, False, False], 16, False, [False, False, False, False], 1358, 'South', (13, 3))
Element 43: (1, (13, 3), ['%', '', 'G', ''], [(14, 7), (13, 4), (14, 7)], [True, False, False, False], 14, False, [False, False, False, False], 1357, 'North', (13, 4))
Element 44: (1, (13, 4), ['', 'G', '', ''], [(14, 7), (13, 3), (14, 7)], [False, False, False, False], 12, False, [False, False, False, False], 1356, 'West', (12, 4))
Element 45: (1, (12, 4), ['', '%', '', ''], [(14, 8), (13, 2), (14, 7)], [False, True, False, False], 10, False, [False, False, False, False], 1355, 'North', (12, 5))
Element 46: (1, (12, 5), ['%', '', '', ''], [(14, 7), (12, 2), (14, 7)], [True, False, False, False], 8, False, [False, False, False, False], 1354, 'East', (13, 5))
Element 47: (1, (13, 5), ['', '', '', ''], [(14, 7), (12, 1), (14, 7)], [False, False, False, False], 6, False, [False, False, False, False], 1363, 'North', (13, 6))
Element 48: (1, (13, 6), ['', '', '%', '%'], [(14, 7), (11, 1), (14, 7)], [False, False, True, True], 4, False, [False, False, False, False], 1372, 'South', (13, 5))
Element 49: (1, (13, 5), ['', '', '', ''], [(14, 7), (11, 2), (14, 7)], [False, False, False, False], 2, False, [False, False, False, False], 1371, 'South', (13, 4))
Element 50: (1, (13, 4), ['', '', '', ''], [(14, 7), (11, 3), (14, 7)], [False, False, False, False], 0, False, [False, False, False, False], 1370, 'Stop', (13, 4))
Element 51: #0#
