Element 1: (3, (18, 13), ['.', '.', '%', '%'], [(9, 2), (3, 5), (6, 1)], [False, False, True, True], 98, False, [True, True, False, False], 2009, 'South', (18, 12))
Element 2: (3, (18, 12), ['.', '.', '', '%'], [(10, 2), (4, 5), (7, 1)], [False, False, False, True], 96, False, [True, True, False, False], 2048, 'South', (18, 11))
Element 3: (3, (18, 11), ['.', '.', '', '%'], [(11, 2), (5, 5), (8, 1)], [False, False, False, True], 94, False, [True, True, False, False], 2087, 'South', (18, 10))
Element 4: (3, (18, 10), ['.', '%', '', '%'], [(12, 2), (6, 5), (9, 1)], [False, True, False, True], 92, False, [True, False, False, False], 2126, 'West', (17, 10))
Element 5: (3, (17, 10), ['.', '.', '.', ''], [(13, 2), (6, 6), (9, 2)], [False, False, False, False], 90, False, [True, True, True, False], 2155, 'North', (17, 11))
Element 6: (3, (17, 11), ['.', '', '.', ''], [(14, 2), (5, 6), (8, 2)], [False, False, False, False], 88, False, [True, False, True, False], 2194, 'North', (17, 12))
Element 7: (3, (17, 12), ['.', '', '.', ''], [(14, 3), (4, 6), (8, 3)], [False, False, False, False], 86, False, [True, False, True, False], 3223, 'North', (17, 13))
Element 8: (3, (17, 13), ['.', '', '%', ''], [(14, 4), (3, 6), (8, 4)], [False, False, True, False], 84, False, [True, False, False, False], 3262, 'West', (16, 13))
Element 9: (3, (16, 13), ['.', '.', '%', ''], [(15, 4), (3, 7), (9, 4)], [False, False, True, False], 82, False, [True, True, False, False], 3301, 'South', (16, 12))
Element 10: (3, (16, 12), ['.', '.', '', ''], [(16, 4), (2, 7), (10, 4)], [False, False, False, False], 80, False, [True, True, False, False], 3340, 'South', (16, 11))
Element 11: (3, (16, 11), ['%', '.', '', ''], [(17, 4), (2, 8), (10, 5)], [True, False, False, False], 78, False, [False, True, False, False], 5359, 'South', (16, 10))
Element 12: (3, (16, 10), ['%', '.', '', ''], [(18, 4), (1, 8), (9, 5)], [True, False, False, False], 76, False, [False, True, False, False], 6388, 'South', (16, 9))
Element 13: (3, (16, 9), ['%', '%', '', '.'], [(18, 5), (1, 7), (9, 6)], [True, True, False, False], 74, False, [False, False, False, True], 6427, 'East', (17, 9))
Element 14: (3, (17, 9), ['', '%', '', '%'], [(17, 5), (1, 6), (9, 7)], [False, True, False, True], 72, False, [False, False, False, False], 6466, 'West', (16, 9))
Element 15: (3, (16, 9), ['%', '%', '', ''], [(17, 6), (2, 6), (10, 7)], [True, True, False, False], 70, False, [False, False, False, False], 6495, 'North', (16, 10))
Element 16: (3, (16, 10), ['%', '', '', ''], [(17, 7), (1, 6), (10, 8)], [True, False, False, False], 68, False, [False, False, False, False], 6514, 'North', (16, 11))
Element 17: (3, (16, 11), ['%', '', '', ''], [(18, 7), (1, 5), (9, 8)], [True, False, False, False], 66, False, [False, False, False, False], 6543, 'North', (16, 12))
Element 18: (3, (16, 12), ['.', '', '', ''], [(17, 7), (1, 4), (8, 8)], [False, False, False, False], 64, False, [True, False, False, False], 6562, 'West', (15, 12))
Element 19: (3, (15, 12), ['%', '%', '.', ''], [(17, 6), (2, 4), (8, 9)], [True, True, False, False], 62, False, [False, False, True, False], 6591, 'North', (15, 13))
Element 20: (3, (15, 13), ['.', '', '%', ''], [(16, 6), (3, 4), (7, 9)], [False, False, True, False], 60, False, [True, False, False, False], 6630, 'West', (14, 13))
Element 21: (3, (14, 13), ['.', '%', '%', ''], [(16, 5), (4, 4), (7, 8)], [False, True, True, False], 58, False, [True, False, False, False], 6669, 'West', (13, 13))
Element 22: (3, (13, 13), ['.', '.', '%', ''], [(15, 5), (4, 3), (6, 8)], [False, False, True, False], 56, False, [True, True, False, False], 6708, 'South', (13, 12))
Element 23: (3, (13, 12), ['.', '.', '', '%'], [(15, 6), (5, 3), (6, 9)], [False, False, False, True], 54, False, [True, True, False, False], 6747, 'South', (13, 11))
Element 24: (3, (13, 11), ['.', '%', '', '%'], [(15, 7), (6, 3), (6, 8)], [False, True, False, True], 52, False, [True, False, False, False], 6776, 'West', (12, 11))
Element 25: (3, (12, 11), ['%', '%', '.', ''], [(15, 8), (7, 3), (5, 8)], [True, True, False, False], 50, False, [False, False, True, False], 6815, 'North', (12, 12))
Element 26: (3, (12, 12), ['.', '', '.', ''], [(14, 8), (7, 2), (4, 8)], [False, False, False, False], 48, False, [True, False, True, False], 6854, 'North', (12, 13))
Element 27: (3, (12, 13), ['%', '', '%', ''], [(14, 7), (6, 2), (5, 8)], [True, False, True, False], 46, False, [False, False, False, False], 6883, 'South', (12, 12))
Element 28: (3, (12, 12), ['.', '', '', ''], [(14, 8), (5, 2), (6, 8)], [False, False, False, False], 44, False, [True, False, False, False], 6892, 'West', (11, 12))
Element 29: (3, (11, 12), ['.', '%', '%', ''], [(13, 8), (4, 2), (7, 8)], [False, True, True, False], 42, False, [True, False, False, False], 6921, 'West', (10, 12))
Element 30: (3, (10, 12), ['.', '%', '.', ''], [(14, 8), (4, 1), (7, 9)], [False, True, False, False], 40, False, [True, False, True, False], 6940, 'North', (10, 13))
Element 31: (3, (10, 13), ['.', '', '%', '%'], [(15, 8), (3, 1), (6, 9)], [False, False, True, True], 38, False, [True, False, False, False], 6959, 'West', (9, 13))
Element 32: (3, (9, 13), ['%', '.', '%', ''], [(15, 7), (2, 1), (7, 9)], [True, False, True, False], 36, False, [False, True, False, False], 6978, 'South', (9, 12))
Element 33: (3, (9, 12), ['F', '%', '', ''], [(14, 7), (2, 2), (8, 9)], [False, True, False, False], 34, False, [False, False, False, False], 6997, 'West', (8, 12))
Element 34: (3, (8, 12), ['.', '%', '%', ''], [(15, 7), (2, 3), (8, 8)], [False, True, True, False], 32, False, [True, False, False, False], 8006, 'West', (7, 12))
Element 35: (3, (7, 12), ['.', '%', '.', ''], [(15, 6), (3, 3), (7, 8)], [False, True, False, False], 30, False, [True, False, True, False], 8025, 'North', (7, 13))
Element 36: (3, (7, 13), ['.', '', '%', '%'], [(15, 5), (2, 3), (8, 8)], [False, False, True, True], 28, False, [True, False, False, False], 8034, 'West', (6, 13))
Element 37: (3, (6, 13), ['.', '.', '%', ''], [(14, 5), (2, 2), (9, 8)], [False, False, True, False], 26, False, [True, True, False, False], 8053, 'South', (6, 12))
Element 38: (3, (6, 12), ['.', '.', '', ''], [(13, 5), (1, 2), (10, 8)], [False, False, False, False], 24, False, [True, True, False, False], 8082, 'South', (6, 11))
Element 39: (3, (6, 11), ['.', '%', '', '%'], [(13, 6), (1, 1), (10, 7)], [False, True, False, True], 22, False, [True, False, False, False], 8111, 'West', (5, 11))
