Element 1: (2, (9, 1), ['.', '%', 'F', '%'], [(3, 3), (8, 2), (13, 11)], [False, True, False, True], 98, False, [True, False, False, False], 19, 'North', (9, 2))
Element 2: (2, (9, 2), ['', '', '.', '.'], [(4, 3), (8, 3), (13, 12)], [False, False, False, False], 96, False, [False, False, True, True], 2038, 'East', (10, 2))
Element 3: (2, (10, 2), ['', '%', '.', '.'], [(5, 3), (9, 3), (13, 13)], [False, True, False, False], 94, False, [False, False, True, True], 2077, 'East', (11, 2))
Element 4: (2, (11, 2), ['', '.', '.', '.'], [(6, 3), (10, 3), (14, 13)], [False, False, False, False], 92, False, [False, True, True, True], 2116, 'East', (12, 2))
Element 5: (2, (12, 2), ['', '.', '%', '.'], [(7, 3), (11, 3), (15, 13)], [False, False, True, False], 90, False, [False, True, False, True], 2155, 'East', (13, 2))
Element 6: (2, (13, 2), ['', '.', '.', '.'], [(8, 3), (11, 4), (16, 13)], [False, False, False, False], 88, False, [False, True, True, True], 2184, 'East', (14, 2))
Element 7: (2, (14, 2), ['', '.', '.', '%'], [(8, 4), (12, 4), (17, 13)], [False, False, False, True], 86, False, [False, True, True, False], 2223, 'North', (14, 3))
Element 8: (2, (14, 3), ['.', '', '.', '%'], [(9, 4), (13, 4), (18, 13)], [False, False, False, True], 84, False, [True, False, True, False], 2262, 'North', (14, 4))
Element 9: (2, (14, 4), ['', '', '.', '.'], [(10, 4), (13, 5), (18, 12)], [False, False, False, False], 82, False, [False, False, True, True], 2301, 'East', (15, 4))
Element 10: (2, (15, 4), ['', '%', '.', '.'], [(10, 5), (14, 5), (18, 11)], [False, True, False, False], 80, False, [False, False, True, True], 3330, 'East', (16, 4))
Element 11: (2, (16, 4), ['', '.', '.', '.'], [(9, 5), (15, 5), (18, 10)], [False, False, False, False], 78, False, [False, True, True, True], 3369, 'East', (17, 4))
Element 12: (2, (17, 4), ['', '.', '.', '.'], [(9, 6), (16, 5), (17, 10)], [False, False, False, False], 76, False, [False, True, True, True], 3408, 'East', (18, 4))
Element 13: (2, (18, 4), ['', '.', '.', '%'], [(9, 7), (17, 5), (17, 11)], [False, False, False, True], 74, False, [False, True, True, False], 3447, 'North', (18, 5))
Element 14: (2, (18, 5), ['', '', '%', '%'], [(10, 7), (17, 6), (17, 12)], [False, False, True, True], 72, False, [False, False, False, False], 3486, 'West', (17, 5))
Element 15: (2, (17, 5), ['', '', '', ''], [(10, 8), (17, 7), (16, 12)], [False, False, False, False], 70, False, [False, False, False, False], 3515, 'North', (17, 6))
Element 16: (2, (17, 6), ['.', '', '', '%'], [(9, 8), (18, 7), (16, 11)], [False, False, False, True], 68, False, [True, False, False, False], 3544, 'West', (16, 6))
Element 17: (2, (16, 6), ['.', '', '%', ''], [(8, 8), (17, 7), (16, 10)], [False, False, True, False], 66, False, [True, False, False, False], 3573, 'West', (15, 6))
Element 18: (2, (15, 6), ['%', '', '.', ''], [(8, 9), (17, 6), (16, 9)], [True, False, False, False], 64, False, [False, False, True, False], 3602, 'North', (15, 7))
Element 19: (2, (15, 7), ['.', '', '.', '%'], [(7, 9), (16, 6), (17, 9)], [False, False, False, True], 62, False, [True, False, True, False], 3631, 'North', (15, 8))
Element 20: (2, (15, 8), ['.', '', '%', '%'], [(7, 8), (15, 6), (16, 9)], [False, False, True, True], 60, False, [True, False, False, False], 3650, 'West', (14, 8))
Element 21: (2, (14, 8), ['.', '.', '%', ''], [(6, 8), (15, 7), (16, 10)], [False, False, True, False], 58, False, [True, True, False, False], 3669, 'South', (14, 7))
Element 22: (2, (14, 7), ['%', '%', '', ''], [(6, 9), (15, 8), (16, 11)], [True, True, False, False], 56, False, [False, False, False, False], 3688, 'North', (14, 8))
Element 23: (2, (14, 8), ['.', '', '%', ''], [(6, 8), (15, 7), (16, 12)], [False, False, True, False], 54, False, [True, False, False, False], 3687, 'West', (13, 8))
Element 24: (2, (13, 8), ['%', '%', '%', ''], [(5, 8), (15, 6), (15, 12)], [True, True, True, False], 52, False, [False, False, False, False], 3716, 'East', (14, 8))
