Element 39: (3, (15, 5), ['', '', '', ''], [(15, 7), (2, 2), (13, 4)], [False, False, False, False], 22, False, [False, False, False, False], 5681, 'West', (14, 5))
Element 40: (3, (14, 5), ['', '', '%', ''], [(15, 6), (1, 2), (13, 3)], [False, False, True, False], 20, False, [False, False, False, False], 5700, 'West', (13, 5))
Element 41: (3, (13, 5), ['.', '', '', ''], [(16, 6), (1, 1), (14, 3)], [False, False, False, False], 18, False, [True, False, False, False], 5709, 'West', (12, 5))
Element 42: (3, (12, 5), ['%', '', '.', ''], [(17, 6), (1, 2), (14, 4)], [True, False, False, False], 16, False, [False, False, True, False], 5718, 'North', (12, 6))
Element 43: (3, (12, 6), ['.', '', '%', ''], [(17, 5), (2, 2), (15, 4)], [False, False, True, False], 14, False, [True, False, False, False], 5727, 'West', (11, 6))
Element 44: (3, (11, 6), ['%', '%', '%', ''], [(17, 4), (2, 3), (16, 4)], [True, True, True, False], 12, False, [False, False, False, False], 5736, 'East', (12, 6))
Element 45: (3, (12, 6), ['', '', '%', ''], [(17, 5), (3, 3), (17, 4)], [False, False, True, False], 10, False, [False, False, False, False], 5735, 'East', (13, 6))
Element 46: (3, (13, 6), ['', '', '%', '%'], [(16, 5), (2, 3), (18, 4)], [False, False, True, True], 8, False, [False, False, False, False], 5734, 'West', (12, 6))
Element 47: (3, (12, 6), ['', '', '%', ''], [(16, 6), (2, 4), (18, 5)], [False, False, True, False], 6, False, [False, False, False, False], 5733, 'South', (12, 5))
Element 48: (3, (12, 5), ['%', '', '', ''], [(16, 5), (1, 4), (17, 5)], [True, False, False, False], 4, False, [False, False, False, False], 5732, 'South', (12, 4))
Element 49: (3, (12, 4), ['', '%', '', ''], [(16, 4), (1, 5), (17, 6)], [False, True, False, False], 2, False, [False, False, False, False], 5731, 'East', (13, 4))
Element 50: (3, (13, 4), ['', '', '', ''], [(16, 4), (1, 5), (17, 6)], [False, False, False, False], 0, False, [False, False, False, False], 5730, 'Stop', (13, 4))
Element 51: #0#
