Element 1: (2, (12, 11), ['%', '%', '.', '.'], [(16, 12), (4, 13), (17, 11)], [True, True, False, False], 98, False, [False, False, True, True], 19, 'East', (13, 11))
Element 2: (2, (13, 11), ['', '%', '.', '%'], [(17, 12), (5, 13), (18, 11)], [False, True, False, True], 96, False, [False, False, True, False], 58, 'North', (13, 12))
Element 3: (2, (13, 12), ['.', '', '.', '%'], [(17, 13), (6, 13), (18, 12)], [False, False, False, True], 94, False, [True, False, True, False], 97, 'North', (13, 13))
Element 4: (2, (13, 13), ['.', '', '%', '.'], [(16, 13), (7, 13), (18, 13)], [False, False, True, False], 92, False, [True, False, False, True], 136, 'East', (14, 13))
Element 5: (2, (14, 13), ['', '%', '%', 'G'], [(15, 13), (7, 12), (17, 13)], [False, True, True, False], 90, False, [False, False, False, False], 165, 'West', (13, 13))
Element 6: (2, (13, 13), ['.', '', '%', ''], [(15, 12), (8, 12), (17, 12)], [False, False, True, False], 88, False, [True, False, False, False], 1174, 'West', (12, 13))
Element 7: (2, (12, 13), ['%', '.', '%', ''], [(15, 13), (9, 12), (16, 12)], [True, False, True, False], 86, False, [False, True, False, False], 1193, 'South', (12, 12))
Element 8: (2, (12, 12), ['.', '', '', ''], [(14, 13), (10, 12), (16, 13)], [False, False, False, False], 84, False, [True, False, False, False], 1212, 'West', (11, 12))
Element 9: (2, (11, 12), ['', '%', '%', ''], [(13, 13), (10, 13), (15, 13)], [False, True, True, False], 82, False, [False, False, False, False], 1231, 'West', (10, 12))
Element 10: (2, (10, 12), ['', '%', '', ''], [(13, 12), (9, 13), (15, 12)], [False, True, False, False], 80, False, [False, False, False, False], 1240, 'North', (10, 13))
Element 11: (2, (10, 13), ['', '', '%', '%'], [(13, 11), (9, 12), (15, 13)], [False, False, True, True], 78, False, [False, False, False, False], 1239, 'West', (9, 13))
Element 12: (2, (9, 13), ['%', '', '%', ''], [(12, 11), (10, 12), (14, 13)], [True, False, True, False], 76, False, [False, False, False, False], 1238, 'South', (9, 12))
Element 13: (2, (9, 12), ['', '%', '', ''], [(12, 12), (10, 13), (13, 13)], [False, True, False, False], 74, False, [False, False, False, False], 1237, 'West', (8, 12))
Element 14: (2, (8, 12), ['', '%', '%', ''], [(12, 13), (9, 13), (13, 12)], [False, True, True, False], 72, False, [False, False, False, False], 1236, 'West', (7, 12))
Element 15: (2, (7, 12), ['.', '%', '', ''], [(12, 12), (9, 12), (13, 11)], [False, True, False, False], 70, False, [True, False, False, False], 1235, 'West', (6, 12))
Element 16: (2, (6, 12), ['.', '.', '', ''], [(11, 12), (8, 12), (12, 11)], [False, False, False, False], 68, False, [True, True, False, False], 1244, 'South', (6, 11))
Element 17: (2, (6, 11), ['.', '%', '', '%'], [(10, 12), (7, 12), (12, 12)], [False, True, False, True], 66, False, [True, False, False, False], 1253, 'West', (5, 11))
Element 18: (2, (5, 11), ['.', '%', '.', ''], [(10, 13), (6, 12), (12, 13)], [False, True, False, False], 64, False, [True, False, True, False], 1262, 'North', (5, 12))
Element 19: (2, (5, 12), ['.', '', '', ''], [(9, 13), (6, 11), (12, 12)], [False, False, False, False], 62, False, [True, False, False, False], 1271, 'West', (4, 12))
