Element 1: (2, (12, 1), ['.', '%', '.', 'G'], [(7, 3), (2, 11), (13, 1)], [False, True, False, False], 98, False, [True, False, True, False], 1009, 'North', (12, 2))
Element 2: (2, (12, 2), ['.', '', '%', '.'], [(8, 3), (1, 11), (14, 1)], [False, False, True, False], 96, False, [True, False, False, True], 3028, 'East', (13, 2))
Element 3: (2, (13, 2), ['', '', '.', '.'], [(9, 3), (1, 12), (15, 1)], [False, False, False, False], 94, False, [False, False, True, True], 3067, 'East', (14, 2))
Element 4: (2, (14, 2), ['', 'G', '.', '%'], [(9, 2), (1, 13), (14, 1)], [False, False, False, True], 92, False, [False, False, True, False], 4086, 'North', (14, 3))
Element 5: (2, (14, 3), ['.', 'G', '.', '%'], [(10, 2), (1, 12), (14, 2)], [False, False, False, True], 90, False, [True, False, True, False], 4105, 'North', (14, 4))
Element 6: (2, (14, 4), ['.', 'G', '.', '.'], [(11, 2), (1, 11), (14, 3)], [False, False, False, False], 88, False, [True, False, True, True], 4124, 'East', (15, 4))
Element 7: (2, (15, 4), ['', '%', '.', '.'], [(11, 3), (1, 10), (13, 3)], [False, True, False, False], 86, False, [False, False, True, True], 4163, 'East', (16, 4))
Element 8: (2, (16, 4), ['', '.', '.', '.'], [(11, 4), (2, 10), (13, 4)], [False, False, False, False], 84, False, [False, True, True, True], 4202, 'East', (17, 4))
Element 9: (2, (17, 4), ['', '.', '.', '.'], [(12, 4), (3, 10), (13, 5)], [False, False, False, False], 82, False, [False, True, True, True], 4241, 'East', (18, 4))
Element 10: (2, (18, 4), ['', '.', '.', '%'], [(12, 5), (4, 10), (14, 5)], [False, False, False, True], 80, False, [False, True, True, False], 4280, 'North', (18, 5))
Element 11: (2, (18, 5), ['.', '', '%', '%'], [(12, 6), (4, 11), (15, 5)], [False, False, True, True], 78, False, [True, False, False, False], 4319, 'West', (17, 5))
Element 12: (2, (17, 5), ['G', '', '.', ''], [(13, 6), (5, 11), (16, 5)], [False, False, False, False], 76, False, [False, False, True, False], 4358, 'North', (17, 6))
Element 13: (2, (17, 6), ['G', '', '.', '%'], [(13, 5), (6, 11), (16, 6)], [False, False, False, True], 74, False, [False, False, True, False], 4387, 'North', (17, 7))
Element 14: (2, (17, 7), ['%', '', '%', '.'], [(14, 5), (6, 12), (15, 6)], [True, False, True, False], 72, False, [False, False, False, True], 4416, 'East', (18, 7))
Element 15: (2, (18, 7), ['', '%', '%', '%'], [(15, 5), (7, 12), (15, 7)], [False, True, True, True], 70, False, [False, False, False, False], 4445, 'West', (17, 7))
Element 16: (2, (17, 7), ['%', '', '%', ''], [(16, 5), (8, 12), (15, 8)], [True, False, True, False], 68, False, [False, False, False, False], 5454, 'South', (17, 6))
Element 17: (2, (17, 6), ['', 'G', '', '%'], [(17, 5), (9, 12), (14, 8)], [False, False, False, True], 66, False, [False, False, False, False], 5473, 'West', (16, 6))
Element 18: (2, (16, 6), ['', '', '%', ''], [(18, 5), (10, 12), (14, 7)], [False, False, True, False], 64, False, [False, False, False, False], 5492, 'South', (16, 5))
Element 19: (2, (16, 5), ['', '', '', ''], [(18, 4), (11, 12), (14, 8)], [False, False, False, False], 62, False, [False, False, False, False], 5501, 'West', (15, 5))
Element 20: (2, (15, 5), ['', '', '', ''], [(18, 3), (12, 12), (13, 8)], [False, False, False, False], 60, False, [False, False, False, False], 5530, 'North', (15, 6))
Element 21: (2, (15, 6), ['%', '', '', ''], [(17, 3), (13, 12), (14, 8)], [True, False, False, False], 58, False, [False, False, False, False], 5549, 'North', (15, 7))
Element 22: (2, (15, 7), ['', '', 'G', '%'], [(16, 3), (13, 13), (15, 8)], [False, False, False, True], 56, False, [False, False, False, False], 5568, 'West', (14, 7))
Element 23: (2, (14, 7), ['%', '%', '', 'G'], [(16, 4), (14, 13), (15, 7)], [True, True, False, False], 54, False, [False, False, False, False], 5577, 'North', (14, 8))
Element 24: (2, (14, 8), ['', 'G', '%', ''], [(17, 4), (15, 13), (14, 7)], [False, False, True, False], 52, False, [False, False, False, False], 5586, 'East', (15, 8))
Element 25: (2, (15, 8), ['', 'G', '%', '%'], [(16, 4), (16, 13), (15, 7)], [False, False, True, True], 50, False, [False, False, False, False], 5595, 'West', (14, 8))
Element 26: (2, (14, 8), ['', '', '%', ''], [(15, 4), (17, 13), (15, 6)], [False, False, True, False], 48, False, [False, False, False, False], 5604, 'West', (13, 8))
Element 27: (2, (13, 8), ['%', '%', '%', ''], [(14, 4), (18, 13), (16, 6)], [True, True, True, False], 46, False, [False, False, False, False], 5613, 'East', (14, 8))
Element 28: (2, (14, 8), ['', '', '%', ''], [(14, 3), (18, 12), (17, 6)], [False, False, True, False], 44, False, [False, False, False, False], 5622, 'South', (14, 7))
Element 29: (2, (14, 7), ['%', '%', '', ''], [(14, 2), (18, 11), (17, 7)], [True, True, False, False], 42, False, [False, False, False, False], 5631, 'East', (15, 7))
Element 30: (2, (15, 7), ['', '', '', '%'], [(14, 1), (18, 10), (18, 7)], [False, False, False, True], 40, False, [False, False, False, False], 5640, 'South', (15, 6))
Element 31: (2, (15, 6), ['%', '', '', ''], [(15, 1), (17, 10), (17, 7)], [True, False, False, False], 38, False, [False, False, False, False], 5649, 'South', (15, 5))
Element 32: (2, (15, 5), ['', '', '', ''], [(14, 1), (17, 11), (17, 6)], [False, False, False, False], 36, False, [False, False, False, False], 5658, 'West', (14, 5))
Element 33: (2, (14, 5), ['', '', '%', ''], [(13, 1), (17, 12), (17, 5)], [False, False, True, False], 34, False, [False, False, False, False], 5667, 'West', (13, 5))
Element 34: (2, (13, 5), ['', '', '', ''], [(13, 2), (16, 12), (18, 5)], [False, False, False, False], 32, False, [False, False, False, False], 5676, 'North', (13, 6))
Element 35: (2, (13, 6), ['', '', '%', '%'], [(13, 3), (16, 11), (18, 4)], [False, False, True, True], 30, False, [False, False, False, False], 5685, 'West', (12, 6))
Element 36: (2, (12, 6), ['.', '', '%', ''], [(13, 4), (16, 10), (18, 3)], [False, False, True, False], 28, False, [True, False, False, False], 5694, 'West', (11, 6))
Element 37: (2, (11, 6), ['%', '%', '%', ''], [(13, 3), (16, 9), (17, 3)], [True, True, True, False], 26, False, [False, False, False, False], 5713, 'East', (12, 6))
Element 38: (2, (12, 6), ['', '', '%', ''], [(13, 2), (17, 9), (17, 4)], [False, False, True, False], 24, False, [False, False, False, False], 5722, 'South', (12, 5))
Element 39: (2, (12, 5), ['%', '', '', ''], [(12, 2), (16, 9), (16, 4)], [True, False, False, False], 22, False, [False, False, False, False], 5721, 'South', (12, 4))
Element 40: (2, (12, 4), ['', '%', '', ''], [(12, 1), (16, 10), (16, 3)], [False, True, False, False], 20, False, [False, False, False, False], 5720, 'East', (13, 4))
Element 41: (2, (13, 4), ['', '', '', ''], [(11, 1), (16, 11), (16, 4)], [False, False, False, False], 18, False, [False, False, False, False], 5729, 'South', (13, 3))
Element 42: (2, (13, 3), ['%', '', '', ''], [(12, 1), (16, 12), (15, 4)], [True, False, False, False], 16, False, [False, False, False, False], 5728, 'North', (13, 4))
Element 43: (2, (13, 4), ['', '', '', 'G'], [(12, 2), (15, 12), (14, 4)], [False, False, False, False], 14, False, [False, False, False, False], 5737, 'West', (12, 4))
Element 44: (2, (12, 4), ['', '%', '', ''], [(13, 2), (16, 12), (15, 4)], [False, True, False, False], 12, False, [False, False, False, False], 5736, 'West', (11, 4))
Element 45: (2, (11, 4), ['.', '', '%', ''], [(13, 1), (17, 12), (16, 4)], [False, False, True, False], 10, False, [True, False, False, False], 5735, 'West', (10, 4))
Element 46: (2, (10, 4), ['.', '.', 'F', ''], [(12, 1), (17, 11), (17, 4)], [False, False, False, False], 8, False, [True, True, False, False], 5744, 'North', (10, 5))
Element 47: (2, (10, 5), ['.', '', '%', '%'], [(13, 1), (16, 11), (17, 3)], [False, False, True, True], 6, False, [True, False, False, False], 6743, 'West', (9, 5))
Element 48: (2, (9, 5), ['.', '.', '.', ''], [(14, 1), (17, 11), (16, 3)], [False, False, False, False], 4, False, [True, True, True, False], 6752, 'North', (9, 6))
Element 49: (2, (9, 6), ['.', '', '.', '%'], [(14, 2), (17, 10), (17, 3)], [False, False, False, True], 2, False, [True, False, True, False], 6761, 'North', (9, 7))
Element 50: (2, (9, 7), ['%', '', '.', '.'], [(14, 2), (17, 10), (18, 3)], [True, False, False, False], 0, False, [False, False, True, True], 6770, 'Stop', (9, 7))
Element 51: #0#
