Element 1: (2, (15, 5), ['.', '', '.', '.'], [(16, 4), (10, 8), (18, 11)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (16, 5))
Element 2: (2, (16, 5), ['', '', '.', '.'], [(17, 4), (10, 7), (18, 12)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (17, 5))
Element 3: (2, (17, 5), ['', '', '.', '.'], [(18, 4), (9, 7), (18, 13)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (18, 5))
Element 4: (2, (18, 5), ['', '', '%', '%'], [(18, 3), (9, 6), (17, 13)], [False, False, True, True], 92, False, [False, False, False, False], 136, 'South', (18, 4))
Element 5: (2, (18, 4), ['', '', '', '%'], [(17, 3), (9, 5), (17, 12)], [False, False, False, True], 90, False, [False, False, False, False], 165, 'South', (18, 3))
Element 6: (2, (18, 3), ['', '%', '', '%'], [(16, 3), (10, 5), (17, 11)], [False, True, False, True], 88, False, [False, False, False, False], 1184, 'West', (17, 3))
Element 7: (2, (17, 3), ['', '%', '', ''], [(16, 4), (10, 4), (17, 10)], [False, True, False, False], 86, False, [False, False, False, False], 1203, 'North', (17, 4))
Element 8: (2, (17, 4), ['', '', '', ''], [(16, 3), (11, 4), (18, 10)], [False, False, False, False], 84, False, [False, False, False, False], 1222, 'West', (16, 4))
Element 9: (2, (16, 4), ['', '', '', ''], [(16, 4), (12, 4), (17, 10)], [False, False, False, False], 82, False, [False, False, False, False], 1231, 'South', (16, 3))
Element 10: (2, (16, 3), ['%', '%', '', ''], [(17, 4), (13, 4), (17, 9)], [True, True, False, False], 80, False, [False, False, False, False], 1250, 'North', (16, 4))
Element 11: (2, (16, 4), ['', '', '', ''], [(17, 3), (14, 4), (16, 9)], [False, False, False, False], 78, False, [False, False, False, False], 1269, 'West', (15, 4))
Element 12: (2, (15, 4), ['', '%', '', ''], [(17, 4), (14, 5), (16, 10)], [False, True, False, False], 76, False, [False, False, False, False], 1288, 'West', (14, 4))
Element 13: (2, (14, 4), ['', '.', '', ''], [(16, 4), (13, 5), (16, 11)], [False, False, False, False], 74, False, [False, True, False, False], 1307, 'South', (14, 3))
Element 14: (2, (14, 3), ['.', '.', '', '%'], [(16, 3), (13, 6), (16, 12)], [False, False, False, True], 72, False, [True, True, False, False], 1336, 'South', (14, 2))
Element 15: (2, (14, 2), ['.', '.', '', '%'], [(16, 4), (12, 6), (16, 13)], [False, False, False, True], 70, False, [True, True, False, False], 1365, 'South', (14, 1))
Element 16: (2, (14, 1), ['.', '%', '', '.'], [(15, 4), (12, 5), (15, 13)], [False, True, False, False], 68, False, [True, False, False, True], 1394, 'East', (15, 1))
Element 17: (2, (15, 1), ['', '%', '%', '%'], [(14, 4), (12, 6), (15, 12)], [False, True, True, True], 66, False, [False, False, False, False], 1413, 'West', (14, 1))
Element 18: (2, (14, 1), ['.', '%', '', ''], [(14, 5), (11, 6), (15, 13)], [False, True, False, False], 64, False, [True, False, False, False], 1422, 'West', (13, 1))
Element 19: (2, (13, 1), ['.', '%', '.', ''], [(15, 5), (12, 6), (14, 13)], [False, True, False, False], 62, False, [True, False, True, False], 1441, 'North', (13, 2))
Element 20: (2, (13, 2), ['.', '', '.', ''], [(15, 6), (13, 6), (13, 13)], [False, False, False, False], 60, False, [True, False, True, False], 1470, 'North', (13, 3))
Element 21: (2, (13, 3), ['%', '', '', ''], [(16, 6), (13, 5), (13, 12)], [True, False, False, False], 58, False, [False, False, False, False], 1499, 'North', (13, 4))
Element 22: (2, (13, 4), ['', '', '', ''], [(17, 6), (12, 5), (13, 11)], [False, False, False, False], 56, False, [False, False, False, False], 1518, 'North', (13, 5))
Element 23: (2, (13, 5), ['', '', '', ''], [(17, 7), (12, 4), (12, 11)], [False, False, False, False], 54, False, [False, False, False, False], 1537, 'East', (14, 5))
Element 24: (2, (14, 5), ['', '', '%', ''], [(18, 7), (11, 4), (12, 12)], [False, False, True, False], 52, False, [False, False, False, False], 1556, 'West', (13, 5))
Element 25: (2, (13, 5), ['', '', '', ''], [(17, 7), (11, 4), (12, 13)], [False, False, False, False], 50, False, [False, False, False, False], 1565, 'North', (13, 6))
Element 26: (2, (13, 6), ['', '', '%', '%'], [(17, 6), (11, 4), (12, 12)], [False, False, True, True], 48, False, [False, False, False, False], 1564, 'West', (12, 6))
Element 27: (2, (12, 6), ['', '', '%', ''], [(17, 5), (12, 4), (11, 12)], [False, False, True, False], 46, False, [False, False, False, False], 1573, 'South', (12, 5))
Element 28: (2, (12, 5), ['%', 'G', '', ''], [(18, 5), (12, 4), (10, 12)], [True, False, False, False], 44, False, [False, False, False, False], 1582, 'North', (12, 6))
Element 29: (2, (12, 6), ['', '', '%', ''], [(17, 5), (13, 4), (10, 13)], [False, False, True, False], 42, False, [False, False, False, False], 1591, 'West', (11, 6))
Element 30: (2, (11, 6), ['%', '%', '%', ''], [(16, 5), (13, 4), (9, 13)], [True, True, True, False], 40, False, [False, False, False, False], 1600, 'East', (12, 6))
Element 31: (2, (12, 6), ['', '', '%', ''], [(17, 5), (13, 5), (9, 12)], [False, False, True, False], 38, False, [False, False, False, False], 1609, 'East', (13, 6))
Element 32: (2, (13, 6), ['', '', '%', '%'], [(17, 6), (13, 4), (8, 12)], [False, False, True, True], 36, False, [False, False, False, False], 2608, 'South', (13, 5))
Element 33: (2, (13, 5), ['', '', '', ''], [(16, 6), (13, 3), (7, 12)], [False, False, False, False], 34, False, [False, False, False, False], 2617, 'West', (12, 5))
Element 34: (2, (12, 5), ['%', '', '', ''], [(16, 5), (14, 3), (7, 13)], [True, False, False, False], 32, False, [False, False, False, False], 2626, 'East', (13, 5))
Element 35: (2, (13, 5), ['', '', '', ''], [(16, 6), (14, 2), (6, 13)], [False, False, False, False], 30, False, [False, False, False, False], 2635, 'South', (13, 4))
Element 36: (2, (13, 4), ['', '', '', ''], [(15, 6), (14, 1), (6, 12)], [False, False, False, False], 28, False, [False, False, False, False], 2644, 'West', (12, 4))
Element 37: (2, (12, 4), ['', '%', '', ''], [(15, 7), (15, 1), (6, 11)], [False, True, False, False], 26, False, [False, False, False, False], 2663, 'West', (11, 4))
