Element 1: (0, (15, 4), ['.', '%', 'G', '.'], [(9, 8), (15, 5), (18, 11)], [False, True, False, False], 98, False, [True, False, False, True], 0, 'East', (16, 4))
Element 2: (0, (16, 4), ['', '.', 'G', '.'], [(10, 8), (16, 5), (18, 12)], [False, False, False, False], 96, False, [False, True, False, True], 39, 'East', (17, 4))
Element 3: (0, (17, 4), ['', '.', 'G', '.'], [(10, 7), (17, 5), (18, 13)], [False, False, False, False], 94, False, [False, True, False, True], 78, 'East', (18, 4))
Element 4: (0, (18, 4), ['', '.', 'G', '%'], [(9, 7), (18, 5), (17, 13)], [False, False, False, True], 92, False, [False, True, False, False], 117, 'South', (18, 3))
Element 5: (0, (18, 3), ['.', '%', 'G', '%'], [(9, 6), (18, 4), (17, 12)], [False, True, False, True], 90, False, [True, False, False, False], 146, 'West', (17, 3))
Element 6: (0, (17, 3), ['.', '%', '', 'G'], [(9, 5), (18, 3), (17, 11)], [False, True, False, False], 88, False, [True, False, False, False], 175, 'West', (16, 3))
Element 7: (0, (16, 3), ['%', '%', '', 'G'], [(10, 5), (17, 3), (17, 10)], [True, True, False, False], 86, False, [False, False, False, False], 1194, 'North', (16, 4))
Element 8: (0, (16, 4), ['', '', '', 'G'], [(10, 4), (17, 4), (18, 10)], [False, False, False, False], 84, False, [False, False, False, False], 1213, 'South', (16, 3))
Element 9: (0, (16, 3), ['%', '%', 'G', ''], [(11, 4), (16, 4), (17, 10)], [True, True, False, False], 82, False, [False, False, False, False], 1222, 'North', (16, 4))
Element 10: (0, (16, 4), ['', 'G', '', ''], [(12, 4), (16, 3), (17, 9)], [False, False, False, False], 80, False, [False, False, False, False], 1241, 'East', (17, 4))
Element 11: (0, (17, 4), ['G', '', '', ''], [(13, 4), (16, 4), (16, 9)], [False, False, False, False], 78, False, [False, False, False, False], 1260, 'South', (17, 3))
Element 12: (0, (17, 3), ['', '%', '', ''], [(14, 4), (15, 4), (16, 10)], [False, True, False, False], 76, False, [False, False, False, False], 1279, 'North', (17, 4))
Element 13: (0, (17, 4), ['', '', '', ''], [(14, 5), (14, 4), (16, 11)], [False, False, False, False], 74, False, [False, False, False, False], 1298, 'West', (16, 4))
Element 14: (0, (16, 4), ['', '', '', ''], [(13, 5), (14, 3), (16, 12)], [False, False, False, False], 72, False, [False, False, False, False], 1327, 'South', (16, 3))
Element 15: (0, (16, 3), ['%', '%', '', ''], [(13, 6), (14, 2), (16, 13)], [True, True, False, False], 70, False, [False, False, False, False], 1356, 'North', (16, 4))
Element 16: (0, (16, 4), ['', '', '', ''], [(12, 6), (14, 1), (15, 13)], [False, False, False, False], 68, False, [False, False, False, False], 1385, 'West', (15, 4))
Element 17: (0, (15, 4), ['', '%', '', ''], [(12, 5), (15, 1), (15, 12)], [False, True, False, False], 66, False, [False, False, False, False], 1414, 'West', (14, 4))
Element 18: (0, (14, 4), ['', '', '', ''], [(12, 6), (14, 1), (15, 13)], [False, False, False, False], 64, False, [False, False, False, False], 1413, 'North', (14, 5))
Element 19: (0, (14, 5), ['', '', '%', ''], [(11, 6), (13, 1), (14, 13)], [False, False, True, False], 62, False, [False, False, False, False], 1442, 'East', (15, 5))
Element 20: (0, (15, 5), ['', '', '.', ''], [(12, 6), (13, 2), (13, 13)], [False, False, False, False], 60, False, [False, False, True, False], 1461, 'North', (15, 6))
Element 21: (0, (15, 6), ['%', '', '.', '.'], [(13, 6), (13, 3), (13, 12)], [True, False, False, False], 58, False, [False, False, True, True], 1490, 'East', (16, 6))
Element 22: (0, (16, 6), ['', '', '%', '.'], [(13, 5), (13, 4), (13, 11)], [False, False, True, False], 56, False, [False, False, False, True], 1509, 'East', (17, 6))
Element 23: (0, (17, 6), ['', '', '.', '%'], [(12, 5), (13, 5), (12, 11)], [False, False, False, True], 54, False, [False, False, True, False], 1528, 'North', (17, 7))
Element 24: (0, (17, 7), ['%', '', '%', '.'], [(12, 4), (14, 5), (12, 12)], [True, False, True, False], 52, False, [False, False, False, True], 1547, 'East', (18, 7))
Element 25: (0, (18, 7), ['', '%', '%', '%'], [(11, 4), (13, 5), (12, 13)], [False, True, True, True], 50, False, [False, False, False, False], 1566, 'West', (17, 7))
Element 26: (0, (17, 7), ['%', '', '%', ''], [(11, 4), (13, 6), (12, 12)], [True, False, True, False], 48, False, [False, False, False, False], 1565, 'South', (17, 6))
Element 27: (0, (17, 6), ['', '', '', '%'], [(11, 4), (12, 6), (11, 12)], [False, False, False, True], 46, False, [False, False, False, False], 1574, 'South', (17, 5))
Element 28: (0, (17, 5), ['', '', '', ''], [(12, 4), (12, 5), (10, 12)], [False, False, False, False], 44, False, [False, False, False, False], 1583, 'East', (18, 5))
Element 29: (0, (18, 5), ['', '', '%', '%'], [(12, 4), (12, 6), (10, 13)], [False, False, True, True], 42, False, [False, False, False, False], 1592, 'West', (17, 5))
Element 30: (0, (17, 5), ['', '', '', ''], [(13, 4), (11, 6), (9, 13)], [False, False, False, False], 40, False, [False, False, False, False], 1601, 'West', (16, 5))
Element 31: (0, (16, 5), ['', '', '', ''], [(13, 4), (12, 6), (9, 12)], [False, False, False, False], 38, False, [False, False, False, False], 1610, 'East', (17, 5))
Element 32: (0, (17, 5), ['', '', '', ''], [(13, 5), (13, 6), (8, 12)], [False, False, False, False], 36, False, [False, False, False, False], 2609, 'North', (17, 6))
Element 33: (0, (17, 6), ['', '', '', '%'], [(13, 4), (13, 5), (7, 12)], [False, False, False, True], 34, False, [False, False, False, False], 2618, 'West', (16, 6))
Element 34: (0, (16, 6), ['', '', '%', ''], [(13, 3), (12, 5), (7, 13)], [False, False, True, False], 32, False, [False, False, False, False], 2627, 'South', (16, 5))
Element 35: (0, (16, 5), ['', '', '', ''], [(14, 3), (13, 5), (6, 13)], [False, False, False, False], 30, False, [False, False, False, False], 2636, 'North', (16, 6))
Element 36: (0, (16, 6), ['', '', '%', ''], [(14, 2), (13, 4), (6, 12)], [False, False, True, False], 28, False, [False, False, False, False], 2645, 'West', (15, 6))
Element 37: (0, (15, 6), ['%', '', '.', ''], [(14, 1), (12, 4), (6, 11)], [True, False, False, False], 26, False, [False, False, True, False], 2654, 'North', (15, 7))
Element 38: (0, (15, 7), ['.', '', '.', '%'], [(15, 1), (11, 4), (5, 11)], [False, False, False, True], 24, False, [True, False, True, False], 2673, 'North', (15, 8))
Element 39: (0, (15, 8), ['.', '', '%', '%'], [(14, 1), (11, 3), (5, 12)], [False, False, True, True], 22, False, [True, False, False, False], 2702, 'West', (14, 8))
Element 40: (0, (14, 8), ['.', '.', '%', ''], [(13, 1), (11, 2), (5, 13)], [False, False, True, False], 20, False, [True, True, False, False], 2731, 'South', (14, 7))
Element 41: (0, (14, 7), ['%', '%', '', ''], [(12, 1), (12, 2), (4, 13)], [True, True, False, False], 18, False, [False, False, False, False], 2770, 'North', (14, 8))
Element 42: (0, (14, 8), ['.', '', '%', ''], [(11, 1), (12, 1), (4, 12)], [False, False, True, False], 16, False, [True, False, False, False], 2789, 'West', (13, 8))
Element 43: (0, (13, 8), ['%', '%', '%', ''], [(11, 2), (11, 1), (4, 11)], [True, True, True, False], 14, False, [False, False, False, False], 2808, 'East', (14, 8))
Element 44: (0, (14, 8), ['', '', '%', ''], [(10, 2), (12, 1), (4, 10)], [False, False, True, False], 12, False, [False, False, False, False], 2827, 'East', (15, 8))
Element 45: (0, (15, 8), ['', '', '%', '%'], [(9, 2), (12, 2), (3, 10)], [False, False, True, True], 10, False, [False, False, False, False], 3836, 'South', (15, 7))
Element 46: (0, (15, 7), ['', '', '', '%'], [(9, 3), (11, 2), (2, 10)], [False, False, False, True], 8, False, [False, False, False, False], 3855, 'West', (14, 7))
Element 47: (0, (14, 7), ['%', '%', '', ''], [(8, 3), (11, 1), (2, 11)], [True, True, False, False], 6, False, [False, False, False, False], 5854, 'East', (15, 7))
Element 48: (0, (15, 7), ['', '', '', '%'], [(8, 4), (11, 2), (1, 11)], [False, False, False, True], 4, False, [False, False, False, False], 6863, 'South', (15, 6))
Element 49: (0, (15, 6), ['%', '', '', ''], [(9, 4), (10, 2), (1, 12)], [True, False, False, False], 2, False, [False, False, False, False], 6882, 'South', (15, 5))
Element 50: (0, (15, 5), ['', '', '', ''], [(8, 4), (10, 3), (2, 12)], [False, False, False, False], 0, False, [False, False, False, False], 6901, 'Stop', (15, 5))
Element 51: #0#
