Element 1: (1, (1, 13), ['%', '.', '%', '%'], [(16, 13), (7, 3), (15, 6)], [True, False, True, True], 98, False, [False, True, False, False], 9, 'South', (1, 12))
Element 2: (1, (1, 12), ['%', 'F', '', '.'], [(17, 13), (8, 3), (16, 6)], [True, False, False, False], 96, False, [False, False, False, True], 1038, 'South', (1, 11))
Element 3: (1, (1, 11), ['%', '.', '', 'F'], [(18, 13), (9, 3), (17, 6)], [True, False, False, False], 94, False, [False, True, False, False], 2067, 'East', (2, 11))
Element 4: (1, (2, 11), ['', '.', '.', '%'], [(18, 12), (9, 2), (17, 7)], [False, False, False, True], 92, False, [False, True, True, False], 4086, 'North', (2, 12))
Element 5: (1, (2, 12), ['', '', '%', '.'], [(18, 11), (10, 2), (18, 7)], [False, False, True, False], 90, False, [False, False, False, True], 4125, 'East', (3, 12))
Element 6: (1, (3, 12), ['', '%', '.', '.'], [(18, 10), (11, 2), (17, 7)], [False, True, False, False], 88, False, [False, False, True, True], 4154, 'East', (4, 12))
Element 7: (1, (4, 12), ['', '.', '.', '.'], [(17, 10), (12, 2), (17, 6)], [False, False, False, False], 86, False, [False, True, True, True], 4183, 'East', (5, 12))
Element 8: (1, (5, 12), ['', '.', '.', '.'], [(17, 11), (13, 2), (17, 5)], [False, False, False, False], 84, False, [False, True, True, True], 4222, 'East', (6, 12))
Element 9: (1, (6, 12), ['', '.', '.', '.'], [(17, 12), (14, 2), (18, 5)], [False, False, False, False], 82, False, [False, True, True, True], 4261, 'East', (7, 12))
Element 10: (1, (7, 12), ['', '%', '.', 'F'], [(16, 12), (14, 3), (18, 4)], [False, True, False, False], 80, False, [False, False, True, False], 4300, 'East', (8, 12))
Element 11: (1, (8, 12), ['', '%', '%', '.'], [(16, 11), (14, 4), (18, 3)], [False, True, True, False], 78, False, [False, False, False, True], 5329, 'East', (9, 12))
Element 12: (1, (9, 12), ['', '%', '.', '.'], [(16, 10), (15, 4), (17, 3)], [False, True, False, False], 76, False, [False, False, True, True], 5368, 'East', (10, 12))
Element 13: (1, (10, 12), ['', '%', '.', '.'], [(16, 9), (16, 4), (17, 4)], [False, True, False, False], 74, False, [False, False, True, True], 5407, 'East', (11, 12))
Element 14: (1, (11, 12), ['', '%', '%', '.'], [(17, 9), (16, 5), (16, 4)], [False, True, True, False], 72, False, [False, False, False, True], 5436, 'East', (12, 12))
Element 15: (1, (12, 12), ['', '.', '.', '.'], [(16, 9), (15, 5), (16, 3)], [False, False, False, False], 70, False, [False, True, True, True], 5465, 'East', (13, 12))
Element 16: (1, (13, 12), ['', '.', '.', '%'], [(16, 10), (14, 5), (16, 4)], [False, False, False, True], 68, False, [False, True, True, False], 5484, 'North', (13, 13))
Element 17: (1, (13, 13), ['.', '', '%', '.'], [(16, 11), (13, 5), (16, 5)], [False, False, True, False], 66, False, [True, False, False, True], 5503, 'East', (14, 13))
Element 18: (1, (14, 13), ['', '%', '%', ''], [(16, 12), (13, 6), (15, 5)], [False, True, True, False], 64, False, [False, False, False, False], 5522, 'East', (15, 13))
Element 19: (1, (15, 13), ['', 'G', '%', ''], [(15, 12), (12, 6), (15, 4)], [False, False, True, False], 62, False, [False, False, False, False], 5541, 'East', (16, 13))
Element 20: (1, (16, 13), ['', 'G', '%', ''], [(16, 12), (12, 5), (14, 4)], [False, False, True, False], 60, False, [False, False, False, False], 5550, 'East', (17, 13))
Element 21: (1, (17, 13), ['', 'G', '%', ''], [(17, 12), (12, 4), (13, 4)], [False, False, True, False], 58, False, [False, False, False, False], 5569, 'East', (18, 13))
Element 22: (1, (18, 13), ['', '', '%', '%'], [(17, 11), (11, 4), (13, 3)], [False, False, True, True], 56, False, [False, False, False, False], 5588, 'South', (18, 12))
Element 23: (1, (18, 12), ['', '', '', '%'], [(16, 11), (11, 3), (14, 3)], [False, False, False, True], 54, False, [False, False, False, False], 5597, 'South', (18, 11))
Element 24: (1, (18, 11), ['G', '', '', '%'], [(17, 11), (10, 3), (14, 2)], [False, False, False, True], 52, False, [False, False, False, False], 5606, 'South', (18, 10))
Element 25: (1, (18, 10), ['G', '%', '', '%'], [(17, 10), (10, 4), (14, 1)], [False, True, False, True], 50, False, [False, False, False, False], 5625, 'North', (18, 11))
Element 26: (1, (18, 11), ['', '', '', '%'], [(17, 9), (10, 5), (15, 1)], [False, False, False, True], 48, False, [False, False, False, False], 6634, 'North', (18, 12))
Element 27: (1, (18, 12), ['', '', '', '%'], [(17, 10), (9, 5), (14, 1)], [False, False, False, True], 46, False, [False, False, False, False], 6643, 'West', (17, 12))
Element 28: (1, (17, 12), ['', '', '', ''], [(16, 10), (9, 6), (13, 1)], [False, False, False, False], 44, False, [False, False, False, False], 6662, 'South', (17, 11))
Element 29: (1, (17, 11), ['', 'G', '', ''], [(17, 10), (9, 7), (12, 1)], [False, False, False, False], 42, False, [False, False, False, False], 6681, 'West', (16, 11))
Element 30: (1, (16, 11), ['%', '', '', ''], [(18, 10), (10, 7), (11, 1)], [True, False, False, False], 40, False, [False, False, False, False], 6700, 'North', (16, 12))
