Element 1: (2, (10, 4), ['.', '.', 'F', '.'], [(18, 7), (6, 5), (18, 13)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'North', (10, 5))
Element 2: (2, (10, 5), ['.', '', '%', '%'], [(17, 7), (6, 4), (18, 12)], [False, False, True, True], 96, False, [True, False, False, False], 1038, 'West', (9, 5))
Element 3: (2, (9, 5), ['.', '.', '.', ''], [(17, 6), (6, 3), (18, 11)], [False, False, False, False], 94, False, [True, True, True, False], 1077, 'North', (9, 6))
Element 4: (2, (9, 6), ['.', '', '.', '%'], [(17, 5), (7, 3), (18, 10)], [False, False, False, True], 92, False, [True, False, True, False], 1116, 'North', (9, 7))
Element 5: (2, (9, 7), ['%', '', '.', '.'], [(18, 5), (8, 3), (17, 10)], [True, False, False, False], 90, False, [False, False, True, True], 2145, 'East', (10, 7))
Element 6: (2, (10, 7), ['', '%', '.', '%'], [(18, 4), (9, 3), (17, 11)], [False, True, False, True], 88, False, [False, False, True, False], 2184, 'North', (10, 8))
Element 7: (2, (10, 8), ['.', '', '%', '%'], [(18, 3), (9, 2), (17, 12)], [False, False, True, True], 86, False, [True, False, False, False], 3213, 'West', (9, 8))
Element 8: (2, (9, 8), ['.', '', '%', ''], [(17, 3), (10, 2), (17, 13)], [False, False, True, False], 84, False, [True, False, False, False], 3252, 'West', (8, 8))
Element 9: (2, (8, 8), ['.', '%', '.', ''], [(17, 4), (11, 2), (16, 13)], [False, True, False, False], 82, False, [True, False, True, False], 3291, 'North', (8, 9))
Element 10: (2, (8, 9), ['.', '', '%', '%'], [(16, 4), (12, 2), (16, 12)], [False, False, True, True], 80, False, [True, False, False, False], 3330, 'West', (7, 9))
Element 11: (2, (7, 9), ['.', '.', '%', ''], [(16, 5), (13, 2), (16, 11)], [False, False, True, False], 78, False, [True, True, False, False], 3369, 'South', (7, 8))
Element 12: (2, (7, 8), ['.', '%', '', ''], [(16, 6), (14, 2), (16, 10)], [False, True, False, False], 76, False, [True, False, False, False], 3408, 'West', (6, 8))
Element 13: (2, (6, 8), ['.', '%', '.', ''], [(15, 6), (14, 3), (16, 9)], [False, True, False, False], 74, False, [True, False, True, False], 3447, 'North', (6, 9))
Element 14: (2, (6, 9), ['%', '', '%', ''], [(15, 7), (14, 4), (17, 9)], [True, False, True, False], 72, False, [False, False, False, False], 3486, 'South', (6, 8))
Element 15: (2, (6, 8), ['.', '%', '', ''], [(15, 8), (15, 4), (16, 9)], [False, True, False, False], 70, False, [True, False, False, False], 3505, 'West', (5, 8))
Element 16: (2, (5, 8), ['.', '%', '%', ''], [(14, 8), (15, 5), (16, 10)], [False, True, True, False], 68, False, [True, False, False, False], 3534, 'West', (4, 8))
Element 17: (2, (4, 8), ['%', '%', '%', ''], [(14, 7), (14, 5), (16, 11)], [True, True, True, False], 66, False, [False, False, False, False], 3563, 'East', (5, 8))
Element 18: (2, (5, 8), ['', '%', '%', ''], [(14, 8), (13, 5), (16, 12)], [False, True, True, False], 64, False, [False, False, False, False], 3572, 'East', (6, 8))
Element 19: (2, (6, 8), ['', '%', '', ''], [(13, 8), (13, 6), (15, 12)], [False, True, False, False], 62, False, [False, False, False, False], 3601, 'East', (7, 8))
Element 20: (2, (7, 8), ['', '%', '', ''], [(14, 8), (12, 6), (15, 13)], [False, True, False, False], 60, False, [False, False, False, False], 3620, 'North', (7, 9))
Element 21: (2, (7, 9), ['', '', '%', ''], [(15, 8), (12, 5), (14, 13)], [False, False, True, False], 58, False, [False, False, False, False], 3639, 'West', (6, 9))
Element 22: (2, (6, 9), ['%', '', '%', ''], [(15, 7), (12, 4), (13, 13)], [True, False, True, False], 56, False, [False, False, False, False], 3658, 'East', (7, 9))
Element 23: (2, (7, 9), ['', '', '%', ''], [(14, 7), (13, 4), (13, 12)], [False, False, True, False], 54, False, [False, False, False, False], 3677, 'East', (8, 9))
Element 24: (2, (8, 9), ['', '', '%', '%'], [(15, 7), (13, 3), (13, 11)], [False, False, True, True], 52, False, [False, False, False, False], 3696, 'South', (8, 8))
Element 25: (2, (8, 8), ['', '%', '', ''], [(15, 6), (13, 4), (12, 11)], [False, True, False, False], 50, False, [False, False, False, False], 3705, 'West', (7, 8))
Element 26: (2, (7, 8), ['', '%', '', ''], [(15, 5), (12, 4), (12, 12)], [False, True, False, False], 48, False, [False, False, False, False], 3714, 'East', (8, 8))
Element 27: (2, (8, 8), ['', '%', '', ''], [(15, 4), (11, 4), (12, 13)], [False, True, False, False], 46, False, [False, False, False, False], 3733, 'East', (9, 8))
Element 28: (2, (9, 8), ['', '', '%', ''], [(14, 4), (11, 3), (12, 12)], [False, False, True, False], 44, False, [False, False, False, False], 3742, 'East', (10, 8))
Element 29: (2, (10, 8), ['', '', '%', '%'], [(14, 5), (10, 3), (11, 12)], [False, False, True, True], 42, False, [False, False, False, False], 3761, 'South', (10, 7))
Element 30: (2, (10, 7), ['', '%', '', '%'], [(13, 5), (10, 4), (10, 12)], [False, True, False, True], 40, False, [False, False, False, False], 3770, 'West', (9, 7))
Element 31: (2, (9, 7), ['%', '', '', ''], [(13, 6), (9, 4), (10, 13)], [True, False, False, False], 38, False, [False, False, False, False], 3789, 'North', (9, 8))
Element 32: (2, (9, 8), ['', '', '%', ''], [(12, 6), (8, 4), (9, 13)], [False, False, True, False], 36, False, [False, False, False, False], 3808, 'South', (9, 7))
Element 33: (2, (9, 7), ['%', '', '', ''], [(11, 6), (8, 5), (9, 12)], [True, False, False, False], 34, False, [False, False, False, False], 3837, 'South', (9, 6))
Element 34: (2, (9, 6), ['G', '', '', '%'], [(12, 6), (8, 6), (8, 12)], [False, False, False, True], 32, False, [False, False, False, False], 4846, 'South', (9, 5))
Element 35: (2, (9, 5), ['', '', 'G', ''], [(12, 5), (9, 6), (7, 12)], [False, False, False, False], 30, False, [False, False, False, False], 4855, 'West', (8, 5))
Element 36: (2, (8, 5), ['%', '', '', ''], [(12, 4), (9, 7), (7, 13)], [True, False, False, False], 28, False, [False, False, False, False], 4864, 'North', (8, 6))
Element 37: (2, (8, 6), ['%', '', '%', ''], [(13, 4), (10, 7), (6, 13)], [True, False, True, False], 26, False, [False, False, False, False], 4873, 'South', (8, 5))
Element 38: (2, (8, 5), ['%', '', '', ''], [(13, 3), (10, 8), (6, 12)], [True, False, False, False], 24, False, [False, False, False, False], 4882, 'South', (8, 4))
Element 39: (2, (8, 4), ['%', '', '', ''], [(14, 3), (9, 8), (6, 11)], [True, False, False, False], 22, False, [False, False, False, False], 4891, 'East', (9, 4))
Element 40: (2, (9, 4), ['', '', '', ''], [(14, 2), (8, 8), (5, 11)], [False, False, False, False], 20, False, [False, False, False, False], 4900, 'South', (9, 3))
Element 41: (2, (9, 3), ['', '', '', ''], [(14, 1), (8, 9), (5, 12)], [False, False, False, False], 18, False, [False, False, False, False], 4919, 'East', (10, 3))
Element 42: (2, (10, 3), ['', '', '', ''], [(15, 1), (7, 9), (5, 13)], [False, False, False, False], 16, False, [False, False, False, False], 4938, 'East', (11, 3))
Element 43: (2, (11, 3), ['', '', '', '%'], [(14, 1), (7, 8), (4, 13)], [False, False, False, True], 14, False, [False, False, False, False], 4947, 'North', (11, 4))
Element 44: (2, (11, 4), ['', '', '%', ''], [(13, 1), (6, 8), (4, 12)], [False, False, True, False], 12, False, [False, False, False, False], 4966, 'East', (12, 4))
Element 45: (2, (12, 4), ['', '%', '', ''], [(12, 1), (6, 9), (4, 11)], [False, True, False, False], 10, False, [False, False, False, False], 4985, 'East', (13, 4))
Element 46: (2, (13, 4), ['', '', '', ''], [(11, 1), (6, 8), (4, 10)], [False, False, False, False], 8, False, [False, False, False, False], 5004, 'East', (14, 4))
Element 47: (2, (14, 4), ['', '', '', ''], [(11, 2), (5, 8), (3, 10)], [False, False, False, False], 6, False, [False, False, False, False], 5013, 'East', (15, 4))
Element 48: (2, (15, 4), ['', '%', '', ''], [(12, 2), (4, 8), (2, 10)], [False, True, False, False], 4, False, [False, False, False, False], 5022, 'East', (16, 4))
Element 49: (2, (16, 4), ['', '.', '', ''], [(13, 2), (5, 8), (2, 11)], [False, False, False, False], 2, False, [False, True, False, False], 6021, 'South', (16, 3))
Element 50: (2, (16, 3), ['%', '%', '', ''], [(13, 2), (5, 8), (1, 11)], [True, True, False, False], 0, False, [False, False, False, False], 7030, 'Stop', (16, 3))
Element 51: #0#
