Element 1: (2, (2, 12), ['.', 'F', '%', '.'], [(5, 13), (2, 8), (3, 3)], [False, False, True, False], 98, False, [True, False, False, True], 1009, 'South', (2, 11))
Element 2: (2, (2, 11), ['F', '.', '', '%'], [(6, 13), (1, 8), (4, 3)], [False, False, False, True], 96, False, [False, True, False, False], 3028, 'West', (1, 11))
Element 3: (2, (1, 11), ['%', '.', '.', ''], [(7, 13), (1, 7), (5, 3)], [True, False, False, False], 94, False, [False, True, True, False], 4057, 'North', (1, 12))
Element 4: (2, (1, 12), ['%', '', '.', ''], [(7, 12), (1, 6), (6, 3)], [True, False, False, False], 92, False, [False, False, True, False], 4096, 'North', (1, 13))
Element 5: (2, (1, 13), ['%', '', '%', '%'], [(8, 12), (2, 6), (7, 3)], [True, False, True, True], 90, False, [False, False, False, False], 5125, 'South', (1, 12))
Element 6: (2, (1, 12), ['%', '', '', ''], [(9, 12), (3, 6), (8, 3)], [True, False, False, False], 88, False, [False, False, False, False], 6144, 'South', (1, 11))
Element 7: (2, (1, 11), ['%', '.', '', ''], [(10, 12), (4, 6), (9, 3)], [True, False, False, False], 86, False, [False, True, False, False], 6173, 'South', (1, 10))
Element 8: (2, (1, 10), ['%', '%', '', '.'], [(11, 12), (5, 6), (9, 2)], [True, True, False, False], 84, False, [False, False, False, True], 7202, 'East', (2, 10))
Element 9: (2, (2, 10), ['', '%', '', '.'], [(12, 12), (6, 6), (10, 2)], [False, True, False, False], 82, False, [False, False, False, True], 7241, 'East', (3, 10))
Element 10: (2, (3, 10), ['', '%', '%', '.'], [(13, 12), (6, 5), (11, 2)], [False, True, True, False], 80, False, [False, False, False, True], 7280, 'East', (4, 10))
Element 11: (2, (4, 10), ['', '%', '.', '%'], [(13, 13), (6, 4), (12, 2)], [False, True, False, True], 78, False, [False, False, True, False], 7319, 'North', (4, 11))
Element 12: (2, (4, 11), ['%', '', '.', '.'], [(14, 13), (6, 3), (13, 2)], [True, False, False, False], 76, False, [False, False, True, True], 7348, 'East', (5, 11))
Element 13: (2, (5, 11), ['', '%', '.', '.'], [(15, 13), (6, 2), (14, 2)], [False, True, False, False], 74, False, [False, False, True, True], 7387, 'East', (6, 11))
Element 14: (2, (6, 11), ['', '%', '.', '%'], [(16, 13), (6, 1), (14, 3)], [False, True, False, True], 72, False, [False, False, True, False], 8416, 'North', (6, 12))
Element 15: (2, (6, 12), ['.', '', '', ''], [(17, 13), (7, 1), (14, 4)], [False, False, False, False], 70, False, [True, False, False, False], 8455, 'West', (5, 12))
Element 16: (2, (5, 12), ['.', '', '', ''], [(18, 13), (8, 1), (15, 4)], [False, False, False, False], 68, False, [True, False, False, False], 8494, 'West', (4, 12))
Element 17: (2, (4, 12), ['.', '', '', ''], [(18, 12), (9, 1), (16, 4)], [False, False, False, False], 66, False, [True, False, False, False], 8533, 'West', (3, 12))
Element 18: (2, (3, 12), ['', '%', '.', ''], [(18, 11), (9, 2), (17, 4)], [False, True, False, False], 64, False, [False, False, True, False], 8562, 'North', (3, 13))
Element 19: (2, (3, 13), ['%', '', '%', ''], [(18, 10), (8, 2), (18, 4)], [True, False, True, False], 62, False, [False, False, False, False], 8601, 'East', (4, 13))
Element 20: (2, (4, 13), ['', '', '%', ''], [(17, 10), (7, 2), (18, 5)], [False, False, True, False], 60, False, [False, False, False, False], 8630, 'East', (5, 13))
Element 21: (2, (5, 13), ['', '', '%', ''], [(17, 11), (7, 3), (17, 5)], [False, False, True, False], 58, False, [False, False, False, False], 8649, 'East', (6, 13))
Element 22: (2, (6, 13), ['', '', '%', ''], [(17, 12), (8, 3), (17, 6)], [False, False, True, False], 56, False, [False, False, False, False], 8668, 'East', (7, 13))
Element 23: (2, (7, 13), ['', '', '%', '%'], [(16, 12), (8, 4), (17, 7)], [False, False, True, True], 54, False, [False, False, False, False], 8697, 'South', (7, 12))
Element 24: (2, (7, 12), ['', '%', '', ''], [(16, 11), (9, 4), (18, 7)], [False, True, False, False], 52, False, [False, False, False, False], 8726, 'East', (8, 12))
Element 25: (2, (8, 12), ['', '%', '%', ''], [(16, 10), (10, 4), (17, 7)], [False, True, True, False], 50, False, [False, False, False, False], 8745, 'East', (9, 12))
Element 26: #1#
