Element 1: (1, (7, 12), ['.', '%', '.', 'F'], [(15, 13), (14, 5), (18, 13)], [False, True, False, False], 98, False, [True, False, True, False], 9, 'East', (8, 12))
Element 2: (1, (8, 12), ['', '%', '%', '.'], [(16, 13), (15, 5), (18, 12)], [False, True, True, False], 96, False, [False, False, False, True], 1038, 'East', (9, 12))
Element 3: (1, (9, 12), ['', '%', '.', '.'], [(17, 13), (16, 5), (18, 11)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (10, 12))
Element 4: (1, (10, 12), ['', '%', '.', '.'], [(17, 12), (17, 5), (18, 10)], [False, True, False, False], 92, False, [False, False, True, True], 1116, 'East', (11, 12))
Element 5: (1, (11, 12), ['', '%', '%', '.'], [(17, 11), (18, 5), (17, 10)], [False, True, True, False], 90, False, [False, False, False, True], 1155, 'East', (12, 12))
Element 6: (1, (12, 12), ['', '.', '.', '.'], [(16, 11), (18, 4), (17, 9)], [False, False, False, False], 88, False, [False, True, True, True], 1194, 'East', (13, 12))
Element 7: (1, (13, 12), ['', '.', '.', '%'], [(16, 12), (18, 3), (16, 9)], [False, False, False, True], 86, False, [False, True, True, False], 1233, 'North', (13, 13))
Element 8: (1, (13, 13), ['.', '', '%', ''], [(15, 12), (17, 3), (16, 10)], [False, False, True, False], 84, False, [True, False, False, False], 1272, 'West', (12, 13))
Element 9: (1, (12, 13), ['%', '', '%', ''], [(16, 12), (17, 4), (16, 11)], [True, False, True, False], 82, False, [False, False, False, False], 1291, 'East', (13, 13))
Element 10: (1, (13, 13), ['', '', '%', ''], [(16, 11), (16, 4), (17, 11)], [False, False, True, False], 80, False, [False, False, False, False], 1300, 'East', (14, 13))
Element 11: (1, (14, 13), ['', '%', '%', ''], [(16, 10), (16, 3), (17, 12)], [False, True, True, False], 78, False, [False, False, False, False], 1309, 'East', (15, 13))
Element 12: (1, (15, 13), ['', '', '%', ''], [(17, 10), (16, 4), (17, 13)], [False, False, True, False], 76, False, [False, False, False, False], 1308, 'East', (16, 13))
Element 13: (1, (16, 13), ['', '', '%', ''], [(18, 10), (15, 4), (17, 12)], [False, False, True, False], 74, False, [False, False, False, False], 1317, 'East', (17, 13))
Element 14: (1, (17, 13), ['', '', '%', ''], [(18, 11), (14, 4), (16, 12)], [False, False, True, False], 72, False, [False, False, False, False], 1326, 'East', (18, 13))
Element 15: (1, (18, 13), ['', 'G', '%', '%'], [(18, 12), (14, 3), (16, 13)], [False, False, True, True], 70, False, [False, False, False, False], 1335, 'West', (17, 13))
Element 16: (1, (17, 13), ['', '', '%', 'G'], [(18, 13), (14, 2), (15, 13)], [False, False, True, False], 68, False, [False, False, False, False], 1344, 'South', (17, 12))
Element 17: (1, (17, 12), ['', '', '', 'G'], [(18, 12), (14, 1), (15, 12)], [False, False, False, False], 66, False, [False, False, False, False], 1353, 'South', (17, 11))
Element 18: (1, (17, 11), ['', '', '', 'G'], [(18, 11), (15, 1), (15, 13)], [False, False, False, False], 64, False, [False, False, False, False], 1362, 'South', (17, 10))
Element 19: (1, (17, 10), ['', '', '', 'G'], [(18, 10), (14, 1), (14, 13)], [False, False, False, False], 62, False, [False, False, False, False], 1361, 'South', (17, 9))
Element 20: (1, (17, 9), ['', '%', 'G', '%'], [(17, 10), (13, 1), (13, 13)], [False, True, False, True], 60, False, [False, False, False, False], 1370, 'West', (16, 9))
Element 21: (1, (16, 9), ['%', '%', '', 'G'], [(17, 9), (13, 2), (13, 12)], [True, True, False, False], 58, False, [False, False, False, False], 1379, 'North', (16, 10))
Element 22: (1, (16, 10), ['%', 'G', '', ''], [(16, 9), (13, 3), (13, 11)], [True, False, False, False], 56, False, [False, False, False, False], 1398, 'North', (16, 11))
Element 23: (1, (16, 11), ['%', '', '', ''], [(17, 9), (13, 4), (12, 11)], [True, False, False, False], 54, False, [False, False, False, False], 1417, 'North', (16, 12))
Element 24: (1, (16, 12), ['', '', '', ''], [(17, 10), (13, 5), (12, 12)], [False, False, False, False], 52, False, [False, False, False, False], 1426, 'West', (15, 12))
Element 25: (1, (15, 12), ['%', '%', '', ''], [(16, 10), (13, 6), (12, 13)], [True, True, False, False], 50, False, [False, False, False, False], 1435, 'East', (16, 12))
Element 26: (1, (16, 12), ['', '', '', ''], [(16, 9), (12, 6), (12, 12)], [False, False, False, False], 48, False, [False, False, False, False], 1444, 'South', (16, 11))
Element 27: (1, (16, 11), ['%', 'G', '', ''], [(16, 10), (12, 5), (11, 12)], [True, False, False, False], 46, False, [False, False, False, False], 1453, 'North', (16, 12))
Element 28: (1, (16, 12), ['', 'G', '', ''], [(16, 11), (12, 4), (10, 12)], [False, False, False, False], 44, False, [False, False, False, False], 1462, 'South', (16, 11))
Element 29: (1, (16, 11), ['%', '', '', 'G'], [(17, 11), (11, 4), (10, 13)], [True, False, False, False], 42, False, [False, False, False, False], 1481, 'South', (16, 10))
Element 30: (1, (16, 10), ['%', '', '', ''], [(18, 11), (11, 3), (9, 13)], [True, False, False, False], 40, False, [False, False, False, False], 1500, 'East', (17, 10))
Element 31: (1, (17, 10), ['', '', 'G', ''], [(17, 11), (11, 2), (9, 12)], [False, False, False, False], 38, False, [False, False, False, False], 1509, 'West', (16, 10))
Element 32: (1, (16, 10), ['%', '', '', 'G'], [(17, 10), (12, 2), (8, 12)], [True, False, False, False], 36, False, [False, False, False, False], 1518, 'South', (16, 9))
Element 33: (1, (16, 9), ['%', '%', '', ''], [(17, 11), (12, 1), (7, 12)], [True, True, False, False], 34, False, [False, False, False, False], 1527, 'North', (16, 10))
Element 34: (1, (16, 10), ['%', '', '', ''], [(17, 12), (11, 1), (7, 13)], [True, False, False, False], 32, False, [False, False, False, False], 1546, 'North', (16, 11))
Element 35: (1, (16, 11), ['%', '', 'G', ''], [(16, 12), (12, 1), (6, 13)], [True, False, False, False], 30, False, [False, False, False, False], 1555, 'East', (17, 11))
Element 36: (1, (17, 11), ['', '', 'G', ''], [(17, 12), (12, 2), (6, 12)], [False, False, False, False], 28, False, [False, False, False, False], 1564, 'West', (16, 11))
Element 37: (1, (16, 11), ['%', '', '', ''], [(18, 12), (11, 2), (6, 11)], [True, False, False, False], 26, False, [False, False, False, False], 1573, 'North', (16, 12))
Element 38: (1, (16, 12), ['', '', '', 'G'], [(17, 12), (11, 1), (5, 11)], [False, False, False, False], 24, False, [False, False, False, False], 1582, 'West', (15, 12))
Element 39: (1, (15, 12), ['%', '%', '', ''], [(17, 13), (11, 2), (5, 12)], [True, True, False, False], 22, False, [False, False, False, False], 1591, 'North', (15, 13))
Element 40: (1, (15, 13), ['', '', '%', ''], [(18, 13), (10, 2), (5, 13)], [False, False, True, False], 20, False, [False, False, False, False], 1610, 'East', (16, 13))
Element 41: (1, (16, 13), ['', '', '%', 'G'], [(17, 13), (9, 2), (4, 13)], [False, False, True, False], 18, False, [False, False, False, False], 2619, 'South', (16, 12))
Element 42: (1, (16, 12), ['', '', 'G', ''], [(16, 13), (9, 3), (4, 12)], [False, False, False, False], 16, False, [False, False, False, False], 2638, 'West', (15, 12))
Element 43: (1, (15, 12), ['%', '%', '', 'G'], [(16, 12), (8, 3), (4, 11)], [True, True, False, False], 14, False, [False, False, False, False], 3647, 'North', (15, 13))
Element 44: (1, (15, 13), ['', '', '%', 'G'], [(16, 13), (8, 4), (4, 10)], [False, False, True, False], 12, False, [False, False, False, False], 3666, 'South', (15, 12))
Element 45: (1, (15, 12), ['%', '%', 'G', ''], [(15, 13), (9, 4), (3, 10)], [True, True, False, False], 10, False, [False, False, False, False], 3685, 'East', (16, 12))
Element 46: (1, (16, 12), ['G', '', '', ''], [(15, 12), (10, 4), (2, 10)], [False, False, False, False], 8, False, [False, False, False, False], 3704, 'North', (16, 13))
Element 47: (1, (16, 13), ['G', '', '%', ''], [(15, 13), (10, 5), (2, 11)], [False, False, True, False], 6, False, [False, False, False, False], 5703, 'West', (15, 13))
Element 48: (1, (15, 13), ['G', '', '%', ''], [(14, 13), (9, 5), (1, 11)], [False, False, True, False], 4, False, [False, False, False, False], 6712, 'South', (15, 12))
Element 49: (1, (15, 12), ['%', '%', '', ''], [(13, 13), (9, 6), (1, 12)], [True, True, False, False], 2, False, [False, False, False, False], 6731, 'Stop', (15, 12))
Element 50: (1, (15, 12), ['%', '%', '', ''], [(13, 13), (9, 7), (2, 12)], [True, True, False, False], 0, False, [False, False, False, False], 6750, 'Stop', (15, 12))
Element 51: #0#
