Element 1: (2, (7, 3), ['.', '.', '%', 'F'], [(16, 13), (1, 12), (15, 6)], [False, False, True, False], 98, False, [True, True, False, False], 19, 'East', (8, 3))
Element 2: (2, (8, 3), ['', '.', '.', '.'], [(17, 13), (1, 11), (16, 6)], [False, False, False, False], 96, False, [False, True, True, True], 2038, 'East', (9, 3))
Element 3: (2, (9, 3), ['', 'F', '.', '.'], [(18, 13), (2, 11), (17, 6)], [False, False, False, False], 94, False, [False, False, True, True], 3067, 'South', (9, 2))
Element 4: (2, (9, 2), ['.', '.', '', '.'], [(18, 12), (2, 12), (17, 7)], [False, False, False, False], 92, False, [True, True, False, True], 4096, 'East', (10, 2))
Element 5: (2, (10, 2), ['', '%', '.', '.'], [(18, 11), (3, 12), (18, 7)], [False, True, False, False], 90, False, [False, False, True, True], 4135, 'East', (11, 2))
Element 6: (2, (11, 2), ['', '.', '.', '.'], [(18, 10), (4, 12), (17, 7)], [False, False, False, False], 88, False, [False, True, True, True], 4164, 'East', (12, 2))
Element 7: (2, (12, 2), ['', '.', '%', '.'], [(17, 10), (5, 12), (17, 6)], [False, False, True, False], 86, False, [False, True, False, True], 4193, 'East', (13, 2))
Element 8: (2, (13, 2), ['', '.', '.', '.'], [(17, 11), (6, 12), (17, 5)], [False, False, False, False], 84, False, [False, True, True, True], 4232, 'East', (14, 2))
Element 9: (2, (14, 2), ['', '.', '.', '%'], [(17, 12), (7, 12), (18, 5)], [False, False, False, True], 82, False, [False, True, True, False], 4271, 'North', (14, 3))
Element 10: (2, (14, 3), ['.', '', '.', '%'], [(16, 12), (8, 12), (18, 4)], [False, False, False, True], 80, False, [True, False, True, False], 5300, 'North', (14, 4))
Element 11: (2, (14, 4), ['.', '', '.', '.'], [(16, 11), (9, 12), (18, 3)], [False, False, False, False], 78, False, [True, False, True, True], 5339, 'East', (15, 4))
Element 12: (2, (15, 4), ['', '%', '.', '.'], [(16, 10), (10, 12), (17, 3)], [False, True, False, False], 76, False, [False, False, True, True], 5378, 'East', (16, 4))
Element 13: (2, (16, 4), ['', '.', '.', 'G'], [(16, 9), (11, 12), (17, 4)], [False, False, False, False], 74, False, [False, True, True, False], 5417, 'North', (16, 5))
Element 14: (2, (16, 5), ['.', 'G', '', ''], [(17, 9), (12, 12), (16, 4)], [False, False, False, False], 72, False, [True, False, False, False], 5446, 'West', (15, 5))
Element 15: (2, (15, 5), ['.', '', '', ''], [(16, 9), (13, 12), (16, 3)], [False, False, False, False], 70, False, [True, False, False, False], 5475, 'West', (14, 5))
Element 16: (2, (14, 5), ['.', '', '%', ''], [(16, 10), (13, 13), (16, 4)], [False, False, True, False], 68, False, [True, False, False, False], 5494, 'West', (13, 5))
Element 17: (2, (13, 5), ['.', '.', '.', ''], [(16, 11), (14, 13), (16, 5)], [False, False, False, False], 66, False, [True, True, True, False], 5513, 'North', (13, 6))
Element 18: (2, (13, 6), ['.', '', '%', '%'], [(16, 12), (15, 13), (15, 5)], [False, False, True, True], 64, False, [True, False, False, False], 5522, 'West', (12, 6))
Element 19: (2, (12, 6), ['.', '.', '%', ''], [(15, 12), (16, 13), (15, 4)], [False, False, True, False], 62, False, [True, True, False, False], 5541, 'South', (12, 5))
Element 20: (2, (12, 5), ['%', '.', '', ''], [(16, 12), (17, 13), (14, 4)], [True, False, False, False], 60, False, [False, True, False, False], 5550, 'South', (12, 4))
Element 21: (2, (12, 4), ['.', '%', '', 'G'], [(17, 12), (18, 13), (13, 4)], [False, True, False, False], 58, False, [True, False, False, False], 5569, 'West', (11, 4))
Element 22: (2, (11, 4), ['.', '.', '%', ''], [(17, 11), (18, 12), (13, 3)], [False, False, True, False], 56, False, [True, True, False, False], 5588, 'South', (11, 3))
Element 23: (2, (11, 3), ['.', '', '', '%'], [(16, 11), (18, 11), (14, 3)], [False, False, False, True], 54, False, [True, False, False, False], 5597, 'West', (10, 3))
Element 24: (2, (10, 3), ['', '', '.', ''], [(17, 11), (18, 10), (14, 2)], [False, False, False, False], 52, False, [False, False, True, False], 5606, 'North', (10, 4))
Element 25: (2, (10, 4), ['.', '', 'F', ''], [(17, 10), (18, 11), (14, 1)], [False, False, False, False], 50, False, [True, False, False, False], 5625, 'North', (10, 5))
Element 26: (2, (10, 5), ['.', '', '%', '%'], [(17, 9), (18, 12), (15, 1)], [False, False, True, True], 48, False, [True, False, False, False], 6634, 'West', (9, 5))
Element 27: (2, (9, 5), ['.', '.', '.', ''], [(17, 10), (17, 12), (14, 1)], [False, False, False, False], 46, False, [True, True, True, False], 6643, 'North', (9, 6))
Element 28: (2, (9, 6), ['.', '', '.', '%'], [(16, 10), (17, 11), (13, 1)], [False, False, False, True], 44, False, [True, False, True, False], 6662, 'North', (9, 7))
Element 29: (2, (9, 7), ['%', '', '.', '.'], [(17, 10), (16, 11), (12, 1)], [True, False, False, False], 42, False, [False, False, True, True], 6681, 'East', (10, 7))
Element 30: (2, (10, 7), ['', '%', '.', '%'], [(18, 10), (16, 12), (11, 1)], [False, True, False, True], 40, False, [False, False, True, False], 6700, 'North', (10, 8))
Element 31: (2, (10, 8), ['.', '', '%', '%'], [(18, 11), (15, 12), (11, 2)], [False, False, True, True], 38, False, [True, False, False, False], 6709, 'West', (9, 8))
Element 32: (2, (9, 8), ['.', '', '%', ''], [(17, 11), (16, 12), (12, 2)], [False, False, True, False], 36, False, [True, False, False, False], 6718, 'West', (8, 8))
Element 33: (2, (8, 8), ['.', '%', '.', ''], [(18, 11), (16, 11), (13, 2)], [False, True, False, False], 34, False, [True, False, True, False], 6727, 'North', (8, 9))
Element 34: (2, (8, 9), ['.', '', '%', '%'], [(18, 12), (16, 10), (12, 2)], [False, False, True, True], 32, False, [True, False, False, False], 6736, 'West', (7, 9))
Element 35: (2, (7, 9), ['.', '.', '%', ''], [(17, 12), (17, 10), (11, 2)], [False, False, True, False], 30, False, [True, True, False, False], 6745, 'South', (7, 8))
Element 36: (2, (7, 8), ['.', '%', '', ''], [(18, 12), (17, 9), (11, 3)], [False, True, False, False], 28, False, [True, False, False, False], 6754, 'West', (6, 8))
Element 37: (2, (6, 8), ['.', '%', '.', ''], [(18, 13), (16, 9), (11, 4)], [False, True, False, False], 26, False, [True, False, True, False], 6763, 'North', (6, 9))
Element 38: (2, (6, 9), ['%', '', '%', ''], [(17, 13), (17, 9), (12, 4)], [True, False, True, False], 24, False, [False, False, False, False], 6772, 'South', (6, 8))
Element 39: (2, (6, 8), ['.', '%', '', ''], [(17, 12), (17, 10), (12, 5)], [False, True, False, False], 22, False, [True, False, False, False], 6771, 'West', (5, 8))
Element 40: (2, (5, 8), ['.', '%', '%', ''], [(17, 13), (16, 10), (13, 5)], [False, True, True, False], 20, False, [True, False, False, False], 6780, 'West', (4, 8))
Element 41: (2, (4, 8), ['%', '%', '%', ''], [(16, 13), (16, 9), (14, 5)], [True, True, True, False], 18, False, [False, False, False, False], 6789, 'East', (5, 8))
Element 42: (2, (5, 8), ['', '%', '%', ''], [(16, 12), (16, 10), (13, 5)], [False, True, True, False], 16, False, [False, False, False, False], 6788, 'East', (6, 8))
Element 43: (2, (6, 8), ['', '%', '', ''], [(16, 13), (16, 11), (13, 6)], [False, True, False, False], 14, False, [False, False, False, False], 6787, 'East', (7, 8))
Element 44: (2, (7, 8), ['', '%', '', ''], [(15, 13), (17, 11), (12, 6)], [False, True, False, False], 12, False, [False, False, False, False], 6786, 'North', (7, 9))
Element 45: (2, (7, 9), ['', '', '%', ''], [(15, 12), (17, 12), (11, 6)], [False, False, True, False], 10, False, [False, False, False, False], 6795, 'West', (6, 9))
Element 46: (2, (6, 9), ['%', '', '%', ''], [(15, 13), (16, 12), (12, 6)], [True, False, True, False], 8, False, [False, False, False, False], 6794, 'East', (7, 9))
Element 47: (2, (7, 9), ['', '', '%', ''], [(14, 13), (17, 12), (13, 6)], [False, False, True, False], 6, False, [False, False, False, False], 6793, 'East', (8, 9))
Element 48: (2, (8, 9), ['', '', '%', '%'], [(13, 13), (18, 12), (13, 5)], [False, False, True, True], 4, False, [False, False, False, False], 6792, 'South', (8, 8))
Element 49: (2, (8, 8), ['', '%', '', ''], [(12, 13), (18, 13), (12, 5)], [False, True, False, False], 2, False, [False, False, False, False], 6801, 'West', (7, 8))
Element 50: (2, (7, 8), ['', '%', '', ''], [(12, 13), (18, 13), (12, 6)], [False, True, False, False], 0, False, [False, False, False, False], 6800, 'Stop', (7, 8))
Element 51: #0#
