Element 1: (2, (7, 3), ['.', '.', '%', 'F'], [(2, 8), (4, 11), (17, 6)], [False, False, True, False], 98, False, [True, True, False, False], 1009, 'East', (8, 3))
Element 2: (2, (8, 3), ['', '.', '.', '.'], [(1, 8), (5, 11), (17, 7)], [False, False, False, False], 96, False, [False, True, True, True], 3028, 'East', (9, 3))
Element 3: (2, (9, 3), ['', 'F', '.', '.'], [(1, 7), (6, 11), (18, 7)], [False, False, False, False], 94, False, [False, False, True, True], 3067, 'South', (9, 2))
Element 4: (2, (9, 2), ['.', '.', '', '.'], [(1, 6), (6, 12), (17, 7)], [False, False, False, False], 92, False, [True, True, False, True], 4086, 'East', (10, 2))
Element 5: (2, (10, 2), ['', '%', '.', '.'], [(2, 6), (7, 12), (17, 6)], [False, True, False, False], 90, False, [False, False, True, True], 4115, 'East', (11, 2))
Element 6: (2, (11, 2), ['', '.', '.', '.'], [(3, 6), (8, 12), (17, 5)], [False, False, False, False], 88, False, [False, True, True, True], 5144, 'East', (12, 2))
Element 7: (2, (12, 2), ['', '.', '%', '.'], [(4, 6), (9, 12), (18, 5)], [False, False, True, False], 86, False, [False, True, False, True], 5183, 'East', (13, 2))
Element 8: (2, (13, 2), ['', '.', '.', '.'], [(5, 6), (10, 12), (18, 4)], [False, False, False, False], 84, False, [False, True, True, True], 5222, 'East', (14, 2))
Element 9: (2, (14, 2), ['', '.', '.', '%'], [(6, 6), (11, 12), (18, 3)], [False, False, False, True], 82, False, [False, True, True, False], 5261, 'North', (14, 3))
Element 10: (2, (14, 3), ['.', '', '.', '%'], [(6, 5), (12, 12), (17, 3)], [False, False, False, True], 80, False, [True, False, True, False], 5300, 'North', (14, 4))
Element 11: (2, (14, 4), ['.', '', '.', '.'], [(6, 4), (13, 12), (17, 4)], [False, False, False, False], 78, False, [True, False, True, True], 5339, 'East', (15, 4))
Element 12: (2, (15, 4), ['', '%', '.', 'G'], [(6, 3), (13, 13), (16, 4)], [False, True, False, False], 76, False, [False, False, True, False], 5378, 'North', (15, 5))
