Element 1: (0, (5, 5), ['.', '%', 'G', '.'], [(5, 6), (6, 12), (13, 4)], [False, True, False, False], 98, False, [True, False, False, True], 0, 'East', (6, 5))
Element 2: (0, (6, 5), ['', '.', 'G', '%'], [(6, 6), (7, 12), (14, 4)], [False, False, False, True], 96, False, [False, True, False, False], 39, 'South', (6, 4))
Element 3: (0, (6, 4), ['%', '.', 'G', '%'], [(6, 5), (8, 12), (15, 4)], [True, False, False, True], 94, False, [False, True, False, False], 1058, 'South', (6, 3))
Element 4: (0, (6, 3), ['.', '.', 'G', '.'], [(6, 4), (9, 12), (16, 4)], [False, False, False, False], 92, False, [True, True, False, True], 1087, 'East', (7, 3))
Element 5: (0, (7, 3), ['G', '.', '%', 'F'], [(6, 3), (10, 12), (17, 4)], [False, False, True, False], 90, False, [False, True, False, False], 1116, 'East', (8, 3))
Element 6: (0, (8, 3), ['', '.', '.', '.'], [(6, 2), (11, 12), (18, 4)], [False, False, False, False], 88, False, [False, True, True, True], 2145, 'East', (9, 3))
Element 7: (0, (9, 3), ['', 'F', '.', '.'], [(6, 1), (12, 12), (18, 5)], [False, False, False, False], 86, False, [False, False, True, True], 3174, 'South', (9, 2))
Element 8: (0, (9, 2), ['.', '.', '', '.'], [(7, 1), (13, 12), (17, 5)], [False, False, False, False], 84, False, [True, True, False, True], 4203, 'East', (10, 2))
Element 9: (0, (10, 2), ['', '%', '.', '.'], [(8, 1), (13, 13), (17, 6)], [False, True, False, False], 82, False, [False, False, True, True], 4242, 'East', (11, 2))
Element 10: (0, (11, 2), ['', '.', '.', '.'], [(9, 1), (14, 13), (17, 7)], [False, False, False, False], 80, False, [False, True, True, True], 4281, 'East', (12, 2))
Element 11: (0, (12, 2), ['', '.', '%', '.'], [(9, 2), (15, 13), (18, 7)], [False, False, True, False], 78, False, [False, True, False, True], 4310, 'East', (13, 2))
Element 12: (0, (13, 2), ['', '.', '.', '.'], [(8, 2), (16, 13), (17, 7)], [False, False, False, False], 76, False, [False, True, True, True], 4339, 'East', (14, 2))
Element 13: (0, (14, 2), ['', '.', '.', '%'], [(7, 2), (17, 13), (17, 6)], [False, False, False, True], 74, False, [False, True, True, False], 4368, 'North', (14, 3))
Element 14: (0, (14, 3), ['.', '', '', '%'], [(7, 3), (18, 13), (16, 6)], [False, False, False, True], 72, False, [True, False, False, False], 4397, 'West', (13, 3))
Element 15: (0, (13, 3), ['%', '', '', ''], [(8, 3), (18, 12), (16, 5)], [True, False, False, False], 70, False, [False, False, False, False], 4426, 'North', (13, 4))
Element 16: (0, (13, 4), ['.', '', '.', ''], [(8, 4), (18, 11), (15, 5)], [False, False, False, False], 68, False, [True, False, True, False], 4455, 'North', (13, 5))
Element 17: (0, (13, 5), ['.', '', '.', '.'], [(9, 4), (18, 10), (15, 6)], [False, False, False, False], 66, False, [True, False, True, True], 4494, 'East', (14, 5))
Element 18: (0, (14, 5), ['', '', '%', ''], [(10, 4), (17, 10), (15, 7)], [False, False, True, False], 64, False, [False, False, False, False], 4533, 'East', (15, 5))
Element 19: (0, (15, 5), ['', '', '', ''], [(10, 5), (17, 11), (15, 8)], [False, False, False, False], 62, False, [False, False, False, False], 5552, 'East', (16, 5))
Element 20: (0, (16, 5), ['', '', '', ''], [(9, 5), (17, 12), (14, 8)], [False, False, False, False], 60, False, [False, False, False, False], 5581, 'East', (17, 5))
Element 21: (0, (17, 5), ['', '', '', ''], [(9, 6), (16, 12), (14, 7)], [False, False, False, False], 58, False, [False, False, False, False], 5610, 'East', (18, 5))
Element 22: (0, (18, 5), ['', '', '%', '%'], [(9, 7), (16, 11), (14, 8)], [False, False, True, True], 56, False, [False, False, False, False], 5629, 'South', (18, 4))
Element 23: (0, (18, 4), ['', '.', '', '%'], [(10, 7), (16, 10), (13, 8)], [False, False, False, True], 54, False, [False, True, False, False], 5658, 'South', (18, 3))
Element 24: (0, (18, 3), ['.', '%', '', '%'], [(10, 8), (16, 9), (14, 8)], [False, True, False, True], 52, False, [True, False, False, False], 5687, 'West', (17, 3))
Element 25: (0, (17, 3), ['.', '%', '', ''], [(9, 8), (17, 9), (15, 8)], [False, True, False, False], 50, False, [True, False, False, False], 5716, 'West', (16, 3))
Element 26: (0, (16, 3), ['%', '%', '', ''], [(8, 8), (16, 9), (15, 7)], [True, True, False, False], 48, False, [False, False, False, False], 5735, 'North', (16, 4))
Element 27: (0, (16, 4), ['', '', '', ''], [(8, 9), (16, 10), (14, 7)], [False, False, False, False], 46, False, [False, False, False, False], 5744, 'East', (17, 4))
Element 28: (0, (17, 4), ['', '', '', ''], [(7, 9), (16, 11), (15, 7)], [False, False, False, False], 44, False, [False, False, False, False], 5753, 'West', (16, 4))
Element 29: (0, (16, 4), ['', '', '', ''], [(7, 8), (16, 12), (15, 6)], [False, False, False, False], 42, False, [False, False, False, False], 5762, 'West', (15, 4))
Element 30: (0, (15, 4), ['', '%', 'G', ''], [(6, 8), (15, 12), (15, 5)], [False, True, False, False], 40, False, [False, False, False, False], 5781, 'West', (14, 4))
Element 31: (0, (14, 4), ['', '', 'G', ''], [(6, 9), (16, 12), (14, 5)], [False, False, False, False], 38, False, [False, False, False, False], 5790, 'East', (15, 4))
Element 32: (0, (15, 4), ['', '%', '', ''], [(6, 8), (17, 12), (13, 5)], [False, True, False, False], 36, False, [False, False, False, False], 5789, 'East', (16, 4))
Element 33: (0, (16, 4), ['', '', '', ''], [(5, 8), (17, 11), (13, 6)], [False, False, False, False], 34, False, [False, False, False, False], 5808, 'South', (16, 3))
Element 34: (0, (16, 3), ['%', '%', '', ''], [(4, 8), (16, 11), (12, 6)], [True, True, False, False], 32, False, [False, False, False, False], 5827, 'East', (17, 3))
Element 35: (0, (17, 3), ['', '%', '', ''], [(5, 8), (17, 11), (12, 5)], [False, True, False, False], 30, False, [False, False, False, False], 5836, 'North', (17, 4))
Element 36: (0, (17, 4), ['', '', '', ''], [(6, 8), (17, 10), (12, 4)], [False, False, False, False], 28, False, [False, False, False, False], 5845, 'South', (17, 3))
Element 37: (0, (17, 3), ['', '%', '', ''], [(7, 8), (17, 9), (11, 4)], [False, True, False, False], 26, False, [False, False, False, False], 5854, 'East', (18, 3))
Element 38: (0, (18, 3), ['', '%', '', '%'], [(7, 9), (17, 10), (11, 3)], [False, True, False, True], 24, False, [False, False, False, False], 5863, 'North', (18, 4))
Element 39: (0, (18, 4), ['', '', '', '%'], [(6, 9), (16, 10), (10, 3)], [False, False, False, True], 22, False, [False, False, False, False], 5872, 'West', (17, 4))
Element 40: (0, (17, 4), ['', '', '', ''], [(7, 9), (17, 10), (10, 4)], [False, False, False, False], 20, False, [False, False, False, False], 5871, 'East', (18, 4))
Element 41: (0, (18, 4), ['', '', '', '%'], [(8, 9), (18, 10), (10, 5)], [False, False, False, True], 18, False, [False, False, False, False], 5870, 'North', (18, 5))
Element 42: (0, (18, 5), ['', '', '%', '%'], [(8, 8), (18, 11), (9, 5)], [False, False, True, True], 16, False, [False, False, False, False], 5869, 'West', (17, 5))
Element 43: (0, (17, 5), ['', '', '', ''], [(7, 8), (17, 11), (8, 5)], [False, False, False, False], 14, False, [False, False, False, False], 5878, 'North', (17, 6))
Element 44: (0, (17, 6), ['', '', '', '%'], [(8, 8), (18, 11), (8, 6)], [False, False, False, True], 12, False, [False, False, False, False], 5887, 'North', (17, 7))
Element 45: (0, (17, 7), ['%', '', '%', ''], [(9, 8), (18, 12), (9, 6)], [True, False, True, False], 10, False, [False, False, False, False], 5886, 'East', (18, 7))
Element 46: (0, (18, 7), ['', '%', '%', '%'], [(10, 8), (17, 12), (9, 7)], [False, True, True, True], 8, False, [False, False, False, False], 5885, 'West', (17, 7))
Element 47: (0, (17, 7), ['%', '', '%', ''], [(10, 7), (18, 12), (9, 8)], [True, False, True, False], 6, False, [False, False, False, False], 5884, 'South', (17, 6))
Element 48: (0, (17, 6), ['', '', '', '%'], [(9, 7), (18, 13), (10, 8)], [False, False, False, True], 4, False, [False, False, False, False], 5883, 'West', (16, 6))
Element 49: (0, (16, 6), ['', '', '%', ''], [(9, 8), (17, 13), (10, 7)], [False, False, True, False], 2, False, [False, False, False, False], 5882, 'West', (15, 6))
Element 50: (0, (15, 6), ['%', '', '', ''], [(9, 7), (17, 12), (10, 8)], [True, False, False, False], 0, False, [False, False, False, False], 5881, 'Stop', (15, 6))
Element 51: #0#
