Element 39: (1, (15, 11), ['%', '', '%', ''], [(6, 9), (16, 9), (15, 6)], [True, False, True, False], 22, False, [False, False, False, False], 631, 'East', (16, 11))
Element 40: (1, (16, 11), ['', '%', '%', ''], [(5, 9), (16, 8), (15, 7)], [False, True, True, False], 20, False, [False, False, False, False], 640, 'East', (17, 11))
Element 41: (1, (17, 11), ['', '%', '%', ''], [(4, 9), (16, 7), (15, 6)], [False, True, True, False], 18, False, [False, False, False, False], 649, 'East', (18, 11))
Element 42: (1, (18, 11), ['', '', '%', '%'], [(4, 10), (16, 6), (15, 5)], [False, False, True, True], 16, False, [False, False, False, False], 658, 'South', (18, 10))
Element 43: (1, (18, 10), ['%', '', '', '%'], [(4, 11), (16, 5), (15, 4)], [True, False, False, True], 14, False, [False, False, False, False], 667, 'South', (18, 9))
Element 44: (1, (18, 9), ['%', '', '', '%'], [(3, 11), (16, 4), (15, 3)], [True, False, False, True], 12, False, [False, False, False, False], 676, 'South', (18, 8))
Element 45: (1, (18, 8), ['%', '', '', '%'], [(2, 11), (16, 3), (15, 2)], [True, False, False, True], 10, False, [False, False, False, False], 685, 'South', (18, 7))
Element 46: (1, (18, 7), ['', '', '', '%'], [(1, 11), (16, 4), (15, 1)], [False, False, False, True], 8, False, [False, False, False, False], 684, 'South', (18, 6))
Element 47: (1, (18, 6), ['%', '', '', '%'], [(1, 10), (16, 5), (16, 1)], [True, False, False, True], 6, False, [False, False, False, False], 693, 'South', (18, 5))
Element 48: (1, (18, 5), ['%', '', '', '%'], [(1, 9), (16, 6), (17, 1)], [True, False, False, True], 4, False, [False, False, False, False], 702, 'South', (18, 4))
Element 49: (1, (18, 4), ['%', '', '', '%'], [(1, 8), (16, 7), (18, 1)], [True, False, False, True], 2, False, [False, False, False, False], 711, 'South', (18, 3))
Element 50: (1, (18, 3), ['%', 'G', '', '%'], [(1, 8), (15, 7), (18, 2)], [True, False, False, True], 0, False, [False, False, False, False], 710, 'Stop', (18, 3))
Element 51: #0#
