Element 1: (1, (1, 5), ['%', '.', '.', '%'], [(13, 1), (4, 4), (4, 10)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 6))
Element 2: (1, (1, 6), ['%', '', '.', '%'], [(13, 2), (5, 4), (4, 11)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (1, 7))
Element 3: (1, (1, 7), ['%', '', '.', '.'], [(13, 3), (6, 4), (3, 11)], [True, False, False, False], 94, False, [False, False, True, True], 87, 'East', (2, 7))
Element 4: (1, (2, 7), ['', '%', '%', '.'], [(13, 4), (6, 5), (2, 11)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (3, 7))
Element 5: (1, (3, 7), ['', '.', '.', '.'], [(13, 5), (6, 6), (1, 11)], [False, False, False, False], 90, False, [False, True, True, True], 155, 'East', (4, 7))
Element 6: (1, (4, 7), ['', '.', '%', '.'], [(13, 6), (6, 7), (1, 10)], [False, False, True, False], 88, False, [False, True, False, True], 194, 'East', (5, 7))
Element 7: (1, (5, 7), ['', '.', '%', ''], [(13, 7), (6, 8), (1, 9)], [False, False, True, False], 86, False, [False, True, False, False], 233, 'South', (5, 6))
Element 8: (1, (5, 6), ['.', '.', '', ''], [(13, 8), (6, 9), (1, 8)], [False, False, False, False], 84, False, [True, True, False, False], 272, 'South', (5, 5))
Element 9: (1, (5, 5), ['.', '', '', ''], [(13, 9), (7, 9), (1, 7)], [False, False, False, False], 82, False, [True, False, False, False], 301, 'West', (4, 5))
Element 10: (1, (4, 5), ['.', '', '.', ''], [(14, 9), (6, 9), (2, 7)], [False, False, False, False], 80, False, [True, False, True, False], 320, 'North', (4, 6))
Element 11: (1, (4, 6), ['.', '', '', ''], [(15, 9), (6, 10), (3, 7)], [False, False, False, False], 78, False, [True, False, False, False], 349, 'West', (3, 6))
Element 12: (1, (3, 6), ['%', '.', '', ''], [(16, 9), (6, 11), (3, 8)], [True, False, False, False], 76, False, [False, True, False, False], 388, 'South', (3, 5))
Element 13: (1, (3, 5), ['%', '.', '', ''], [(16, 8), (7, 11), (3, 9)], [True, False, False, False], 74, False, [False, True, False, False], 427, 'South', (3, 4))
Element 14: (1, (3, 4), ['%', '.', '', ''], [(16, 7), (8, 11), (4, 9)], [True, False, False, False], 72, False, [False, True, False, False], 466, 'South', (3, 3))
Element 15: (1, (3, 3), ['%', 'F', '', '.'], [(17, 7), (9, 11), (5, 9)], [True, False, False, False], 70, False, [False, False, False, True], 505, 'South', (3, 2))
Element 16: (1, (3, 2), ['F', '.', '', '.'], [(18, 7), (10, 11), (6, 9)], [False, False, False, False], 68, False, [False, True, False, True], 1524, 'West', (2, 2))
Element 17: #1#
