Element 1: (3, (16, 9), ['.', '.', '%', '%'], [(6, 9), (4, 10), (13, 11)], [False, False, True, True], 98, False, [True, True, False, False], 29, 'South', (16, 8))
Element 2: (3, (16, 8), ['%', '.', '', '%'], [(7, 9), (4, 9), (12, 11)], [True, False, False, True], 96, False, [False, True, False, False], 68, 'South', (16, 7))
Element 3: (3, (16, 7), ['.', '.', '', '.'], [(6, 9), (5, 9), (11, 11)], [False, False, False, False], 94, False, [True, True, False, True], 97, 'East', (17, 7))
Element 4: (3, (17, 7), ['', '%', '%', '.'], [(6, 10), (6, 9), (10, 11)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (18, 7))
Element 5: (3, (18, 7), ['', '.', '.', '%'], [(6, 11), (7, 9), (10, 10)], [False, False, False, True], 90, False, [False, True, True, False], 155, 'North', (18, 8))
Element 6: (3, (18, 8), ['%', '', '.', '%'], [(7, 11), (6, 9), (10, 9)], [True, False, False, True], 88, False, [False, False, True, False], 184, 'North', (18, 9))
Element 7: (3, (18, 9), ['%', '', '.', '%'], [(8, 11), (6, 10), (9, 9)], [True, False, False, True], 86, False, [False, False, True, False], 213, 'North', (18, 10))
Element 8: (3, (18, 10), ['%', '', '', '%'], [(9, 11), (6, 11), (9, 10)], [True, False, False, True], 84, False, [False, False, False, False], 242, 'North', (18, 11))
Element 9: (3, (18, 11), ['.', '', '%', '%'], [(10, 11), (7, 11), (9, 11)], [False, False, True, True], 82, False, [True, False, False, False], 241, 'West', (17, 11))
Element 10: (3, (17, 11), ['.', '%', '%', ''], [(11, 11), (8, 11), (9, 10)], [False, True, True, False], 80, False, [True, False, False, False], 250, 'West', (16, 11))
Element 11: (3, (16, 11), ['.', '%', '%', ''], [(12, 11), (9, 11), (9, 9)], [False, True, True, False], 78, False, [True, False, False, False], 259, 'West', (15, 11))
Element 12: (3, (15, 11), ['%', '.', '%', ''], [(13, 11), (10, 11), (9, 8)], [True, False, True, False], 76, False, [False, True, False, False], 268, 'South', (15, 10))
Element 13: (3, (15, 10), ['%', '.', '', '%'], [(13, 10), (11, 11), (9, 7)], [True, False, False, True], 74, False, [False, True, False, False], 287, 'South', (15, 9))
Element 14: (3, (15, 9), ['.', '%', '', ''], [(13, 9), (12, 11), (10, 7)], [False, True, False, False], 72, False, [True, False, False, False], 316, 'West', (14, 9))
Element 15: (3, (14, 9), ['', '%', '%', ''], [(13, 8), (13, 11), (11, 7)], [False, True, True, False], 70, False, [False, False, False, False], 345, 'West', (13, 9))
Element 16: (3, (13, 9), ['.', '', 'G', ''], [(13, 7), (13, 10), (10, 7)], [False, False, False, False], 68, False, [True, False, False, False], 354, 'West', (12, 9))
Element 17: (3, (12, 9), ['%', '%', '%', 'G'], [(13, 6), (13, 9), (10, 8)], [True, True, True, False], 66, False, [False, False, False, False], 373, 'Stop', (12, 9))
Element 18: (3, (12, 9), ['%', '%', '%', ''], [(13, 5), (14, 9), (10, 7)], [True, True, True, False], 64, False, [False, False, False, False], 382, 'Stop', (12, 9))
Element 19: (3, (12, 9), ['%', '%', '%', ''], [(13, 4), (15, 9), (9, 7)], [True, True, True, False], 62, False, [False, False, False, False], 391, 'East', (13, 9))
Element 20: (3, (13, 9), ['', '', '', ''], [(13, 3), (16, 9), (9, 8)], [False, False, False, False], 60, False, [False, False, False, False], 400, 'East', (14, 9))
Element 21: (3, (14, 9), ['', '%', '%', ''], [(13, 2), (16, 8), (10, 8)], [False, True, True, False], 58, False, [False, False, False, False], 409, 'East', (15, 9))
Element 22: (3, (15, 9), ['', '%', '', ''], [(13, 1), (16, 7), (9, 8)], [False, True, False, False], 56, False, [False, False, False, False], 418, 'North', (15, 10))
Element 23: (3, (15, 10), ['%', '', '', '%'], [(12, 1), (16, 6), (9, 9)], [True, False, False, True], 54, False, [False, False, False, False], 437, 'North', (15, 11))
Element 24: (3, (15, 11), ['%', '', '%', ''], [(11, 1), (16, 5), (10, 9)], [True, False, True, False], 52, False, [False, False, False, False], 456, 'East', (16, 11))
Element 25: (3, (16, 11), ['', '%', '%', ''], [(10, 1), (16, 4), (10, 8)], [False, True, True, False], 50, False, [False, False, False, False], 475, 'East', (17, 11))
Element 26: (3, (17, 11), ['', '%', '%', ''], [(9, 1), (16, 3), (10, 9)], [False, True, True, False], 48, False, [False, False, False, False], 494, 'East', (18, 11))
Element 27: (3, (18, 11), ['', '', '%', '%'], [(8, 1), (15, 3), (10, 10)], [False, False, True, True], 46, False, [False, False, False, False], 513, 'South', (18, 10))
Element 28: (3, (18, 10), ['%', '', '', '%'], [(7, 1), (15, 4), (9, 10)], [True, False, False, True], 44, False, [False, False, False, False], 532, 'South', (18, 9))
Element 29: (3, (18, 9), ['%', '', '', '%'], [(6, 1), (15, 5), (10, 10)], [True, False, False, True], 42, False, [False, False, False, False], 551, 'South', (18, 8))
Element 30: (3, (18, 8), ['%', '', '', '%'], [(6, 2), (15, 6), (10, 11)], [True, False, False, True], 40, False, [False, False, False, False], 570, 'South', (18, 7))
Element 31: (3, (18, 7), ['', '.', '', '%'], [(6, 3), (15, 7), (9, 11)], [False, False, False, True], 38, False, [False, True, False, False], 589, 'South', (18, 6))
Element 32: (3, (18, 6), ['%', '.', '', '%'], [(7, 3), (15, 6), (10, 11)], [True, False, False, True], 36, False, [False, True, False, False], 608, 'South', (18, 5))
Element 33: (3, (18, 5), ['%', '.', '', '%'], [(8, 3), (15, 5), (11, 11)], [True, False, False, True], 34, False, [False, True, False, False], 627, 'South', (18, 4))
Element 34: (3, (18, 4), ['%', '.', '', '%'], [(9, 3), (15, 4), (12, 11)], [True, False, False, True], 32, False, [False, True, False, False], 646, 'South', (18, 3))
Element 35: (3, (18, 3), ['%', '.', '', '%'], [(10, 3), (15, 3), (13, 11)], [True, False, False, True], 30, False, [False, True, False, False], 665, 'South', (18, 2))
