Element 1: (2, (11, 1), ['.', '%', '%', '.'], [(16, 4), (6, 9), (15, 2)], [False, True, True, False], 98, False, [True, False, False, True], 19, 'East', (12, 1))
Element 2: (2, (12, 1), ['', '%', '%', '.'], [(16, 5), (7, 9), (15, 3)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (13, 1))
Element 3: (2, (13, 1), ['', '%', '.', '%'], [(16, 6), (6, 9), (16, 3)], [False, True, False, True], 94, False, [False, False, True, False], 87, 'North', (13, 2))
Element 4: (2, (13, 2), ['%', '', '.', '%'], [(16, 7), (6, 10), (16, 4)], [True, False, False, True], 92, False, [False, False, True, False], 116, 'North', (13, 3))
Element 5: (2, (13, 3), ['.', '', '.', '%'], [(17, 7), (6, 11), (16, 5)], [False, False, False, True], 90, False, [True, False, True, False], 145, 'North', (13, 4))
Element 6: (2, (13, 4), ['%', '', '.', '%'], [(18, 7), (7, 11), (15, 5)], [True, False, False, True], 88, False, [False, False, True, False], 184, 'North', (13, 5))
Element 7: (2, (13, 5), ['%', '', '.', '%'], [(18, 8), (8, 11), (15, 6)], [True, False, False, True], 86, False, [False, False, True, False], 223, 'North', (13, 6))
Element 8: (2, (13, 6), ['%', '', '.', '%'], [(18, 9), (9, 11), (15, 7)], [True, False, False, True], 84, False, [False, False, True, False], 262, 'North', (13, 7))
Element 9: (2, (13, 7), ['%', '', '.', '%'], [(18, 10), (10, 11), (16, 7)], [True, False, False, True], 82, False, [False, False, True, False], 291, 'North', (13, 8))
Element 10: (2, (13, 8), ['%', '', '.', '%'], [(18, 11), (11, 11), (16, 8)], [True, False, False, True], 80, False, [False, False, True, False], 320, 'North', (13, 9))
Element 11: (2, (13, 9), ['.', '', '.', '.'], [(17, 11), (12, 11), (16, 9)], [False, False, False, False], 78, False, [True, False, True, True], 359, 'East', (14, 9))
Element 12: (2, (14, 9), ['', '%', '%', 'G'], [(16, 11), (13, 11), (15, 9)], [False, True, True, False], 76, False, [False, False, False, False], 398, 'West', (13, 9))
Element 13: (2, (13, 9), ['.', '', 'G', ''], [(15, 11), (13, 10), (15, 10)], [False, False, False, False], 74, False, [True, False, False, False], 427, 'South', (13, 8))
Element 14: (2, (13, 8), ['%', '', 'G', '%'], [(15, 10), (13, 9), (15, 9)], [True, False, False, True], 72, False, [False, False, False, False], 426, 'South', (13, 7))
Element 15: (2, (13, 7), ['%', '', '', '%'], [(15, 9), (12, 9), (14, 9)], [True, False, False, True], 70, False, [False, False, False, False], 435, 'South', (13, 6))
Element 16: (2, (13, 6), ['%', '', '', '%'], [(16, 9), (12, 9), (13, 9)], [True, False, False, True], 68, False, [False, False, False, False], 434, 'South', (13, 5))
Element 17: (2, (13, 5), ['%', '', '', '%'], [(16, 8), (12, 9), (13, 10)], [True, False, False, True], 66, False, [False, False, False, False], 433, 'North', (13, 6))
Element 18: (2, (13, 6), ['%', '', '', '%'], [(16, 9), (13, 9), (13, 11)], [True, False, False, True], 64, False, [False, False, False, False], 432, 'North', (13, 7))
Element 19: (2, (13, 7), ['%', '', '', '%'], [(15, 9), (13, 10), (12, 11)], [True, False, False, True], 62, False, [False, False, False, False], 431, 'South', (13, 6))
Element 20: (2, (13, 6), ['%', '', '', '%'], [(14, 9), (13, 11), (11, 11)], [True, False, False, True], 60, False, [False, False, False, False], 430, 'South', (13, 5))
Element 21: (2, (13, 5), ['%', '', '', '%'], [(13, 9), (12, 11), (10, 11)], [True, False, False, True], 58, False, [False, False, False, False], 429, 'South', (13, 4))
Element 22: (2, (13, 4), ['%', '', '', '%'], [(13, 10), (11, 11), (10, 10)], [True, False, False, True], 56, False, [False, False, False, False], 438, 'South', (13, 3))
Element 23: (2, (13, 3), ['.', '', '', '%'], [(13, 11), (10, 11), (10, 9)], [False, False, False, True], 54, False, [True, False, False, False], 447, 'West', (12, 3))
Element 24: (2, (12, 3), ['.', '%', '%', ''], [(12, 11), (10, 10), (9, 9)], [False, True, True, False], 52, False, [True, False, False, False], 466, 'West', (11, 3))
Element 25: (2, (11, 3), ['.', '%', '%', ''], [(11, 11), (10, 9), (9, 10)], [False, True, True, False], 50, False, [True, False, False, False], 485, 'West', (10, 3))
Element 26: (2, (10, 3), ['.', '%', '%', ''], [(10, 11), (10, 8), (9, 11)], [False, True, True, False], 48, False, [True, False, False, False], 494, 'West', (9, 3))
Element 27: (2, (9, 3), ['.', '%', '%', ''], [(10, 10), (10, 7), (8, 11)], [False, True, True, False], 46, False, [True, False, False, False], 513, 'West', (8, 3))
Element 28: (2, (8, 3), ['.', '%', '', ''], [(10, 9), (11, 7), (7, 11)], [False, True, False, False], 44, False, [True, False, False, False], 532, 'West', (7, 3))
Element 29: (2, (7, 3), ['.', '%', '%', ''], [(10, 8), (10, 7), (6, 11)], [False, True, True, False], 42, False, [True, False, False, False], 541, 'West', (6, 3))
Element 30: (2, (6, 3), ['.', '.', '.', ''], [(9, 8), (9, 7), (6, 10)], [False, False, False, False], 40, False, [True, True, True, False], 560, 'North', (6, 4))
Element 31: (2, (6, 4), ['.', '', '.', '%'], [(9, 9), (9, 8), (6, 9)], [False, False, False, True], 38, False, [True, False, True, False], 569, 'North', (6, 5))
Element 32: (2, (6, 5), ['.', '', '.', '%'], [(9, 10), (9, 9), (6, 8)], [False, False, False, True], 36, False, [True, False, True, False], 588, 'North', (6, 6))
Element 33: (2, (6, 6), ['.', '', 'G', '%'], [(9, 11), (9, 10), (6, 7)], [False, False, False, True], 34, False, [True, False, False, False], 607, 'West', (5, 6))
Element 34: (2, (5, 6), ['.', '.', 'G', ''], [(8, 11), (9, 9), (5, 7)], [False, False, False, False], 32, False, [True, True, False, False], 626, 'South', (5, 5))
Element 35: (2, (5, 5), ['.', '.', '', ''], [(7, 11), (9, 8), (4, 7)], [False, False, False, False], 30, False, [True, True, False, False], 645, 'South', (5, 4))
Element 36: (2, (5, 4), ['.', '.', '', ''], [(6, 11), (9, 7), (4, 6)], [False, False, False, False], 28, False, [True, True, False, False], 664, 'South', (5, 3))
Element 37: (2, (5, 3), ['.', '%', '', ''], [(6, 10), (10, 7), (4, 5)], [False, True, False, False], 26, False, [True, False, False, False], 683, 'West', (4, 3))
Element 38: (2, (4, 3), ['.', '.', 'G', ''], [(6, 9), (10, 8), (4, 4)], [False, False, False, False], 24, False, [True, True, False, False], 702, 'South', (4, 2))
Element 39: (2, (4, 2), ['F', '.', '', '%'], [(7, 9), (9, 8), (3, 4)], [False, False, False, True], 22, False, [False, True, False, False], 721, 'West', (3, 2))
