Element 19: (1, (8, 3), ['', '%', '', '.'], [(2, 7), (17, 11), (16, 3)], [False, True, False, False], 62, False, [False, False, False, True], 531, 'East', (9, 3))
Element 20: (1, (9, 3), ['', '%', '%', '.'], [(3, 7), (16, 11), (16, 4)], [False, True, True, False], 60, False, [False, False, False, True], 560, 'East', (10, 3))
Element 21: (1, (10, 3), ['', '%', '%', '.'], [(4, 7), (15, 11), (16, 5)], [False, True, True, False], 58, False, [False, False, False, True], 599, 'East', (11, 3))
Element 22: (1, (11, 3), ['', '%', '%', '.'], [(5, 7), (15, 10), (16, 6)], [False, True, True, False], 56, False, [False, False, False, True], 638, 'East', (12, 3))
Element 23: (1, (12, 3), ['', '%', '%', '.'], [(5, 6), (15, 11), (15, 6)], [False, True, True, False], 54, False, [False, False, False, True], 667, 'East', (13, 3))
Element 24: (1, (13, 3), ['', '.', '.', '%'], [(5, 5), (16, 11), (15, 7)], [False, False, False, True], 52, False, [False, True, True, False], 696, 'North', (13, 4))
Element 25: (1, (13, 4), ['%', '', '.', '%'], [(5, 4), (17, 11), (16, 7)], [True, False, False, True], 50, False, [False, False, True, False], 715, 'North', (13, 5))
Element 26: (1, (13, 5), ['%', '', '.', '%'], [(5, 3), (18, 11), (17, 7)], [True, False, False, True], 48, False, [False, False, True, False], 734, 'North', (13, 6))
Element 27: (1, (13, 6), ['%', '', '.', '%'], [(4, 3), (18, 10), (16, 7)], [True, False, False, True], 46, False, [False, False, True, False], 753, 'North', (13, 7))
Element 28: (1, (13, 7), ['%', '', '.', '%'], [(4, 4), (18, 9), (16, 8)], [True, False, False, True], 44, False, [False, False, True, False], 772, 'North', (13, 8))
Element 29: (1, (13, 8), ['%', '', '', '%'], [(4, 5), (18, 8), (16, 9)], [True, False, False, True], 42, False, [False, False, False, False], 791, 'North', (13, 9))
Element 30: (1, (13, 9), ['.', '', '', ''], [(4, 6), (18, 7), (15, 9)], [False, False, False, False], 40, False, [True, False, False, False], 800, 'West', (12, 9))
Element 31: (1, (12, 9), ['%', '%', '%', ''], [(3, 6), (18, 6), (15, 10)], [True, True, True, False], 38, False, [False, False, False, False], 819, 'East', (13, 9))
Element 32: (1, (13, 9), ['', '', '', ''], [(3, 5), (18, 5), (15, 11)], [False, False, False, False], 36, False, [False, False, False, False], 828, 'East', (14, 9))
Element 33: (1, (14, 9), ['', '%', '%', ''], [(3, 4), (18, 4), (15, 10)], [False, True, True, False], 34, False, [False, False, False, False], 837, 'East', (15, 9))
Element 34: (1, (15, 9), ['', '%', '', ''], [(3, 3), (18, 3), (15, 11)], [False, True, False, False], 32, False, [False, False, False, False], 846, 'East', (16, 9))
Element 35: (1, (16, 9), ['', '', '%', '%'], [(3, 2), (18, 2), (15, 10)], [False, False, True, True], 30, False, [False, False, False, False], 1845, 'South', (16, 8))
Element 36: #1#
