Element 1: (3, (17, 11), ['.', '%', '%', ''], [(6, 3), (3, 9), (12, 3)], [False, True, True, False], 98, False, [True, False, False, False], 29, 'West', (16, 11))
Element 2: (3, (16, 11), ['.', '%', '%', ''], [(7, 3), (4, 9), (13, 3)], [False, True, True, False], 96, False, [True, False, False, False], 68, 'West', (15, 11))
Element 3: (3, (15, 11), ['%', '.', '%', ''], [(8, 3), (5, 9), (13, 4)], [True, False, True, False], 94, False, [False, True, False, False], 107, 'South', (15, 10))
Element 4: (3, (15, 10), ['%', '.', '', '%'], [(9, 3), (6, 9), (13, 5)], [True, False, False, True], 92, False, [False, True, False, False], 146, 'South', (15, 9))
Element 5: (3, (15, 9), ['.', '%', '', '.'], [(10, 3), (7, 9), (13, 6)], [False, True, False, False], 90, False, [True, False, False, True], 185, 'East', (16, 9))
Element 6: (3, (16, 9), ['', '.', '%', '%'], [(11, 3), (6, 9), (13, 7)], [False, False, True, True], 88, False, [False, True, False, False], 204, 'South', (16, 8))
Element 7: (3, (16, 8), ['%', '.', '', '%'], [(12, 3), (6, 10), (13, 8)], [True, False, False, True], 86, False, [False, True, False, False], 233, 'South', (16, 7))
Element 8: (3, (16, 7), ['.', '.', '', '.'], [(13, 3), (6, 11), (13, 9)], [False, False, False, False], 84, False, [True, True, False, True], 262, 'East', (17, 7))
Element 9: (3, (17, 7), ['', '%', '%', '.'], [(13, 2), (7, 11), (14, 9)], [False, True, True, False], 82, False, [False, False, False, True], 301, 'East', (18, 7))
Element 10: (3, (18, 7), ['', '.', '.', '%'], [(13, 1), (8, 11), (15, 9)], [False, False, False, True], 80, False, [False, True, True, False], 330, 'North', (18, 8))
Element 11: (3, (18, 8), ['%', '', '.', '%'], [(12, 1), (9, 11), (16, 9)], [True, False, False, True], 78, False, [False, False, True, False], 359, 'North', (18, 9))
Element 12: (3, (18, 9), ['%', '', '.', '%'], [(11, 1), (10, 11), (16, 8)], [True, False, False, True], 76, False, [False, False, True, False], 388, 'North', (18, 10))
Element 13: (3, (18, 10), ['%', '', '', '%'], [(10, 1), (11, 11), (16, 7)], [True, False, False, True], 74, False, [False, False, False, False], 417, 'North', (18, 11))
Element 14: (3, (18, 11), ['', '', '%', '%'], [(9, 1), (12, 11), (16, 6)], [False, False, True, True], 72, False, [False, False, False, False], 446, 'South', (18, 10))
Element 15: (3, (18, 10), ['%', '', '', '%'], [(8, 1), (13, 11), (16, 5)], [True, False, False, True], 70, False, [False, False, False, False], 475, 'South', (18, 9))
Element 16: (3, (18, 9), ['%', '', '', '%'], [(7, 1), (13, 10), (16, 4)], [True, False, False, True], 68, False, [False, False, False, False], 504, 'South', (18, 8))
Element 17: (3, (18, 8), ['%', '', '', '%'], [(6, 1), (13, 9), (16, 3)], [True, False, False, True], 66, False, [False, False, False, False], 523, 'South', (18, 7))
Element 18: (3, (18, 7), ['', '.', '', '%'], [(6, 2), (12, 9), (15, 3)], [False, False, False, True], 64, False, [False, True, False, False], 552, 'South', (18, 6))
Element 19: (3, (18, 6), ['%', '.', '', '%'], [(6, 1), (13, 9), (15, 4)], [True, False, False, True], 62, False, [False, True, False, False], 571, 'South', (18, 5))
Element 20: (3, (18, 5), ['%', '.', '', '%'], [(7, 1), (14, 9), (15, 5)], [True, False, False, True], 60, False, [False, True, False, False], 590, 'South', (18, 4))
Element 21: (3, (18, 4), ['%', '.', '', '%'], [(8, 1), (15, 9), (15, 6)], [True, False, False, True], 58, False, [False, True, False, False], 609, 'South', (18, 3))
Element 22: (3, (18, 3), ['%', '.', '', '%'], [(9, 1), (16, 9), (15, 7)], [True, False, False, True], 56, False, [False, True, False, False], 628, 'South', (18, 2))
Element 23: (3, (18, 2), ['%', '', '', '%'], [(10, 1), (16, 8), (15, 6)], [True, False, False, True], 54, False, [False, False, False, False], 637, 'South', (18, 1))
Element 24: (3, (18, 1), ['.', '%', '', '%'], [(11, 1), (16, 7), (15, 5)], [False, True, False, True], 52, False, [True, False, False, False], 636, 'West', (17, 1))
Element 25: (3, (17, 1), ['.', '%', '%', ''], [(12, 1), (17, 7), (15, 4)], [False, True, True, False], 50, False, [True, False, False, False], 645, 'West', (16, 1))
Element 26: (3, (16, 1), ['.', '%', '%', ''], [(13, 1), (18, 7), (15, 3)], [False, True, True, False], 48, False, [True, False, False, False], 654, 'West', (15, 1))
Element 27: (3, (15, 1), ['%', '%', 'G', ''], [(13, 2), (18, 8), (15, 2)], [True, True, False, False], 46, False, [False, False, False, False], 673, 'East', (16, 1))
Element 28: (3, (16, 1), ['G', '%', '%', ''], [(13, 3), (18, 9), (15, 1)], [False, True, True, False], 44, False, [False, False, False, False], 672, 'East', (17, 1))
Element 29: (3, (17, 1), ['G', '%', '%', ''], [(13, 4), (18, 10), (16, 1)], [False, True, True, False], 42, False, [False, False, False, False], 671, 'East', (18, 1))
Element 30: (3, (18, 1), ['G', '%', '', '%'], [(13, 5), (18, 11), (17, 1)], [False, True, False, True], 40, False, [False, False, False, False], 670, 'North', (18, 2))
Element 31: (3, (18, 2), ['%', 'G', '', '%'], [(13, 6), (17, 11), (18, 1)], [True, False, False, True], 38, False, [False, False, False, False], 669, 'North', (18, 3))
Element 32: (3, (18, 3), ['%', 'G', '', '%'], [(13, 7), (16, 11), (18, 2)], [True, False, False, True], 36, False, [False, False, False, False], 668, 'North', (18, 4))
Element 33: (3, (18, 4), ['%', 'G', '', '%'], [(13, 8), (15, 11), (18, 3)], [True, False, False, True], 34, False, [False, False, False, False], 667, 'North', (18, 5))
Element 34: (3, (18, 5), ['%', 'G', '', '%'], [(13, 9), (15, 10), (18, 4)], [True, False, False, True], 32, False, [False, False, False, False], 666, 'North', (18, 6))
Element 35: (3, (18, 6), ['%', 'G', '', '%'], [(14, 9), (15, 11), (18, 5)], [True, False, False, True], 30, False, [False, False, False, False], 665, 'North', (18, 7))
Element 36: (3, (18, 7), ['', 'G', '', '%'], [(15, 9), (16, 11), (18, 6)], [False, False, False, True], 28, False, [False, False, False, False], 664, 'West', (17, 7))
Element 37: (3, (17, 7), ['', '%', '%', 'G'], [(16, 9), (17, 11), (18, 7)], [False, True, True, False], 26, False, [False, False, False, False], 663, 'West', (16, 7))
Element 38: (3, (16, 7), ['', '', 'G', ''], [(16, 8), (18, 11), (18, 8)], [False, False, False, False], 24, False, [False, False, False, False], 662, 'South', (16, 6))
Element 39: (3, (16, 6), ['', '', 'G', '%'], [(16, 7), (18, 10), (18, 9)], [False, False, False, True], 22, False, [False, False, False, False], 661, 'South', (16, 5))
Element 40: (3, (16, 5), ['', '', '', '%'], [(17, 7), (18, 11), (18, 10)], [False, False, False, True], 20, False, [False, False, False, False], 660, 'South', (16, 4))
