Element 39: (2, (13, 1), ['', '%', '', '%'], [(8, 11), (11, 3), (18, 1)], [False, True, False, True], 22, False, [False, False, False, False], 741, 'West', (12, 1))
Element 40: (2, (12, 1), ['', '%', '%', ''], [(7, 11), (10, 3), (17, 1)], [False, True, True, False], 20, False, [False, False, False, False], 740, 'West', (11, 1))
Element 41: (2, (11, 1), ['', '%', '%', ''], [(6, 11), (9, 3), (16, 1)], [False, True, True, False], 18, False, [False, False, False, False], 739, 'West', (10, 1))
Element 42: (2, (10, 1), ['', '%', '%', ''], [(6, 10), (8, 3), (15, 1)], [False, True, True, False], 16, False, [False, False, False, False], 738, 'West', (9, 1))
Element 43: (2, (9, 1), ['', '%', '%', ''], [(6, 9), (8, 4), (15, 2)], [False, True, True, False], 14, False, [False, False, False, False], 737, 'West', (8, 1))
Element 44: (2, (8, 1), ['', '%', '%', ''], [(5, 9), (8, 5), (15, 3)], [False, True, True, False], 12, False, [False, False, False, False], 746, 'West', (7, 1))
Element 45: (2, (7, 1), ['', '%', '%', ''], [(4, 9), (9, 5), (15, 4)], [False, True, True, False], 10, False, [False, False, False, False], 765, 'West', (6, 1))
Element 46: (2, (6, 1), ['%', '%', '', ''], [(4, 10), (10, 5), (15, 5)], [True, True, False, False], 8, False, [False, False, False, False], 784, 'North', (6, 2))
Element 47: (2, (6, 2), ['%', '', '', '%'], [(4, 11), (11, 5), (16, 5)], [True, False, False, True], 6, False, [False, False, False, False], 793, 'North', (6, 3))
Element 48: (2, (6, 3), ['.', '', '', ''], [(3, 11), (10, 5), (16, 6)], [False, False, False, False], 4, False, [True, False, False, False], 802, 'West', (5, 3))
Element 49: (2, (5, 3), ['.', '%', '.', ''], [(2, 11), (9, 5), (15, 6)], [False, True, False, False], 2, False, [True, False, True, False], 821, 'North', (5, 4))
Element 50: (2, (5, 4), ['.', '', '', ''], [(2, 11), (9, 5), (15, 7)], [False, False, False, False], 0, False, [True, False, False, False], 830, 'Stop', (5, 4))
Element 51: #0#
