Element 1: (2, (13, 1), ['.', '%', '.', '%'], [(15, 9), (2, 7), (15, 7)], [False, True, False, True], 98, False, [True, False, True, False], 19, 'North', (13, 2))
Element 2: (2, (13, 2), ['%', '', '.', '%'], [(16, 9), (3, 7), (16, 7)], [True, False, False, True], 96, False, [False, False, True, False], 58, 'North', (13, 3))
Element 3: (2, (13, 3), ['.', '', '.', '%'], [(16, 8), (4, 7), (17, 7)], [False, False, False, True], 94, False, [True, False, True, False], 97, 'North', (13, 4))
Element 4: (2, (13, 4), ['%', '', '.', '%'], [(16, 7), (5, 7), (18, 7)], [True, False, False, True], 92, False, [False, False, True, False], 126, 'North', (13, 5))
Element 5: (2, (13, 5), ['%', '', '.', '%'], [(16, 6), (6, 7), (18, 8)], [True, False, False, True], 90, False, [False, False, True, False], 165, 'North', (13, 6))
Element 6: (2, (13, 6), ['%', '', '.', '%'], [(16, 5), (6, 8), (18, 9)], [True, False, False, True], 88, False, [False, False, True, False], 204, 'North', (13, 7))
Element 7: (2, (13, 7), ['%', '', '.', '%'], [(16, 4), (6, 9), (18, 10)], [True, False, False, True], 86, False, [False, False, True, False], 243, 'North', (13, 8))
Element 8: (2, (13, 8), ['%', '', '.', '%'], [(16, 3), (7, 9), (18, 11)], [True, False, False, True], 84, False, [False, False, True, False], 272, 'North', (13, 9))
Element 9: (2, (13, 9), ['.', '', '.', ''], [(15, 3), (6, 9), (17, 11)], [False, False, False, False], 82, False, [True, False, True, False], 301, 'North', (13, 10))
Element 10: (2, (13, 10), ['%', '', '.', '%'], [(15, 4), (6, 10), (16, 11)], [True, False, False, True], 80, False, [False, False, True, False], 340, 'North', (13, 11))
Element 11: (2, (13, 11), ['.', '', '%', '%'], [(15, 5), (6, 11), (15, 11)], [False, False, True, True], 78, False, [True, False, False, False], 379, 'West', (12, 11))
Element 12: (2, (12, 11), ['.', '%', '%', ''], [(15, 6), (7, 11), (15, 10)], [False, True, True, False], 76, False, [True, False, False, False], 418, 'West', (11, 11))
Element 13: (2, (11, 11), ['.', '%', '%', ''], [(15, 7), (8, 11), (15, 9)], [False, True, True, False], 74, False, [True, False, False, False], 437, 'West', (10, 11))
Element 14: (2, (10, 11), ['G', '.', '%', ''], [(15, 6), (9, 11), (16, 9)], [False, False, True, False], 72, False, [False, True, False, False], 456, 'South', (10, 10))
