Element 1: (0, (4, 6), ['.', '.', '.', '.'], [(5, 5), (6, 11), (16, 1)], [False, False, False, False], 98, False, [True, True, True, True], 0, 'East', (5, 6))
Element 2: (0, (5, 6), ['', '', '.', '.'], [(6, 5), (7, 11), (17, 1)], [False, False, False, False], 96, False, [False, False, True, True], 39, 'East', (6, 6))
Element 3: (0, (6, 6), ['', '', '.', '%'], [(6, 4), (8, 11), (18, 1)], [False, False, False, True], 94, False, [False, False, True, False], 68, 'North', (6, 7))
Element 4: (0, (6, 7), ['.', '', '.', ''], [(6, 3), (9, 11), (18, 2)], [False, False, False, False], 92, False, [True, False, True, False], 107, 'North', (6, 8))
Element 5: (0, (6, 8), ['%', '', '.', '%'], [(7, 3), (10, 11), (18, 3)], [True, False, False, True], 90, False, [False, False, True, False], 146, 'North', (6, 9))
Element 6: (0, (6, 9), ['.', '', '.', '.'], [(8, 3), (11, 11), (18, 4)], [False, False, False, False], 88, False, [True, False, True, True], 185, 'East', (7, 9))
Element 7: (0, (7, 9), ['', '%', '%', '%'], [(9, 3), (12, 11), (18, 5)], [False, True, True, True], 86, False, [False, False, False, False], 224, 'West', (6, 9))
Element 8: (0, (6, 9), ['.', '', '.', ''], [(10, 3), (13, 11), (18, 6)], [False, False, False, False], 84, False, [True, False, True, False], 253, 'North', (6, 10))
Element 9: (0, (6, 10), ['%', '', '', '%'], [(11, 3), (13, 10), (18, 7)], [True, False, False, True], 82, False, [False, False, False, False], 292, 'North', (6, 11))
Element 10: (0, (6, 11), ['%', '', '%', ''], [(12, 3), (13, 9), (18, 8)], [True, False, True, False], 80, False, [False, False, False, False], 321, 'East', (7, 11))
Element 11: (0, (7, 11), ['', '%', '%', ''], [(13, 3), (14, 9), (18, 9)], [False, True, True, False], 78, False, [False, False, False, False], 350, 'East', (8, 11))
Element 12: (0, (8, 11), ['', '%', '%', ''], [(13, 4), (15, 9), (18, 10)], [False, True, True, False], 76, False, [False, False, False, False], 379, 'East', (9, 11))
Element 13: (0, (9, 11), ['', '.', '%', ''], [(13, 5), (16, 9), (18, 11)], [False, False, True, False], 74, False, [False, True, False, False], 398, 'South', (9, 10))
Element 14: (0, (9, 10), ['%', '.', '', '.'], [(13, 6), (16, 8), (17, 11)], [True, False, False, False], 72, False, [False, True, False, True], 437, 'East', (10, 10))
Element 15: (0, (10, 10), ['', '.', '', '%'], [(13, 7), (16, 7), (16, 11)], [False, False, False, True], 70, False, [False, True, False, False], 476, 'South', (10, 9))
Element 16: (0, (10, 9), ['.', '', '', '%'], [(13, 8), (17, 7), (15, 11)], [False, False, False, True], 68, False, [True, False, False, False], 515, 'West', (9, 9))
Element 17: (0, (9, 9), ['%', '', '', ''], [(13, 9), (18, 7), (15, 10)], [True, False, False, False], 66, False, [False, False, False, False], 534, 'South', (9, 8))
Element 18: (0, (9, 8), ['%', '.', '', ''], [(12, 9), (18, 8), (15, 9)], [True, False, False, False], 64, False, [False, True, False, False], 543, 'South', (9, 7))
Element 19: (0, (9, 7), ['%', '%', '', '.'], [(13, 9), (18, 9), (16, 9)], [True, True, False, False], 62, False, [False, False, False, True], 552, 'East', (10, 7))
Element 20: (0, (10, 7), ['', '%', '', '.'], [(14, 9), (18, 10), (16, 8)], [False, True, False, False], 60, False, [False, False, False, True], 561, 'East', (11, 7))
Element 21: (0, (11, 7), ['', '%', '%', '%'], [(15, 9), (18, 11), (16, 7)], [False, True, True, True], 58, False, [False, False, False, False], 570, 'West', (10, 7))
Element 22: (0, (10, 7), ['', '%', '', ''], [(16, 9), (17, 11), (16, 6)], [False, True, False, False], 56, False, [False, False, False, False], 579, 'North', (10, 8))
Element 23: (0, (10, 8), ['', '', '', '%'], [(16, 8), (16, 11), (16, 5)], [False, False, False, True], 54, False, [False, False, False, False], 588, 'South', (10, 7))
Element 24: (0, (10, 7), ['', '%', '', ''], [(16, 7), (15, 11), (16, 4)], [False, True, False, False], 52, False, [False, False, False, False], 597, 'West', (9, 7))
Element 25: (0, (9, 7), ['%', '%', '', ''], [(15, 7), (15, 10), (16, 3)], [True, True, False, False], 50, False, [False, False, False, False], 616, 'North', (9, 8))
Element 26: (0, (9, 8), ['%', '', '', ''], [(15, 6), (15, 11), (15, 3)], [True, False, False, False], 48, False, [False, False, False, False], 635, 'East', (10, 8))
Element 27: (0, (10, 8), ['', '', '', '%'], [(15, 5), (16, 11), (15, 4)], [False, False, False, True], 46, False, [False, False, False, False], 654, 'West', (9, 8))
Element 28: (0, (9, 8), ['%', '', '', ''], [(16, 5), (17, 11), (15, 5)], [True, False, False, False], 44, False, [False, False, False, False], 653, 'North', (9, 9))
Element 29: (0, (9, 9), ['%', '', '', ''], [(16, 6), (18, 11), (15, 6)], [True, False, False, False], 42, False, [False, False, False, False], 652, 'East', (10, 9))
Element 30: (0, (10, 9), ['', '', '', '%'], [(16, 5), (18, 10), (15, 7)], [False, False, False, True], 40, False, [False, False, False, False], 651, 'South', (10, 8))
Element 31: (0, (10, 8), ['', '', '', '%'], [(16, 4), (18, 9), (15, 6)], [False, False, False, True], 38, False, [False, False, False, False], 650, 'North', (10, 9))
Element 32: (0, (10, 9), ['', '', '', '%'], [(16, 3), (18, 8), (15, 5)], [False, False, False, True], 36, False, [False, False, False, False], 649, 'North', (10, 10))
Element 33: (0, (10, 10), ['', '', '', '%'], [(15, 3), (18, 7), (15, 4)], [False, False, False, True], 34, False, [False, False, False, False], 648, 'North', (10, 11))
Element 34: (0, (10, 11), ['', '', '%', ''], [(15, 2), (18, 6), (15, 3)], [False, False, True, False], 32, False, [False, False, False, False], 657, 'East', (11, 11))
Element 35: (0, (11, 11), ['', '%', '%', ''], [(15, 1), (18, 5), (15, 2)], [False, True, True, False], 30, False, [False, False, False, False], 666, 'East', (12, 11))
Element 36: (0, (12, 11), ['', '%', '%', ''], [(16, 1), (18, 4), (15, 1)], [False, True, True, False], 28, False, [False, False, False, False], 665, 'East', (13, 11))
Element 37: (0, (13, 11), ['', '', '%', '%'], [(17, 1), (18, 3), (15, 2)], [False, False, True, True], 26, False, [False, False, False, False], 664, 'South', (13, 10))
Element 38: (0, (13, 10), ['%', '', '', '%'], [(18, 1), (18, 2), (15, 3)], [True, False, False, True], 24, False, [False, False, False, False], 663, 'South', (13, 9))
Element 39: (0, (13, 9), ['', '', '', ''], [(17, 1), (18, 1), (16, 3)], [False, False, False, False], 22, False, [False, False, False, False], 662, 'East', (14, 9))
Element 40: (0, (14, 9), ['', '%', '%', ''], [(16, 1), (17, 1), (16, 4)], [False, True, True, False], 20, False, [False, False, False, False], 661, 'East', (15, 9))
Element 41: (0, (15, 9), ['', '%', '', ''], [(15, 1), (16, 1), (15, 4)], [False, True, False, False], 18, False, [False, False, False, False], 660, 'East', (16, 9))
Element 42: (0, (16, 9), ['', '', '%', '%'], [(15, 2), (15, 1), (16, 4)], [False, False, True, True], 16, False, [False, False, False, False], 659, 'South', (16, 8))
Element 43: (0, (16, 8), ['%', '', '', '%'], [(15, 3), (15, 2), (16, 5)], [True, False, False, True], 14, False, [False, False, False, False], 658, 'South', (16, 7))
Element 44: (0, (16, 7), ['', '', '', ''], [(16, 3), (15, 3), (15, 5)], [False, False, False, False], 12, False, [False, False, False, False], 657, 'East', (17, 7))
Element 45: (0, (17, 7), ['', '%', '%', ''], [(16, 4), (16, 3), (16, 5)], [False, True, True, False], 10, False, [False, False, False, False], 656, 'East', (18, 7))
Element 46: (0, (18, 7), ['', '', '', '%'], [(15, 4), (16, 4), (16, 6)], [False, False, False, True], 8, False, [False, False, False, False], 655, 'North', (18, 8))
Element 47: (0, (18, 8), ['%', '', '', '%'], [(15, 3), (16, 5), (15, 6)], [True, False, False, True], 6, False, [False, False, False, False], 654, 'North', (18, 9))
Element 48: (0, (18, 9), ['%', '', '', '%'], [(15, 2), (16, 6), (15, 5)], [True, False, False, True], 4, False, [False, False, False, False], 653, 'North', (18, 10))
Element 49: (0, (18, 10), ['%', '', '', '%'], [(15, 1), (15, 6), (15, 6)], [True, False, False, True], 2, False, [False, False, False, False], 652, 'North', (18, 11))
Element 50: (0, (18, 11), ['', '', '%', '%'], [(15, 2), (15, 7), (15, 5)], [False, False, True, True], 0, False, [False, False, False, False], 651, 'Stop', (18, 11))
Element 51: #0#
