Element 39: (2, (9, 8), ['%', '', '', ''], [(16, 5), (18, 11), (17, 11)], [True, False, False, False], 22, False, [False, False, False, False], 791, 'North', (9, 9))
Element 40: (2, (9, 9), ['%', '', '', ''], [(15, 5), (18, 10), (17, 11)], [True, False, False, False], 20, False, [False, False, False, False], 790, 'East', (10, 9))
Element 41: (2, (10, 9), ['', '', '', '%'], [(15, 4), (18, 9), (17, 11)], [False, False, False, True], 18, False, [False, False, False, False], 789, 'South', (10, 8))
Element 42: (2, (10, 8), ['', '', '', '%'], [(15, 5), (18, 8), (17, 11)], [False, False, False, True], 16, False, [False, False, False, False], 788, 'North', (10, 9))
Element 43: (2, (10, 9), ['', '', '', '%'], [(15, 6), (18, 7), (17, 11)], [False, False, False, True], 14, False, [False, False, False, False], 787, 'North', (10, 10))
Element 44: (2, (10, 10), ['', '', '', '%'], [(16, 6), (18, 6), (16, 11)], [False, False, False, True], 12, False, [False, False, False, False], 786, 'West', (9, 10))
Element 45: (2, (9, 10), ['%', '', '', ''], [(15, 6), (18, 5), (16, 11)], [True, False, False, False], 10, False, [False, False, False, False], 785, 'East', (10, 10))
Element 46: (2, (10, 10), ['', '', '', '%'], [(15, 7), (18, 4), (16, 11)], [False, False, False, True], 8, False, [False, False, False, False], 784, 'North', (10, 11))
Element 47: (2, (10, 11), ['', '', '%', ''], [(16, 7), (18, 3), (16, 11)], [False, False, True, False], 6, False, [False, False, False, False], 783, 'West', (9, 11))
Element 48: (2, (9, 11), ['', '', '%', ''], [(17, 7), (18, 2), (15, 11)], [False, False, True, False], 4, False, [False, False, False, False], 782, 'South', (9, 10))
Element 49: (2, (9, 10), ['%', '', '', ''], [(16, 7), (18, 1), (15, 10)], [True, False, False, False], 2, False, [False, False, False, False], 781, 'North', (9, 11))
Element 50: (2, (9, 11), ['', '', '%', ''], [(16, 7), (18, 1), (15, 9)], [False, False, True, False], 0, False, [False, False, False, False], 780, 'Stop', (9, 11))
Element 51: #0#
