Element 1: (0, (1, 10), ['%', '.', '', '%'], [(3, 7), (9, 11), (15, 7)], [True, False, False, True], 98, False, [False, True, False, False], 0, 'South', (1, 9))
Element 2: (0, (1, 9), ['%', '.', '', '%'], [(4, 7), (10, 11), (16, 7)], [True, False, False, True], 96, False, [False, True, False, False], 39, 'South', (1, 8))
Element 3: (0, (1, 8), ['%', '.', '', '%'], [(5, 7), (11, 11), (17, 7)], [True, False, False, True], 94, False, [False, True, False, False], 78, 'South', (1, 7))
Element 4: (0, (1, 7), ['%', '.', '', '.'], [(6, 7), (12, 11), (18, 7)], [True, False, False, False], 92, False, [False, True, False, True], 117, 'East', (2, 7))
Element 5: (0, (2, 7), ['', '%', '%', ''], [(6, 8), (13, 11), (18, 8)], [False, True, True, False], 90, False, [False, False, False, False], 156, 'East', (3, 7))
Element 6: (0, (3, 7), ['', '.', '.', ''], [(6, 9), (13, 10), (18, 9)], [False, False, False, False], 88, False, [False, True, True, False], 185, 'North', (3, 8))
Element 7: (0, (3, 8), ['%', '', '.', '%'], [(7, 9), (13, 9), (18, 10)], [True, False, False, True], 86, False, [False, False, True, False], 224, 'North', (3, 9))
Element 8: (0, (3, 9), ['%', '', '%', '.'], [(6, 9), (14, 9), (18, 11)], [True, False, True, False], 84, False, [False, False, False, True], 243, 'East', (4, 9))
Element 9: (0, (4, 9), ['', '%', '.', '.'], [(6, 10), (15, 9), (17, 11)], [False, True, False, False], 82, False, [False, False, True, True], 282, 'East', (5, 9))
Element 10: (0, (5, 9), ['', '%', '%', ''], [(6, 11), (16, 9), (16, 11)], [False, True, True, False], 80, False, [False, False, False, False], 321, 'East', (6, 9))
Element 11: (0, (6, 9), ['', '', '', ''], [(7, 11), (16, 8), (15, 11)], [False, False, False, False], 78, False, [False, False, False, False], 350, 'East', (7, 9))
Element 12: (0, (7, 9), ['', '%', '%', '%'], [(8, 11), (16, 7), (15, 10)], [False, True, True, True], 76, False, [False, False, False, False], 369, 'West', (6, 9))
Element 13: (0, (6, 9), ['', '', '', ''], [(9, 11), (16, 6), (15, 9)], [False, False, False, False], 74, False, [False, False, False, False], 378, 'North', (6, 10))
Element 14: (0, (6, 10), ['%', '', '', '%'], [(9, 10), (16, 5), (16, 9)], [True, False, False, True], 72, False, [False, False, False, False], 397, 'North', (6, 11))
