Element 1: (0, (2, 11), ['', '%', '%', '.'], [(4, 9), (13, 8), (16, 5)], [False, True, True, False], 98, False, [False, False, False, True], 0, 'East', (3, 11))
Element 2: (0, (3, 11), ['', '%', '%', '.'], [(5, 9), (13, 9), (16, 6)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (4, 11))
Element 3: (0, (4, 11), ['', '.', '%', '%'], [(6, 9), (14, 9), (16, 7)], [False, False, True, True], 94, False, [False, True, False, False], 78, 'South', (4, 10))
Element 4: (0, (4, 10), ['%', '', '', '%'], [(7, 9), (15, 9), (17, 7)], [True, False, False, True], 92, False, [False, False, False, False], 117, 'South', (4, 9))
Element 5: (0, (4, 9), ['.', '%', '', ''], [(6, 9), (16, 9), (18, 7)], [False, True, False, False], 90, False, [True, False, False, False], 136, 'West', (3, 9))
Element 6: (0, (3, 9), ['%', '.', '%', ''], [(6, 10), (16, 8), (18, 8)], [True, False, True, False], 88, False, [False, True, False, False], 175, 'South', (3, 8))
Element 7: (0, (3, 8), ['%', '.', '', '%'], [(6, 11), (16, 7), (18, 9)], [True, False, False, True], 86, False, [False, True, False, False], 204, 'South', (3, 7))
Element 8: (0, (3, 7), ['.', '.', '', '.'], [(7, 11), (15, 7), (18, 10)], [False, False, False, False], 84, False, [True, True, False, True], 243, 'East', (4, 7))
Element 9: (0, (4, 7), ['', '.', '%', '.'], [(8, 11), (15, 6), (18, 11)], [False, False, True, False], 82, False, [False, True, False, True], 272, 'East', (5, 7))
Element 10: (0, (5, 7), ['', '.', '%', '.'], [(9, 11), (15, 5), (17, 11)], [False, False, True, False], 80, False, [False, True, False, True], 311, 'East', (6, 7))
Element 11: (0, (6, 7), ['', '.', '.', ''], [(10, 11), (15, 4), (16, 11)], [False, False, False, False], 78, False, [False, True, True, False], 350, 'North', (6, 8))
Element 12: (0, (6, 8), ['%', '', '', '%'], [(11, 11), (16, 4), (15, 11)], [True, False, False, True], 76, False, [False, False, False, False], 389, 'North', (6, 9))
Element 13: (0, (6, 9), ['', '', '', ''], [(12, 11), (16, 3), (15, 10)], [False, False, False, False], 74, False, [False, False, False, False], 418, 'East', (7, 9))
Element 14: (0, (7, 9), ['', '%', '%', '%'], [(13, 11), (15, 3), (15, 9)], [False, True, True, True], 72, False, [False, False, False, False], 437, 'West', (6, 9))
Element 15: (0, (6, 9), ['', '', '', ''], [(13, 10), (15, 2), (16, 9)], [False, False, False, False], 70, False, [False, False, False, False], 456, 'North', (6, 10))
