Element 1: (0, (17, 11), ['.', '%', '%', ''], [(3, 5), (12, 3), (18, 2)], [False, True, True, False], 98, False, [True, False, False, False], 0, 'West', (16, 11))
Element 2: (0, (16, 11), ['.', '%', '%', ''], [(4, 5), (13, 3), (18, 3)], [False, True, True, False], 96, False, [True, False, False, False], 39, 'West', (15, 11))
Element 3: (0, (15, 11), ['%', '.', '%', ''], [(5, 5), (13, 4), (18, 4)], [True, False, True, False], 94, False, [False, True, False, False], 78, 'South', (15, 10))
Element 4: (0, (15, 10), ['%', '.', '', '%'], [(6, 5), (13, 5), (18, 5)], [True, False, False, True], 92, False, [False, True, False, False], 117, 'South', (15, 9))
Element 5: (0, (15, 9), ['.', '%', '', '.'], [(6, 6), (13, 6), (18, 6)], [False, True, False, False], 90, False, [True, False, False, True], 156, 'East', (16, 9))
Element 6: (0, (16, 9), ['', '.', '%', '%'], [(6, 7), (13, 7), (18, 7)], [False, False, True, True], 88, False, [False, True, False, False], 195, 'South', (16, 8))
Element 7: (0, (16, 8), ['%', '.', '', '%'], [(6, 8), (13, 8), (18, 8)], [True, False, False, True], 86, False, [False, True, False, False], 234, 'South', (16, 7))
Element 8: (0, (16, 7), ['.', '.', '', '.'], [(6, 9), (13, 9), (18, 9)], [False, False, False, False], 84, False, [True, True, False, True], 273, 'East', (17, 7))
Element 9: (0, (17, 7), ['', '%', '%', ''], [(7, 9), (14, 9), (18, 10)], [False, True, True, False], 82, False, [False, False, False, False], 312, 'East', (18, 7))
Element 10: (0, (18, 7), ['', '', '', '%'], [(6, 9), (15, 9), (18, 11)], [False, False, False, True], 80, False, [False, False, False, False], 311, 'North', (18, 8))
Element 11: (0, (18, 8), ['%', '', '', '%'], [(6, 10), (16, 9), (17, 11)], [True, False, False, True], 78, False, [False, False, False, False], 320, 'North', (18, 9))
Element 12: (0, (18, 9), ['%', '', '', '%'], [(6, 11), (16, 8), (16, 11)], [True, False, False, True], 76, False, [False, False, False, False], 329, 'North', (18, 10))
Element 13: (0, (18, 10), ['%', '', '', '%'], [(7, 11), (16, 7), (15, 11)], [True, False, False, True], 74, False, [False, False, False, False], 338, 'North', (18, 11))
Element 14: (0, (18, 11), ['', '', '%', '%'], [(8, 11), (16, 6), (15, 10)], [False, False, True, True], 72, False, [False, False, False, False], 357, 'South', (18, 10))
Element 15: (0, (18, 10), ['%', '', '', '%'], [(9, 11), (16, 5), (15, 9)], [True, False, False, True], 70, False, [False, False, False, False], 376, 'South', (18, 9))
Element 16: (0, (18, 9), ['%', '', '', '%'], [(10, 11), (16, 4), (16, 9)], [True, False, False, True], 68, False, [False, False, False, False], 395, 'South', (18, 8))
Element 17: (0, (18, 8), ['%', '', '', '%'], [(11, 11), (16, 3), (16, 8)], [True, False, False, True], 66, False, [False, False, False, False], 414, 'South', (18, 7))
Element 18: (0, (18, 7), ['', '', '', '%'], [(12, 11), (15, 3), (16, 7)], [False, False, False, True], 64, False, [False, False, False, False], 433, 'South', (18, 6))
Element 19: (0, (18, 6), ['%', '', '', '%'], [(13, 11), (15, 4), (15, 7)], [True, False, False, True], 62, False, [False, False, False, False], 462, 'South', (18, 5))
Element 20: (0, (18, 5), ['%', '', '', '%'], [(13, 10), (15, 5), (15, 6)], [True, False, False, True], 60, False, [False, False, False, False], 491, 'South', (18, 4))
Element 21: (0, (18, 4), ['%', '', '', '%'], [(13, 9), (15, 4), (16, 6)], [True, False, False, True], 58, False, [False, False, False, False], 490, 'South', (18, 3))
Element 22: (0, (18, 3), ['%', '', '', '%'], [(12, 9), (15, 3), (16, 5)], [True, False, False, True], 56, False, [False, False, False, False], 499, 'South', (18, 2))
Element 23: (0, (18, 2), ['%', '', '', '%'], [(13, 9), (15, 2), (16, 4)], [True, False, False, True], 54, False, [False, False, False, False], 508, 'South', (18, 1))
Element 24: (0, (18, 1), ['.', '%', '', '%'], [(14, 9), (15, 1), (16, 3)], [False, True, False, True], 52, False, [True, False, False, False], 517, 'West', (17, 1))
Element 25: (0, (17, 1), ['G', '%', '%', ''], [(15, 9), (16, 1), (15, 3)], [False, True, True, False], 50, False, [False, False, False, False], 536, 'East', (18, 1))
Element 26: (0, (18, 1), ['G', '%', '', '%'], [(16, 9), (17, 1), (15, 4)], [False, True, False, True], 48, False, [False, False, False, False], 535, 'North', (18, 2))
Element 27: (0, (18, 2), ['%', 'G', '', '%'], [(16, 8), (18, 1), (15, 5)], [True, False, False, True], 46, False, [False, False, False, False], 534, 'North', (18, 3))
Element 28: (0, (18, 3), ['%', 'G', '', '%'], [(16, 7), (18, 2), (15, 4)], [True, False, False, True], 44, False, [False, False, False, False], 533, 'North', (18, 4))
Element 29: (0, (18, 4), ['%', 'G', '', '%'], [(17, 7), (18, 3), (15, 3)], [True, False, False, True], 42, False, [False, False, False, False], 532, 'North', (18, 5))
Element 30: (0, (18, 5), ['%', 'G', '', '%'], [(18, 7), (18, 4), (15, 2)], [True, False, False, True], 40, False, [False, False, False, False], 531, 'North', (18, 6))
Element 31: (0, (18, 6), ['%', 'G', '', '%'], [(18, 8), (18, 5), (15, 1)], [True, False, False, True], 38, False, [False, False, False, False], 530, 'North', (18, 7))
Element 32: (0, (18, 7), ['', 'G', '', '%'], [(18, 9), (18, 6), (16, 1)], [False, False, False, True], 36, False, [False, False, False, False], 529, 'West', (17, 7))
