Element 38: (1, (7, 1), ['', '%', '%', ''], [(15, 9), (8, 3), (15, 2)], [False, True, True, False], 24, False, [False, False, False, False], 792, 'East', (8, 1))
Element 39: (1, (8, 1), ['', '%', '%', ''], [(16, 9), (9, 3), (15, 3)], [False, True, True, False], 22, False, [False, False, False, False], 801, 'East', (9, 1))
Element 40: (1, (9, 1), ['', '%', '%', ''], [(16, 8), (10, 3), (16, 3)], [False, True, True, False], 20, False, [False, False, False, False], 810, 'East', (10, 1))
Element 41: (1, (10, 1), ['', '%', '%', ''], [(16, 7), (11, 3), (16, 4)], [False, True, True, False], 18, False, [False, False, False, False], 819, 'East', (11, 1))
Element 42: (1, (11, 1), ['', '%', '%', ''], [(16, 6), (12, 3), (16, 5)], [False, True, True, False], 16, False, [False, False, False, False], 838, 'Stop', (11, 1))
Element 43: (1, (11, 1), ['', '%', '%', ''], [(15, 6), (11, 3), (15, 5)], [False, True, True, False], 14, False, [False, False, False, False], 857, 'Stop', (11, 1))
Element 44: (1, (11, 1), ['', '%', '%', ''], [(15, 7), (10, 3), (15, 4)], [False, True, True, False], 12, False, [False, False, False, False], 876, 'Stop', (11, 1))
Element 45: (1, (11, 1), ['', '%', '%', ''], [(15, 6), (9, 3), (15, 5)], [False, True, True, False], 10, False, [False, False, False, False], 875, 'Stop', (11, 1))
Element 46: (1, (11, 1), ['', '%', '%', ''], [(15, 5), (8, 3), (16, 5)], [False, True, True, False], 8, False, [False, False, False, False], 874, 'Stop', (11, 1))
Element 47: (1, (11, 1), ['', '%', '%', ''], [(16, 5), (8, 4), (16, 4)], [False, True, True, False], 6, False, [False, False, False, False], 873, 'Stop', (11, 1))
Element 48: (1, (11, 1), ['', '%', '%', ''], [(16, 4), (8, 5), (15, 4)], [False, True, True, False], 4, False, [False, False, False, False], 872, 'Stop', (11, 1))
Element 49: (1, (11, 1), ['', '%', '%', ''], [(16, 3), (9, 5), (15, 3)], [False, True, True, False], 2, False, [False, False, False, False], 871, 'Stop', (11, 1))
Element 50: (1, (11, 1), ['', '%', '%', ''], [(16, 3), (10, 5), (15, 2)], [False, True, True, False], 0, False, [False, False, False, False], 870, 'Stop', (11, 1))
Element 51: #0#
