Element 1: (0, (6, 11), ['%', '.', '%', '.'], [(12, 11), (15, 5), (18, 3)], [True, False, True, False], 98, False, [False, True, False, True], 0, 'East', (7, 11))
Element 2: (0, (7, 11), ['', '%', '%', '.'], [(13, 11), (16, 5), (18, 4)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (8, 11))
Element 3: (0, (8, 11), ['', '%', '%', '.'], [(13, 10), (16, 6), (18, 5)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (9, 11))
Element 4: (0, (9, 11), ['', '.', '%', '.'], [(13, 9), (16, 7), (18, 6)], [False, False, True, False], 92, False, [False, True, False, True], 117, 'East', (10, 11))
Element 5: (0, (10, 11), ['', '.', '%', '.'], [(14, 9), (17, 7), (18, 7)], [False, False, True, False], 90, False, [False, True, False, True], 156, 'East', (11, 11))
Element 6: (0, (11, 11), ['', '%', '%', ''], [(15, 9), (16, 7), (18, 8)], [False, True, True, False], 88, False, [False, False, False, False], 185, 'East', (12, 11))
Element 7: (0, (12, 11), ['', '%', '%', ''], [(16, 9), (16, 8), (18, 9)], [False, True, True, False], 86, False, [False, False, False, False], 214, 'East', (13, 11))
Element 8: (0, (13, 11), ['', '', '%', '%'], [(15, 9), (16, 9), (18, 10)], [False, False, True, True], 84, False, [False, False, False, False], 223, 'South', (13, 10))
Element 9: (0, (13, 10), ['%', '', '', '%'], [(15, 10), (15, 9), (18, 11)], [True, False, False, True], 82, False, [False, False, False, False], 232, 'South', (13, 9))
Element 10: (0, (13, 9), ['.', '.', '', ''], [(15, 11), (15, 10), (17, 11)], [False, False, False, False], 80, False, [True, True, False, False], 251, 'South', (13, 8))
Element 11: (0, (13, 8), ['%', '.', '', '%'], [(16, 11), (15, 11), (18, 11)], [True, False, False, True], 78, False, [False, True, False, False], 270, 'South', (13, 7))
Element 12: (0, (13, 7), ['%', '.', '', '%'], [(17, 11), (16, 11), (18, 10)], [True, False, False, True], 76, False, [False, True, False, False], 279, 'South', (13, 6))
Element 13: (0, (13, 6), ['%', '.', '', '%'], [(18, 11), (17, 11), (18, 9)], [True, False, False, True], 74, False, [False, True, False, False], 288, 'South', (13, 5))
Element 14: (0, (13, 5), ['%', '.', '', '%'], [(18, 10), (18, 11), (18, 8)], [True, False, False, True], 72, False, [False, True, False, False], 297, 'South', (13, 4))
Element 15: (0, (13, 4), ['%', '.', '', '%'], [(18, 9), (18, 10), (18, 7)], [True, False, False, True], 70, False, [False, True, False, False], 306, 'South', (13, 3))
Element 16: (0, (13, 3), ['.', '.', '', '%'], [(18, 8), (18, 9), (17, 7)], [False, False, False, True], 68, False, [True, True, False, False], 315, 'South', (13, 2))
Element 17: (0, (13, 2), ['%', '.', '', '%'], [(18, 7), (18, 8), (16, 7)], [True, False, False, True], 66, False, [False, True, False, False], 324, 'South', (13, 1))
Element 18: (0, (13, 1), ['.', '%', '', '%'], [(18, 6), (18, 7), (15, 7)], [False, True, False, True], 64, False, [True, False, False, False], 343, 'West', (12, 1))
Element 19: (0, (12, 1), ['.', '%', '%', ''], [(18, 5), (18, 6), (15, 6)], [False, True, True, False], 62, False, [True, False, False, False], 362, 'West', (11, 1))
Element 20: (0, (11, 1), ['.', '%', '%', ''], [(18, 4), (18, 5), (16, 6)], [False, True, True, False], 60, False, [True, False, False, False], 371, 'West', (10, 1))
Element 21: (0, (10, 1), ['.', '%', '%', ''], [(18, 3), (18, 4), (16, 5)], [False, True, True, False], 58, False, [True, False, False, False], 380, 'West', (9, 1))
Element 22: (0, (9, 1), ['.', '%', '%', ''], [(18, 2), (18, 3), (16, 4)], [False, True, True, False], 56, False, [True, False, False, False], 409, 'West', (8, 1))
Element 23: (0, (8, 1), ['.', '%', '%', ''], [(18, 1), (18, 2), (16, 3)], [False, True, True, False], 54, False, [True, False, False, False], 428, 'West', (7, 1))
Element 24: (0, (7, 1), ['.', '%', '%', ''], [(17, 1), (18, 1), (15, 3)], [False, True, True, False], 52, False, [True, False, False, False], 457, 'West', (6, 1))
Element 25: (0, (6, 1), ['%', '%', '.', ''], [(16, 1), (17, 1), (15, 4)], [True, True, False, False], 50, False, [False, False, True, False], 486, 'North', (6, 2))
Element 26: (0, (6, 2), ['%', '', '.', '%'], [(15, 1), (16, 1), (15, 5)], [True, False, False, True], 48, False, [False, False, True, False], 505, 'North', (6, 3))
Element 27: (0, (6, 3), ['.', '', '.', '.'], [(15, 2), (15, 1), (15, 4)], [False, False, False, False], 46, False, [True, False, True, True], 524, 'East', (7, 3))
Element 28: (0, (7, 3), ['', '%', '%', '.'], [(15, 3), (15, 2), (15, 5)], [False, True, True, False], 44, False, [False, False, False, True], 533, 'East', (8, 3))
Element 29: (0, (8, 3), ['', '%', '', '.'], [(16, 3), (15, 3), (15, 4)], [False, True, False, False], 42, False, [False, False, False, True], 542, 'East', (9, 3))
Element 30: (0, (9, 3), ['', '%', '%', '.'], [(16, 4), (16, 3), (15, 3)], [False, True, True, False], 40, False, [False, False, False, True], 551, 'East', (10, 3))
Element 31: (0, (10, 3), ['', '%', '%', '.'], [(16, 5), (16, 4), (16, 3)], [False, True, True, False], 38, False, [False, False, False, True], 560, 'East', (11, 3))
Element 32: (0, (11, 3), ['', '%', '%', '.'], [(16, 6), (15, 4), (16, 4)], [False, True, True, False], 36, False, [False, False, False, True], 569, 'East', (12, 3))
Element 33: (0, (12, 3), ['', '%', '%', ''], [(16, 7), (15, 3), (15, 4)], [False, True, True, False], 34, False, [False, False, False, False], 578, 'West', (11, 3))
Element 34: (0, (11, 3), ['', '%', '%', ''], [(17, 7), (16, 3), (16, 4)], [False, True, True, False], 32, False, [False, False, False, False], 577, 'West', (10, 3))
Element 35: (0, (10, 3), ['', '%', '%', ''], [(16, 7), (15, 3), (16, 5)], [False, True, True, False], 30, False, [False, False, False, False], 576, 'West', (9, 3))
Element 36: (0, (9, 3), ['', '%', '%', ''], [(16, 8), (15, 2), (15, 5)], [False, True, True, False], 28, False, [False, False, False, False], 575, 'West', (8, 3))
Element 37: (0, (8, 3), ['', '%', '', ''], [(16, 7), (15, 1), (16, 5)], [False, True, False, False], 26, False, [False, False, False, False], 574, 'North', (8, 4))
Element 38: (0, (8, 4), ['%', '', '', '%'], [(15, 7), (16, 1), (16, 6)], [True, False, False, True], 24, False, [False, False, False, False], 573, 'North', (8, 5))
Element 39: (0, (8, 5), ['%', '', '%', ''], [(15, 6), (17, 1), (16, 5)], [True, False, True, False], 22, False, [False, False, False, False], 572, 'East', (9, 5))
Element 40: (0, (9, 5), ['', '%', '%', ''], [(15, 5), (18, 1), (16, 4)], [False, True, True, False], 20, False, [False, False, False, False], 571, 'East', (10, 5))
Element 41: (0, (10, 5), ['', '%', '%', ''], [(15, 4), (18, 2), (16, 5)], [False, True, True, False], 18, False, [False, False, False, False], 570, 'East', (11, 5))
Element 42: (0, (11, 5), ['', '%', '%', '%'], [(15, 5), (18, 3), (16, 6)], [False, True, True, True], 16, False, [False, False, False, False], 569, 'West', (10, 5))
Element 43: (0, (10, 5), ['', '%', '%', ''], [(15, 6), (18, 4), (16, 7)], [False, True, True, False], 14, False, [False, False, False, False], 568, 'West', (9, 5))
Element 44: (0, (9, 5), ['', '%', '%', ''], [(15, 7), (18, 5), (16, 8)], [False, True, True, False], 12, False, [False, False, False, False], 567, 'West', (8, 5))
Element 45: (0, (8, 5), ['%', '', '%', ''], [(16, 7), (18, 6), (16, 9)], [True, False, True, False], 10, False, [False, False, False, False], 566, 'South', (8, 4))
Element 46: (0, (8, 4), ['%', '', '', '%'], [(16, 6), (18, 7), (15, 9)], [True, False, False, True], 8, False, [False, False, False, False], 565, 'South', (8, 3))
Element 47: (0, (8, 3), ['', '%', '', ''], [(15, 6), (18, 8), (15, 10)], [False, True, False, False], 6, False, [False, False, False, False], 564, 'West', (7, 3))
Element 48: (0, (7, 3), ['', '%', '%', ''], [(16, 6), (18, 9), (15, 11)], [False, True, True, False], 4, False, [False, False, False, False], 563, 'West', (6, 3))
Element 49: (0, (6, 3), ['.', '', '.', ''], [(16, 5), (18, 10), (16, 11)], [False, False, False, False], 2, False, [True, False, True, False], 562, 'North', (6, 4))
Element 50: (0, (6, 4), ['.', '', '.', '%'], [(15, 5), (18, 11), (15, 11)], [False, False, False, True], 0, False, [True, False, True, False], 571, 'Stop', (6, 4))
Element 51: #0#
