Element 13: (1, (9, 3), ['', '%', '%', '.'], [(16, 8), (17, 11), (18, 11)], [False, True, True, False], 74, False, [False, False, False, True], 397, 'East', (10, 3))
Element 14: (1, (10, 3), ['', '%', '%', '.'], [(16, 7), (16, 11), (17, 11)], [False, True, True, False], 72, False, [False, False, False, True], 416, 'East', (11, 3))
Element 15: (1, (11, 3), ['', '%', '%', '.'], [(15, 7), (15, 11), (16, 11)], [False, True, True, False], 70, False, [False, False, False, True], 445, 'East', (12, 3))
Element 16: (1, (12, 3), ['', '%', '%', '.'], [(15, 6), (15, 10), (15, 11)], [False, True, True, False], 68, False, [False, False, False, True], 474, 'East', (13, 3))
Element 17: (1, (13, 3), ['', '.', '.', '%'], [(15, 5), (15, 9), (15, 10)], [False, False, False, True], 66, False, [False, True, True, False], 493, 'North', (13, 4))
Element 18: (1, (13, 4), ['%', '', '.', '%'], [(15, 4), (16, 9), (15, 9)], [True, False, False, True], 64, False, [False, False, True, False], 512, 'North', (13, 5))
Element 19: (1, (13, 5), ['%', '', '.', '%'], [(16, 4), (16, 8), (16, 9)], [True, False, False, True], 62, False, [False, False, True, False], 521, 'North', (13, 6))
Element 20: (1, (13, 6), ['%', '', '.', '%'], [(16, 5), (16, 7), (16, 8)], [True, False, False, True], 60, False, [False, False, True, False], 530, 'North', (13, 7))
Element 21: (1, (13, 7), ['%', '', '.', '%'], [(16, 6), (16, 8), (16, 7)], [True, False, False, True], 58, False, [False, False, True, False], 539, 'North', (13, 8))
Element 22: (1, (13, 8), ['%', '', '', '%'], [(16, 5), (16, 9), (17, 7)], [True, False, False, True], 56, False, [False, False, False, False], 548, 'North', (13, 9))
Element 23: (1, (13, 9), ['.', '', '', ''], [(16, 4), (15, 9), (16, 7)], [False, False, False, False], 54, False, [True, False, False, False], 547, 'West', (12, 9))
Element 24: (1, (12, 9), ['%', '%', '%', ''], [(16, 3), (15, 10), (15, 7)], [True, True, True, False], 52, False, [False, False, False, False], 556, 'East', (13, 9))
Element 25: (1, (13, 9), ['', '', '', ''], [(15, 3), (15, 11), (15, 6)], [False, False, False, False], 50, False, [False, False, False, False], 555, 'East', (14, 9))
Element 26: (1, (14, 9), ['', '%', '%', ''], [(15, 2), (16, 11), (16, 6)], [False, True, True, False], 48, False, [False, False, False, False], 564, 'East', (15, 9))
Element 27: (1, (15, 9), ['', '%', '', ''], [(15, 1), (17, 11), (16, 5)], [False, True, False, False], 46, False, [False, False, False, False], 573, 'East', (16, 9))
Element 28: (1, (16, 9), ['', '', '%', '%'], [(16, 1), (18, 11), (16, 4)], [False, False, True, True], 44, False, [False, False, False, False], 572, 'South', (16, 8))
Element 29: (1, (16, 8), ['%', '', '', '%'], [(17, 1), (18, 10), (16, 3)], [True, False, False, True], 42, False, [False, False, False, False], 571, 'South', (16, 7))
Element 30: (1, (16, 7), ['', '', '', ''], [(18, 1), (18, 9), (15, 3)], [False, False, False, False], 40, False, [False, False, False, False], 570, 'East', (17, 7))
Element 31: (1, (17, 7), ['', '%', '%', ''], [(18, 2), (18, 8), (15, 4)], [False, True, True, False], 38, False, [False, False, False, False], 569, 'East', (18, 7))
Element 32: (1, (18, 7), ['', '', '', '%'], [(18, 3), (18, 9), (15, 5)], [False, False, False, True], 36, False, [False, False, False, False], 568, 'North', (18, 8))
Element 33: (1, (18, 8), ['%', '', '', '%'], [(18, 4), (18, 8), (15, 4)], [True, False, False, True], 34, False, [False, False, False, False], 567, 'North', (18, 9))
Element 34: (1, (18, 9), ['%', '', '', '%'], [(18, 5), (18, 7), (15, 3)], [True, False, False, True], 32, False, [False, False, False, False], 566, 'North', (18, 10))
Element 35: (1, (18, 10), ['%', '', '', '%'], [(18, 6), (18, 8), (15, 2)], [True, False, False, True], 30, False, [False, False, False, False], 565, 'North', (18, 11))
