Element 39: (0, (16, 3), ['G', '%', '', '%'], [(15, 3), (10, 3), (16, 8)], [False, True, False, True], 22, False, [False, False, False, False], 702, 'North', (16, 4))
Element 40: (0, (16, 4), ['', 'G', '', '%'], [(16, 3), (9, 3), (16, 7)], [False, False, False, True], 20, False, [False, False, False, False], 701, 'West', (15, 4))
Element 41: (0, (15, 4), ['%', '', '', 'G'], [(16, 4), (8, 3), (15, 7)], [True, False, False, False], 18, False, [False, False, False, False], 700, 'South', (15, 3))
Element 42: (0, (15, 3), ['%', '', '', ''], [(16, 5), (8, 4), (15, 6)], [True, False, False, False], 16, False, [False, False, False, False], 699, 'North', (15, 4))
Element 43: (0, (15, 4), ['%', '', 'G', ''], [(16, 6), (8, 5), (15, 5)], [True, False, False, False], 14, False, [False, False, False, False], 698, 'South', (15, 3))
Element 44: (0, (15, 3), ['%', '', 'G', ''], [(15, 6), (9, 5), (15, 4)], [True, False, False, False], 12, False, [False, False, False, False], 697, 'North', (15, 4))
Element 45: (0, (15, 4), ['%', '', 'G', ''], [(15, 7), (10, 5), (15, 5)], [True, False, False, False], 10, False, [False, False, False, False], 696, 'South', (15, 3))
Element 46: (0, (15, 3), ['%', '', 'G', ''], [(15, 6), (11, 5), (15, 4)], [True, False, False, False], 8, False, [False, False, False, False], 695, 'South', (15, 2))
Element 47: (0, (15, 2), ['%', '', '', '%'], [(15, 5), (10, 5), (15, 5)], [True, False, False, True], 6, False, [False, False, False, False], 694, 'North', (15, 3))
Element 48: (0, (15, 3), ['%', '', 'G', ''], [(15, 4), (9, 5), (15, 6)], [True, False, False, False], 4, False, [False, False, False, False], 693, 'South', (15, 2))
Element 49: (0, (15, 2), ['%', '', '', '%'], [(15, 5), (8, 5), (16, 6)], [True, False, False, True], 2, False, [False, False, False, False], 692, 'North', (15, 3))
Element 50: (0, (15, 3), ['%', '', '', ''], [(15, 6), (8, 4), (16, 5)], [True, False, False, False], 0, False, [False, False, False, False], 691, 'Stop', (15, 3))
Element 51: #0#
