Element 39: (2, (18, 10), ['%', '', '', '%'], [(17, 11), (14, 9), (9, 3)], [True, False, False, True], 22, False, [False, False, False, False], 791, 'North', (18, 11))
Element 40: (2, (18, 11), ['', '', '%', '%'], [(16, 11), (15, 9), (10, 3)], [False, False, True, True], 20, False, [False, False, False, False], 800, 'West', (17, 11))
Element 41: (2, (17, 11), ['', '%', '%', ''], [(15, 11), (16, 9), (11, 3)], [False, True, True, False], 18, False, [False, False, False, False], 809, 'West', (16, 11))
Element 42: (2, (16, 11), ['', '%', '%', ''], [(15, 10), (16, 8), (12, 3)], [False, True, True, False], 16, False, [False, False, False, False], 818, 'West', (15, 11))
Element 43: (2, (15, 11), ['%', '', '%', ''], [(15, 9), (16, 7), (11, 3)], [True, False, True, False], 14, False, [False, False, False, False], 817, 'South', (15, 10))
Element 44: (2, (15, 10), ['%', '', '', '%'], [(15, 10), (17, 7), (10, 3)], [True, False, False, True], 12, False, [False, False, False, False], 816, 'North', (15, 11))
Element 45: (2, (15, 11), ['%', '', '%', ''], [(15, 11), (18, 7), (9, 3)], [True, False, True, False], 10, False, [False, False, False, False], 815, 'East', (16, 11))
Element 46: (2, (16, 11), ['', '%', '%', ''], [(16, 11), (18, 8), (8, 3)], [False, True, True, False], 8, False, [False, False, False, False], 814, 'East', (17, 11))
Element 47: (2, (17, 11), ['G', '%', '%', ''], [(16, 11), (18, 9), (8, 4)], [False, True, True, False], 6, False, [False, False, False, False], 813, 'East', (18, 11))
Element 48: (2, (18, 11), ['', 'G', '%', '%'], [(15, 11), (18, 10), (8, 5)], [False, False, True, True], 4, False, [False, False, False, False], 812, 'West', (17, 11))
Element 49: (2, (17, 11), ['', '%', '%', 'G'], [(15, 10), (18, 11), (9, 5)], [False, True, True, False], 2, False, [False, False, False, False], 811, 'Stop', (17, 11))
Element 50: (2, (17, 11), ['', '%', '%', 'G'], [(15, 10), (18, 11), (10, 5)], [False, True, True, False], 0, False, [False, False, False, False], 810, 'Stop', (17, 11))
Element 51: #0#
