Element 1: (2, (9, 9), ['%', '', '.', '.'], [(18, 5), (4, 6), (18, 6)], [True, False, False, False], 98, False, [False, False, True, True], 19, 'East', (10, 9))
Element 2: (2, (10, 9), ['', '', '.', '%'], [(18, 6), (5, 6), (18, 7)], [False, False, False, True], 96, False, [False, False, True, False], 48, 'North', (10, 10))
Element 3: (2, (10, 10), ['.', '', '.', '%'], [(18, 7), (6, 6), (18, 8)], [False, False, False, True], 94, False, [True, False, True, False], 77, 'North', (10, 11))
Element 4: (2, (10, 11), ['.', '', '%', '.'], [(17, 7), (6, 7), (18, 9)], [False, False, True, False], 92, False, [True, False, False, True], 116, 'East', (11, 11))
Element 5: (2, (11, 11), ['', '%', '%', '.'], [(16, 7), (6, 8), (18, 10)], [False, True, True, False], 90, False, [False, False, False, True], 155, 'East', (12, 11))
Element 6: (2, (12, 11), ['', '%', '%', '.'], [(16, 8), (6, 9), (18, 11)], [False, True, True, False], 88, False, [False, False, False, True], 184, 'East', (13, 11))
Element 7: (2, (13, 11), ['', '.', '%', '%'], [(16, 9), (7, 9), (17, 11)], [False, False, True, True], 86, False, [False, True, False, False], 223, 'South', (13, 10))
Element 8: (2, (13, 10), ['%', '.', '', '%'], [(15, 9), (6, 9), (16, 11)], [True, False, False, True], 84, False, [False, True, False, False], 252, 'South', (13, 9))
Element 9: (2, (13, 9), ['.', '.', '', '.'], [(15, 10), (6, 10), (15, 11)], [False, False, False, False], 82, False, [True, True, False, True], 291, 'East', (14, 9))
Element 10: (2, (14, 9), ['', '%', '%', ''], [(15, 11), (6, 11), (16, 11)], [False, True, True, False], 80, False, [False, False, False, False], 310, 'East', (15, 9))
Element 11: (2, (15, 9), ['', '%', '', ''], [(16, 11), (7, 11), (17, 11)], [False, True, False, False], 78, False, [False, False, False, False], 319, 'East', (16, 9))
Element 12: (2, (16, 9), ['', '', '%', '%'], [(17, 11), (8, 11), (18, 11)], [False, False, True, True], 76, False, [False, False, False, False], 328, 'South', (16, 8))
Element 13: (2, (16, 8), ['%', '', '', '%'], [(18, 11), (9, 11), (18, 10)], [True, False, False, True], 74, False, [False, False, False, False], 337, 'South', (16, 7))
Element 14: (2, (16, 7), ['.', '.', '', ''], [(18, 10), (9, 10), (18, 9)], [False, False, False, False], 72, False, [True, True, False, False], 346, 'South', (16, 6))
Element 15: (2, (16, 6), ['.', '.', '', '%'], [(18, 9), (10, 10), (18, 8)], [False, False, False, True], 70, False, [True, True, False, False], 355, 'South', (16, 5))
Element 16: (2, (16, 5), ['.', '.', '', '%'], [(18, 8), (10, 11), (18, 7)], [False, False, False, True], 68, False, [True, True, False, False], 364, 'South', (16, 4))
Element 17: (2, (16, 4), ['.', '.', '', '%'], [(18, 9), (11, 11), (17, 7)], [False, False, False, True], 66, False, [True, True, False, False], 373, 'South', (16, 3))
