Element 42: (2, (10, 10), ['', '', '', '%'], [(18, 1), (16, 8), (15, 6)], [False, False, False, True], 16, False, [False, False, False, False], 748, 'West', (9, 10))
Element 43: (2, (9, 10), ['%', '', '', ''], [(18, 2), (16, 7), (15, 5)], [True, False, False, False], 14, False, [False, False, False, False], 747, 'North', (9, 11))
Element 44: (2, (9, 11), ['', '', '%', ''], [(18, 3), (17, 7), (15, 4)], [False, False, True, False], 12, False, [False, False, False, False], 746, 'East', (10, 11))
Element 45: (2, (10, 11), ['', '', '%', ''], [(18, 4), (18, 7), (15, 5)], [False, False, True, False], 10, False, [False, False, False, False], 745, 'West', (9, 11))
Element 46: (2, (9, 11), ['', '', '%', ''], [(18, 5), (18, 8), (15, 6)], [False, False, True, False], 8, False, [False, False, False, False], 744, 'West', (8, 11))
Element 47: (2, (8, 11), ['', '%', '%', ''], [(18, 6), (18, 9), (16, 6)], [False, True, True, False], 6, False, [False, False, False, False], 743, 'West', (7, 11))
Element 48: (2, (7, 11), ['', '%', '%', ''], [(18, 7), (18, 10), (16, 5)], [False, True, True, False], 4, False, [False, False, False, False], 742, 'West', (6, 11))
Element 49: (2, (6, 11), ['%', '', '%', ''], [(18, 8), (18, 11), (15, 5)], [True, False, True, False], 2, False, [False, False, False, False], 741, 'South', (6, 10))
Element 50: (2, (6, 10), ['%', '', '', '%'], [(18, 8), (18, 11), (16, 5)], [True, False, False, True], 0, False, [False, False, False, False], 740, 'Stop', (6, 10))
Element 51: #0#
