Element 1: (1, (12, 9), ['%', '%', '%', '.'], [(6, 7), (13, 6), (14, 9)], [True, True, True, False], 98, False, [False, False, False, True], 9, 'East', (13, 9))
Element 2: (1, (13, 9), ['', '.', '.', ''], [(6, 8), (13, 7), (15, 9)], [False, False, False, False], 96, False, [False, True, True, False], 48, 'North', (13, 10))
Element 3: (1, (13, 10), ['%', '', '.', '%'], [(6, 9), (13, 8), (16, 9)], [True, False, False, True], 94, False, [False, False, True, False], 87, 'North', (13, 11))
Element 4: (1, (13, 11), ['.', '', '%', '%'], [(7, 9), (13, 9), (16, 8)], [False, False, True, True], 92, False, [True, False, False, False], 116, 'West', (12, 11))
Element 5: (1, (12, 11), ['.', '%', '%', ''], [(6, 9), (14, 9), (16, 7)], [False, True, True, False], 90, False, [True, False, False, False], 135, 'West', (11, 11))
Element 6: (1, (11, 11), ['.', '%', '%', ''], [(6, 10), (15, 9), (17, 7)], [False, True, True, False], 88, False, [True, False, False, False], 164, 'West', (10, 11))
Element 7: (1, (10, 11), ['.', '.', '%', ''], [(6, 11), (15, 10), (18, 7)], [False, False, True, False], 86, False, [True, True, False, False], 203, 'South', (10, 10))
Element 8: (1, (10, 10), ['.', '.', '', '%'], [(7, 11), (15, 11), (18, 8)], [False, False, False, True], 84, False, [True, True, False, False], 242, 'South', (10, 9))
Element 9: (1, (10, 9), ['.', '', '', '%'], [(8, 11), (16, 11), (18, 9)], [False, False, False, True], 82, False, [True, False, False, False], 281, 'West', (9, 9))
Element 10: (1, (9, 9), ['%', '', '.', ''], [(9, 11), (17, 11), (18, 10)], [True, False, False, False], 80, False, [False, False, True, False], 320, 'North', (9, 10))
Element 11: (1, (9, 10), ['%', '', '', ''], [(10, 11), (18, 11), (18, 9)], [True, False, False, False], 78, False, [False, False, False, False], 329, 'North', (9, 11))
Element 12: (1, (9, 11), ['', '', '%', ''], [(11, 11), (18, 10), (18, 8)], [False, False, True, False], 76, False, [False, False, False, False], 328, 'West', (8, 11))
Element 13: (1, (8, 11), ['', '%', '%', ''], [(12, 11), (18, 9), (18, 7)], [False, True, True, False], 74, False, [False, False, False, False], 327, 'West', (7, 11))
Element 14: (1, (7, 11), ['', '%', '%', ''], [(13, 11), (18, 8), (18, 6)], [False, True, True, False], 72, False, [False, False, False, False], 336, 'West', (6, 11))
Element 15: (1, (6, 11), ['%', '', '%', ''], [(13, 10), (18, 7), (18, 5)], [True, False, True, False], 70, False, [False, False, False, False], 345, 'South', (6, 10))
Element 16: (1, (6, 10), ['%', '', '', '%'], [(13, 9), (18, 6), (18, 4)], [True, False, False, True], 68, False, [False, False, False, False], 354, 'South', (6, 9))
Element 17: (1, (6, 9), ['.', '', '', ''], [(14, 9), (18, 5), (18, 3)], [False, False, False, False], 66, False, [True, False, False, False], 363, 'West', (5, 9))
Element 18: (1, (5, 9), ['.', '%', '%', ''], [(15, 9), (18, 4), (18, 2)], [False, True, True, False], 64, False, [True, False, False, False], 382, 'West', (4, 9))
Element 19: (1, (4, 9), ['.', '%', '.', ''], [(16, 9), (18, 3), (18, 1)], [False, True, False, False], 62, False, [True, False, True, False], 391, 'North', (4, 10))
Element 20: (1, (4, 10), ['%', '', '.', '%'], [(16, 8), (18, 2), (17, 1)], [True, False, False, True], 60, False, [False, False, True, False], 410, 'North', (4, 11))
Element 21: (1, (4, 11), ['.', '', '%', '%'], [(16, 7), (18, 1), (16, 1)], [False, False, True, True], 58, False, [True, False, False, False], 429, 'West', (3, 11))
Element 22: (1, (3, 11), ['.', '%', '%', ''], [(16, 6), (17, 1), (15, 1)], [False, True, True, False], 56, False, [True, False, False, False], 458, 'West', (2, 11))
Element 23: (1, (2, 11), ['', '%', '%', ''], [(16, 5), (16, 1), (15, 2)], [False, True, True, False], 54, False, [False, False, False, False], 487, 'West', (1, 11))
Element 24: (1, (1, 11), ['%', '.', '%', ''], [(16, 4), (15, 1), (15, 3)], [True, False, True, False], 52, False, [False, True, False, False], 506, 'South', (1, 10))
Element 25: (1, (1, 10), ['%', '.', '', '%'], [(15, 4), (15, 2), (16, 3)], [True, False, False, True], 50, False, [False, True, False, False], 535, 'South', (1, 9))
Element 26: (1, (1, 9), ['%', '.', '', '%'], [(15, 5), (15, 3), (16, 4)], [True, False, False, True], 48, False, [False, True, False, False], 554, 'South', (1, 8))
Element 27: (1, (1, 8), ['%', '.', '', '%'], [(15, 6), (16, 3), (16, 5)], [True, False, False, True], 46, False, [False, True, False, False], 573, 'South', (1, 7))
Element 28: (1, (1, 7), ['%', '.', '', '.'], [(15, 7), (16, 4), (16, 6)], [True, False, False, False], 44, False, [False, True, False, True], 592, 'East', (2, 7))
Element 29: (1, (2, 7), ['', '%', '%', '.'], [(16, 7), (16, 5), (15, 6)], [False, True, True, False], 42, False, [False, False, False, True], 601, 'East', (3, 7))
Element 30: (1, (3, 7), ['', '.', '.', '.'], [(16, 6), (16, 6), (15, 7)], [False, False, False, False], 40, False, [False, True, True, True], 610, 'East', (4, 7))
Element 31: (1, (4, 7), ['', '.', '%', ''], [(16, 5), (16, 7), (15, 6)], [False, False, True, False], 38, False, [False, True, False, False], 619, 'South', (4, 6))
Element 32: (1, (4, 6), ['.', '.', '', '.'], [(16, 4), (17, 7), (15, 5)], [False, False, False, False], 36, False, [True, True, False, True], 628, 'East', (5, 6))
Element 33: (1, (5, 6), ['', '.', '', '.'], [(16, 5), (16, 7), (15, 4)], [False, False, False, False], 34, False, [False, True, False, True], 637, 'East', (6, 6))
Element 34: (1, (6, 6), ['', '.', '', '%'], [(16, 4), (16, 8), (15, 5)], [False, False, False, True], 32, False, [False, True, False, False], 646, 'South', (6, 5))
Element 35: (1, (6, 5), ['.', '.', '', '%'], [(16, 5), (16, 9), (15, 6)], [False, False, False, True], 30, False, [True, True, False, False], 655, 'South', (6, 4))
Element 36: (1, (6, 4), ['.', '.', '', '%'], [(15, 5), (16, 8), (16, 6)], [False, False, False, True], 28, False, [True, True, False, False], 664, 'South', (6, 3))
Element 37: (1, (6, 3), ['.', '.', '', '.'], [(15, 6), (16, 7), (16, 5)], [False, False, False, False], 26, False, [True, True, False, True], 673, 'East', (7, 3))
Element 38: (1, (7, 3), ['', '%', '%', '.'], [(16, 6), (15, 7), (15, 5)], [False, True, True, False], 24, False, [False, False, False, True], 682, 'East', (8, 3))
Element 39: (1, (8, 3), ['', '%', '', '.'], [(16, 7), (15, 6), (16, 5)], [False, True, False, False], 22, False, [False, False, False, True], 691, 'East', (9, 3))
Element 40: (1, (9, 3), ['', '%', '%', '.'], [(15, 7), (15, 5), (16, 4)], [False, True, True, False], 20, False, [False, False, False, True], 700, 'East', (10, 3))
Element 41: (1, (10, 3), ['', '%', '%', '.'], [(16, 7), (15, 4), (16, 3)], [False, True, True, False], 18, False, [False, False, False, True], 709, 'East', (11, 3))
Element 42: (1, (11, 3), ['', '%', '%', '.'], [(17, 7), (15, 5), (16, 4)], [False, True, True, False], 16, False, [False, False, False, True], 718, 'East', (12, 3))
Element 43: (1, (12, 3), ['', '%', '%', '.'], [(18, 7), (15, 6), (16, 3)], [False, True, True, False], 14, False, [False, False, False, True], 727, 'East', (13, 3))
