Element 39: (1, (18, 11), ['', '', '%', '%'], [(15, 4), (15, 11), (16, 3)], [False, False, True, True], 22, False, [False, False, False, False], 601, 'West', (17, 11))
Element 40: (1, (17, 11), ['G', '%', '%', ''], [(15, 5), (16, 11), (15, 3)], [False, True, True, False], 20, False, [False, False, False, False], 600, 'East', (18, 11))
Element 41: (1, (18, 11), ['G', '', '%', '%'], [(15, 6), (17, 11), (15, 4)], [False, False, True, True], 18, False, [False, False, False, False], 599, 'South', (18, 10))
Element 42: (1, (18, 10), ['%', '', 'G', '%'], [(15, 7), (18, 11), (15, 5)], [True, False, False, True], 16, False, [False, False, False, False], 598, 'South', (18, 9))
Element 43: (1, (18, 9), ['%', '', 'G', '%'], [(15, 6), (18, 10), (15, 6)], [True, False, False, True], 14, False, [False, False, False, False], 597, 'South', (18, 8))
Element 44: (1, (18, 8), ['%', '', 'G', '%'], [(15, 5), (18, 9), (15, 7)], [True, False, False, True], 12, False, [False, False, False, False], 596, 'South', (18, 7))
Element 45: (1, (18, 7), ['', '', 'G', '%'], [(15, 4), (18, 8), (15, 6)], [False, False, False, True], 10, False, [False, False, False, False], 595, 'South', (18, 6))
Element 46: (1, (18, 6), ['%', '', 'G', '%'], [(15, 5), (18, 7), (15, 5)], [True, False, False, True], 8, False, [False, False, False, False], 594, 'South', (18, 5))
Element 47: (1, (18, 5), ['%', '', '', '%'], [(15, 6), (17, 7), (15, 4)], [True, False, False, True], 6, False, [False, False, False, False], 593, 'South', (18, 4))
Element 48: (1, (18, 4), ['%', '', '', '%'], [(15, 7), (18, 7), (15, 3)], [True, False, False, True], 4, False, [False, False, False, False], 592, 'South', (18, 3))
Element 49: (1, (18, 3), ['%', '', '', '%'], [(16, 7), (18, 6), (15, 2)], [True, False, False, True], 2, False, [False, False, False, False], 591, 'South', (18, 2))
Element 50: (1, (18, 2), ['%', '', '', '%'], [(16, 7), (18, 5), (15, 1)], [True, False, False, True], 0, False, [False, False, False, False], 590, 'Stop', (18, 2))
Element 51: #0#
