Element 1: (2, (6, 1), ['%', '%', '.', '.'], [(6, 5), (1, 6), (12, 9)], [True, True, False, False], 98, False, [False, False, True, True], 19, 'East', (7, 1))
Element 2: (2, (7, 1), ['', '%', '%', '.'], [(6, 6), (1, 7), (13, 9)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (8, 1))
Element 3: (2, (8, 1), ['', '%', '%', '.'], [(6, 7), (2, 7), (14, 9)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (9, 1))
Element 4: (2, (9, 1), ['', '%', '%', '.'], [(6, 8), (3, 7), (15, 9)], [False, True, True, False], 92, False, [False, False, False, True], 136, 'East', (10, 1))
Element 5: (2, (10, 1), ['', '%', '%', '.'], [(6, 9), (4, 7), (16, 9)], [False, True, True, False], 90, False, [False, False, False, True], 175, 'East', (11, 1))
Element 6: (2, (11, 1), ['', '%', '%', '.'], [(7, 9), (5, 7), (16, 8)], [False, True, True, False], 88, False, [False, False, False, True], 214, 'East', (12, 1))
Element 7: (2, (12, 1), ['', '%', '%', '.'], [(6, 9), (5, 6), (16, 7)], [False, True, True, False], 86, False, [False, False, False, True], 243, 'East', (13, 1))
Element 8: (2, (13, 1), ['', '%', '.', '%'], [(6, 10), (4, 6), (17, 7)], [False, True, False, True], 84, False, [False, False, True, False], 282, 'North', (13, 2))
Element 9: (2, (13, 2), ['%', '', '.', '%'], [(6, 11), (4, 5), (18, 7)], [True, False, False, True], 82, False, [False, False, True, False], 321, 'North', (13, 3))
Element 10: (2, (13, 3), ['.', '', '.', '%'], [(7, 11), (4, 4), (18, 8)], [False, False, False, True], 80, False, [True, False, True, False], 360, 'North', (13, 4))
Element 11: (2, (13, 4), ['%', '', '.', '%'], [(8, 11), (5, 4), (18, 9)], [True, False, False, True], 78, False, [False, False, True, False], 399, 'North', (13, 5))
Element 12: (2, (13, 5), ['%', '', '.', '%'], [(9, 11), (6, 4), (18, 10)], [True, False, False, True], 76, False, [False, False, True, False], 438, 'North', (13, 6))
Element 13: (2, (13, 6), ['%', '', '.', '%'], [(10, 11), (6, 3), (18, 11)], [True, False, False, True], 74, False, [False, False, True, False], 467, 'North', (13, 7))
Element 14: (2, (13, 7), ['%', '', '.', '%'], [(11, 11), (7, 3), (17, 11)], [True, False, False, True], 72, False, [False, False, True, False], 506, 'North', (13, 8))
Element 15: (2, (13, 8), ['%', '', '', '%'], [(12, 11), (8, 3), (16, 11)], [True, False, False, True], 70, False, [False, False, False, False], 545, 'North', (13, 9))
Element 16: (2, (13, 9), ['', '', '.', ''], [(13, 11), (9, 3), (15, 11)], [False, False, False, False], 68, False, [False, False, True, False], 574, 'North', (13, 10))
Element 17: (2, (13, 10), ['%', '', '', '%'], [(12, 11), (10, 3), (15, 10)], [True, False, False, True], 66, False, [False, False, False, False], 603, 'North', (13, 11))
Element 18: (2, (13, 11), ['', '', '%', '%'], [(11, 11), (11, 3), (15, 11)], [False, False, True, True], 64, False, [False, False, False, False], 612, 'West', (12, 11))
Element 19: (2, (12, 11), ['', '%', '%', ''], [(10, 11), (12, 3), (16, 11)], [False, True, True, False], 62, False, [False, False, False, False], 621, 'West', (11, 11))
Element 20: (2, (11, 11), ['', '%', '%', ''], [(10, 10), (13, 3), (17, 11)], [False, True, True, False], 60, False, [False, False, False, False], 630, 'West', (10, 11))
Element 21: (2, (10, 11), ['', '', '%', ''], [(10, 9), (13, 4), (18, 11)], [False, False, True, False], 58, False, [False, False, False, False], 639, 'South', (10, 10))
Element 22: (2, (10, 10), ['.', '', '', '%'], [(9, 9), (13, 5), (18, 10)], [False, False, False, True], 56, False, [True, False, False, False], 648, 'West', (9, 10))
Element 23: (2, (9, 10), ['%', '', '', ''], [(9, 8), (13, 6), (18, 9)], [True, False, False, False], 54, False, [False, False, False, False], 657, 'North', (9, 11))
Element 24: (2, (9, 11), ['', '', '%', ''], [(9, 7), (13, 7), (18, 8)], [False, False, True, False], 52, False, [False, False, False, False], 666, 'West', (8, 11))
Element 25: (2, (8, 11), ['', '%', '%', ''], [(10, 7), (13, 8), (18, 7)], [False, True, True, False], 50, False, [False, False, False, False], 675, 'West', (7, 11))
Element 26: (2, (7, 11), ['', '%', '%', ''], [(11, 7), (13, 9), (18, 6)], [False, True, True, False], 48, False, [False, False, False, False], 694, 'West', (6, 11))
Element 27: (2, (6, 11), ['%', '', '%', ''], [(10, 7), (14, 9), (18, 5)], [True, False, True, False], 46, False, [False, False, False, False], 703, 'South', (6, 10))
Element 28: (2, (6, 10), ['%', '', '', '%'], [(10, 8), (15, 9), (18, 4)], [True, False, False, True], 44, False, [False, False, False, False], 712, 'South', (6, 9))
Element 29: (2, (6, 9), ['.', '', '', ''], [(10, 7), (16, 9), (18, 3)], [False, False, False, False], 42, False, [True, False, False, False], 721, 'West', (5, 9))
Element 30: (2, (5, 9), ['.', '%', '%', ''], [(9, 7), (16, 8), (18, 2)], [False, True, True, False], 40, False, [True, False, False, False], 740, 'West', (4, 9))
Element 31: (2, (4, 9), ['.', '%', '.', ''], [(9, 8), (16, 7), (18, 1)], [False, True, False, False], 38, False, [True, False, True, False], 749, 'North', (4, 10))
