Element 1: (1, (3, 9), ['%', '.', '%', '.'], [(13, 1), (15, 9), (18, 2)], [True, False, True, False], 98, False, [False, True, False, True], 9, 'East', (4, 9))
Element 2: (1, (4, 9), ['', '%', '.', '.'], [(13, 2), (16, 9), (18, 3)], [False, True, False, False], 96, False, [False, False, True, True], 48, 'East', (5, 9))
Element 3: (1, (5, 9), ['', '%', '%', '.'], [(13, 3), (16, 8), (18, 4)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (6, 9))
Element 4: (1, (6, 9), ['', '.', '.', '.'], [(13, 4), (16, 7), (18, 5)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (7, 9))
Element 5: (1, (7, 9), ['', '%', '%', '%'], [(13, 5), (17, 7), (18, 6)], [False, True, True, True], 90, False, [False, False, False, False], 165, 'West', (6, 9))
Element 6: (1, (6, 9), ['', '.', '.', ''], [(13, 6), (18, 7), (18, 5)], [False, False, False, False], 88, False, [False, True, True, False], 184, 'North', (6, 10))
Element 7: (1, (6, 10), ['%', '', '.', '%'], [(13, 7), (18, 8), (18, 4)], [True, False, False, True], 86, False, [False, False, True, False], 213, 'North', (6, 11))
Element 8: (1, (6, 11), ['%', '', '%', '.'], [(13, 8), (18, 9), (18, 3)], [True, False, True, False], 84, False, [False, False, False, True], 242, 'East', (7, 11))
Element 9: (1, (7, 11), ['', '%', '%', '.'], [(13, 9), (18, 10), (18, 2)], [False, True, True, False], 82, False, [False, False, False, True], 271, 'East', (8, 11))
Element 10: (1, (8, 11), ['', '%', '%', '.'], [(14, 9), (18, 11), (18, 1)], [False, True, True, False], 80, False, [False, False, False, True], 290, 'East', (9, 11))
Element 11: (1, (9, 11), ['', '.', '%', '.'], [(15, 9), (17, 11), (17, 1)], [False, False, True, False], 78, False, [False, True, False, True], 319, 'East', (10, 11))
Element 12: (1, (10, 11), ['', '.', '%', '.'], [(15, 10), (16, 11), (16, 1)], [False, False, True, False], 76, False, [False, True, False, True], 358, 'East', (11, 11))
Element 13: (1, (11, 11), ['', '%', '%', '.'], [(15, 9), (15, 11), (15, 1)], [False, True, True, False], 74, False, [False, False, False, True], 387, 'East', (12, 11))
Element 14: (1, (12, 11), ['', '%', '%', '.'], [(16, 9), (15, 10), (15, 2)], [False, True, True, False], 72, False, [False, False, False, True], 406, 'East', (13, 11))
Element 15: (1, (13, 11), ['', '.', '%', '%'], [(16, 8), (15, 11), (15, 3)], [False, False, True, True], 70, False, [False, True, False, False], 425, 'South', (13, 10))
Element 16: (1, (13, 10), ['%', '', '', '%'], [(16, 7), (16, 11), (16, 3)], [True, False, False, True], 68, False, [False, False, False, False], 444, 'South', (13, 9))
Element 17: (1, (13, 9), ['.', '', '', ''], [(16, 6), (17, 11), (16, 4)], [False, False, False, False], 66, False, [True, False, False, False], 463, 'West', (12, 9))
