Element 1: (1, (9, 9), ['%', '', '.', '.'], [(7, 1), (15, 2), (16, 5)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'East', (10, 9))
Element 2: (1, (10, 9), ['', '', '.', '%'], [(8, 1), (15, 3), (16, 6)], [False, False, False, True], 96, False, [False, False, True, False], 48, 'North', (10, 10))
Element 3: (1, (10, 10), ['.', '', '.', '%'], [(9, 1), (16, 3), (16, 7)], [False, False, False, True], 94, False, [True, False, True, False], 87, 'North', (10, 11))
Element 4: (1, (10, 11), ['.', '', '%', '.'], [(10, 1), (16, 4), (17, 7)], [False, False, True, False], 92, False, [True, False, False, True], 126, 'East', (11, 11))
Element 5: (1, (11, 11), ['', '%', '%', '.'], [(11, 1), (15, 4), (18, 7)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (12, 11))
Element 6: (1, (12, 11), ['', '%', '%', '.'], [(12, 1), (15, 5), (18, 8)], [False, True, True, False], 88, False, [False, False, False, True], 204, 'East', (13, 11))
Element 7: (1, (13, 11), ['', '.', '%', '%'], [(13, 1), (15, 6), (18, 9)], [False, False, True, True], 86, False, [False, True, False, False], 243, 'South', (13, 10))
Element 8: (1, (13, 10), ['%', '.', '', '%'], [(13, 2), (15, 7), (18, 10)], [True, False, False, True], 84, False, [False, True, False, False], 282, 'South', (13, 9))
Element 9: (1, (13, 9), ['.', '.', '', '.'], [(13, 3), (16, 7), (18, 11)], [False, False, False, False], 82, False, [True, True, False, True], 301, 'East', (14, 9))
Element 10: (1, (14, 9), ['', '%', '%', '.'], [(13, 4), (16, 8), (17, 11)], [False, True, True, False], 80, False, [False, False, False, True], 340, 'East', (15, 9))
Element 11: (1, (15, 9), ['', '%', '.', 'G'], [(13, 5), (16, 9), (16, 11)], [False, True, False, False], 78, False, [False, False, True, False], 379, 'North', (15, 10))
Element 12: (1, (15, 10), ['%', 'G', 'G', '%'], [(13, 6), (15, 9), (15, 11)], [True, False, False, True], 76, False, [False, False, False, False], 408, 'Stop', (15, 10))
Element 13: (1, (15, 10), ['%', '', '', '%'], [(13, 7), (14, 9), (16, 11)], [True, False, False, True], 74, False, [False, False, False, False], 417, 'South', (15, 9))
Element 14: (1, (15, 9), ['', '%', '', ''], [(13, 8), (13, 9), (17, 11)], [False, True, False, False], 72, False, [False, False, False, False], 426, 'West', (14, 9))
Element 15: (1, (14, 9), ['G', '%', '%', ''], [(13, 9), (12, 9), (18, 11)], [False, True, True, False], 70, False, [False, False, False, False], 435, 'Stop', (14, 9))
Element 16: (1, (14, 9), ['', '%', '%', ''], [(13, 10), (12, 9), (18, 10)], [False, True, True, False], 68, False, [False, False, False, False], 434, 'West', (13, 9))
Element 17: (1, (13, 9), ['G', '', '', ''], [(13, 11), (12, 9), (18, 9)], [False, False, False, False], 66, False, [False, False, False, False], 433, 'South', (13, 8))
Element 18: (1, (13, 8), ['%', '', 'G', '%'], [(12, 11), (13, 9), (18, 8)], [True, False, False, True], 64, False, [False, False, False, False], 432, 'South', (13, 7))
Element 19: (1, (13, 7), ['%', '', '', '%'], [(11, 11), (14, 9), (18, 7)], [True, False, False, True], 62, False, [False, False, False, False], 431, 'South', (13, 6))
Element 20: (1, (13, 6), ['%', '', '', '%'], [(10, 11), (15, 9), (18, 6)], [True, False, False, True], 60, False, [False, False, False, False], 440, 'South', (13, 5))
Element 21: (1, (13, 5), ['%', '', '', '%'], [(9, 11), (16, 9), (18, 5)], [True, False, False, True], 58, False, [False, False, False, False], 459, 'South', (13, 4))
