Element 39: (1, (15, 11), ['%', '', '%', ''], [(15, 2), (16, 7), (15, 4)], [True, False, True, False], 22, False, [False, False, False, False], 561, 'East', (16, 11))
Element 40: (1, (16, 11), ['', '%', '%', ''], [(15, 3), (17, 7), (15, 3)], [False, True, True, False], 20, False, [False, False, False, False], 560, 'East', (17, 11))
Element 41: (1, (17, 11), ['', '%', '%', ''], [(15, 4), (16, 7), (15, 2)], [False, True, True, False], 18, False, [False, False, False, False], 559, 'East', (18, 11))
Element 42: (1, (18, 11), ['', '', '%', '%'], [(15, 5), (16, 8), (15, 1)], [False, False, True, True], 16, False, [False, False, False, False], 558, 'South', (18, 10))
Element 43: (1, (18, 10), ['%', '', '', '%'], [(16, 5), (16, 9), (16, 1)], [True, False, False, True], 14, False, [False, False, False, False], 557, 'South', (18, 9))
Element 44: (1, (18, 9), ['%', '', '', '%'], [(15, 5), (16, 8), (17, 1)], [True, False, False, True], 12, False, [False, False, False, False], 556, 'South', (18, 8))
Element 45: (1, (18, 8), ['%', '', '', '%'], [(15, 6), (16, 7), (18, 1)], [True, False, False, True], 10, False, [False, False, False, False], 555, 'South', (18, 7))
Element 46: (1, (18, 7), ['', '', '', '%'], [(16, 6), (15, 7), (18, 2)], [False, False, False, True], 8, False, [False, False, False, False], 554, 'South', (18, 6))
Element 47: (1, (18, 6), ['%', '', '', '%'], [(16, 5), (15, 6), (18, 3)], [True, False, False, True], 6, False, [False, False, False, False], 553, 'South', (18, 5))
Element 48: (1, (18, 5), ['%', 'G', '', '%'], [(16, 6), (15, 5), (18, 4)], [True, False, False, True], 4, False, [False, False, False, False], 552, 'North', (18, 6))
Element 49: (1, (18, 6), ['%', 'G', '', '%'], [(16, 7), (15, 4), (18, 5)], [True, False, False, True], 2, False, [False, False, False, False], 551, 'North', (18, 7))
Element 50: (1, (18, 7), ['', 'G', '', '%'], [(16, 7), (15, 5), (18, 6)], [False, False, False, True], 0, False, [False, False, False, False], 550, 'Stop', (18, 7))
Element 51: #0#
