Element 39: (3, (6, 4), ['.', '', '', '%'], [(15, 2), (16, 6), (9, 5)], [False, False, False, True], 22, False, [True, False, False, False], 701, 'West', (5, 4))
Element 40: (3, (5, 4), ['.', '.', '.', ''], [(15, 1), (16, 7), (10, 5)], [False, False, False, False], 20, False, [True, True, True, False], 710, 'North', (5, 5))
Element 41: (3, (5, 5), ['.', '', '.', ''], [(15, 2), (17, 7), (11, 5)], [False, False, False, False], 18, False, [True, False, True, False], 719, 'North', (5, 6))
Element 42: (3, (5, 6), ['.', '', '.', ''], [(15, 3), (16, 7), (10, 5)], [False, False, False, False], 16, False, [True, False, True, False], 728, 'North', (5, 7))
Element 43: (3, (5, 7), ['.', '', '%', ''], [(15, 4), (16, 8), (9, 5)], [False, False, True, False], 14, False, [True, False, False, False], 737, 'West', (4, 7))
Element 44: (3, (4, 7), ['.', '.', '%', ''], [(15, 5), (16, 9), (8, 5)], [False, False, True, False], 12, False, [True, True, False, False], 746, 'South', (4, 6))
Element 45: (3, (4, 6), ['.', '.', '', ''], [(15, 6), (16, 8), (8, 4)], [False, False, False, False], 10, False, [True, True, False, False], 755, 'South', (4, 5))
Element 46: (3, (4, 5), ['.', '.', '', ''], [(16, 6), (16, 7), (8, 3)], [False, False, False, False], 8, False, [True, True, False, False], 764, 'South', (4, 4))
Element 47: (3, (4, 4), ['.', '.', '', ''], [(15, 6), (15, 7), (7, 3)], [False, False, False, False], 6, False, [True, True, False, False], 773, 'South', (4, 3))
Element 48: (3, (4, 3), ['.', '.', '', '.'], [(15, 5), (15, 6), (6, 3)], [False, False, False, False], 4, False, [True, True, False, True], 782, 'East', (5, 3))
Element 49: (3, (5, 3), ['', '%', '', ''], [(15, 6), (15, 5), (6, 4)], [False, True, False, False], 2, False, [False, False, False, False], 791, 'East', (6, 3))
Element 50: (3, (6, 3), ['', '', 'G', ''], [(15, 6), (15, 5), (6, 4)], [False, False, False, False], 0, False, [False, False, False, False], 790, 'Stop', (6, 3))
Element 51: #0#
