Element 39: (0, (15, 7), ['%', '', '%', 'G'], [(16, 7), (18, 11), (15, 3)], [True, False, True, False], 22, False, [False, False, False, False], 752, 'South', (15, 6))
Element 40: (0, (15, 6), ['%', '', '', ''], [(17, 7), (18, 10), (16, 3)], [True, False, False, False], 20, False, [False, False, False, False], 751, 'South', (15, 5))
Element 41: (0, (15, 5), ['%', '', '', ''], [(18, 7), (18, 9), (16, 4)], [True, False, False, False], 18, False, [False, False, False, False], 750, 'South', (15, 4))
Element 42: (0, (15, 4), ['%', '', '', ''], [(18, 8), (18, 10), (16, 3)], [True, False, False, False], 16, False, [False, False, False, False], 749, 'North', (15, 5))
Element 43: (0, (15, 5), ['%', '', '', ''], [(18, 9), (18, 9), (15, 3)], [True, False, False, False], 14, False, [False, False, False, False], 748, 'North', (15, 6))
Element 44: (0, (15, 6), ['%', '', '', ''], [(18, 10), (18, 8), (15, 4)], [True, False, False, False], 12, False, [False, False, False, False], 747, 'North', (15, 7))
Element 45: (0, (15, 7), ['%', '', '%', ''], [(18, 11), (18, 7), (15, 5)], [True, False, True, False], 10, False, [False, False, False, False], 746, 'East', (16, 7))
Element 46: (0, (16, 7), ['', '', '', 'G'], [(17, 11), (17, 7), (16, 5)], [False, False, False, False], 8, False, [False, False, False, False], 745, 'West', (15, 7))
Element 47: (0, (15, 7), ['%', '', '%', 'G'], [(16, 11), (16, 7), (15, 5)], [True, False, True, False], 6, False, [False, False, False, False], 744, 'South', (15, 6))
Element 48: (0, (15, 6), ['%', '', 'G', ''], [(15, 11), (15, 7), (15, 4)], [True, False, False, False], 4, False, [False, False, False, False], 743, 'East', (16, 6))
Element 49: (0, (16, 6), ['G', '', '', '%'], [(15, 10), (15, 6), (15, 3)], [False, False, False, True], 2, False, [False, False, False, False], 742, 'South', (16, 5))
Element 50: (0, (16, 5), ['', '', 'G', '%'], [(15, 11), (16, 6), (15, 4)], [False, False, False, True], 0, False, [False, False, False, False], 741, 'Stop', (16, 5))
Element 51: #0#
