Element 1: (1, (6, 6), ['.', '.', '.', '%'], [(18, 7), (10, 10), (13, 9)], [False, False, False, True], 98, False, [True, True, True, False], 9, 'North', (6, 7))
Element 2: (1, (6, 7), ['.', '', '.', ''], [(18, 8), (10, 11), (14, 9)], [False, False, False, False], 96, False, [True, False, True, False], 48, 'North', (6, 8))
Element 3: (1, (6, 8), ['%', '', '.', '%'], [(18, 9), (11, 11), (15, 9)], [True, False, False, True], 94, False, [False, False, True, False], 87, 'North', (6, 9))
Element 4: (1, (6, 9), ['.', '', '.', '.'], [(18, 10), (12, 11), (16, 9)], [False, False, False, False], 92, False, [True, False, True, True], 126, 'East', (7, 9))
Element 5: (1, (7, 9), ['', '%', '%', '%'], [(18, 11), (13, 11), (16, 8)], [False, True, True, True], 90, False, [False, False, False, False], 155, 'West', (6, 9))
Element 6: (1, (6, 9), ['.', '', '.', ''], [(17, 11), (13, 10), (16, 7)], [False, False, False, False], 88, False, [True, False, True, False], 184, 'North', (6, 10))
Element 7: (1, (6, 10), ['%', '', '.', '%'], [(16, 11), (13, 9), (16, 6)], [True, False, False, True], 86, False, [False, False, True, False], 213, 'North', (6, 11))
Element 8: (1, (6, 11), ['%', '', '%', '.'], [(15, 11), (13, 8), (16, 5)], [True, False, True, False], 84, False, [False, False, False, True], 252, 'East', (7, 11))
Element 9: (1, (7, 11), ['', '%', '%', '.'], [(15, 10), (13, 7), (16, 4)], [False, True, True, False], 82, False, [False, False, False, True], 291, 'East', (8, 11))
Element 10: (1, (8, 11), ['', '%', '%', '.'], [(15, 9), (13, 6), (16, 3)], [False, True, True, False], 80, False, [False, False, False, True], 320, 'East', (9, 11))
Element 11: (1, (9, 11), ['', '.', '%', ''], [(16, 9), (13, 5), (15, 3)], [False, False, True, False], 78, False, [False, True, False, False], 349, 'South', (9, 10))
Element 12: (1, (9, 10), ['%', '.', '', ''], [(16, 8), (13, 4), (15, 4)], [True, False, False, False], 76, False, [False, True, False, False], 378, 'South', (9, 9))
Element 13: (1, (9, 9), ['%', '', '', '.'], [(16, 7), (13, 3), (15, 5)], [True, False, False, False], 74, False, [False, False, False, True], 407, 'East', (10, 9))
Element 14: (1, (10, 9), ['', '', '', '%'], [(15, 7), (13, 2), (15, 6)], [False, False, False, True], 72, False, [False, False, False, False], 446, 'North', (10, 10))
Element 15: (1, (10, 10), ['', '', '', '%'], [(15, 6), (13, 1), (15, 5)], [False, False, False, True], 70, False, [False, False, False, False], 455, 'North', (10, 11))
Element 16: (1, (10, 11), ['', '', '%', ''], [(16, 6), (12, 1), (15, 4)], [False, False, True, False], 68, False, [False, False, False, False], 464, 'East', (11, 11))
Element 17: (1, (11, 11), ['', '%', '%', ''], [(16, 5), (11, 1), (15, 3)], [False, True, True, False], 66, False, [False, False, False, False], 473, 'East', (12, 11))
Element 18: (1, (12, 11), ['', '%', '%', ''], [(16, 4), (10, 1), (15, 2)], [False, True, True, False], 64, False, [False, False, False, False], 492, 'East', (13, 11))
Element 19: (1, (13, 11), ['', '', '%', '%'], [(16, 3), (9, 1), (15, 1)], [False, False, True, True], 62, False, [False, False, False, False], 511, 'South', (13, 10))
Element 20: (1, (13, 10), ['%', '', '', '%'], [(15, 3), (8, 1), (16, 1)], [True, False, False, True], 60, False, [False, False, False, False], 530, 'South', (13, 9))
Element 21: (1, (13, 9), ['.', '', '', ''], [(15, 4), (7, 1), (17, 1)], [False, False, False, False], 58, False, [True, False, False, False], 549, 'West', (12, 9))
Element 22: (1, (12, 9), ['%', '%', '%', ''], [(15, 5), (6, 1), (18, 1)], [True, True, True, False], 56, False, [False, False, False, False], 568, 'East', (13, 9))
Element 23: (1, (13, 9), ['', '', '', ''], [(15, 4), (6, 2), (18, 2)], [False, False, False, False], 54, False, [False, False, False, False], 587, 'East', (14, 9))
Element 24: (1, (14, 9), ['', '%', '%', ''], [(15, 3), (6, 3), (18, 3)], [False, True, True, False], 52, False, [False, False, False, False], 606, 'East', (15, 9))
Element 25: (1, (15, 9), ['', '%', '', ''], [(15, 2), (7, 3), (18, 4)], [False, True, False, False], 50, False, [False, False, False, False], 625, 'East', (16, 9))
Element 26: (1, (16, 9), ['', '', '%', '%'], [(15, 1), (8, 3), (18, 5)], [False, False, True, True], 48, False, [False, False, False, False], 644, 'South', (16, 8))
