Element 1: (0, (5, 4), ['.', '.', '.', '.'], [(1, 5), (2, 7), (17, 7)], [False, False, False, False], 98, False, [True, True, True, True], 0, 'East', (6, 4))
Element 2: (0, (6, 4), ['', '.', '.', '%'], [(1, 6), (3, 7), (18, 7)], [False, False, False, True], 96, False, [False, True, True, False], 39, 'North', (6, 5))
Element 3: (0, (6, 5), ['.', '', '.', '%'], [(1, 7), (4, 7), (18, 8)], [False, False, False, True], 94, False, [True, False, True, False], 78, 'North', (6, 6))
Element 4: (0, (6, 6), ['.', '', '.', '%'], [(1, 8), (5, 7), (18, 9)], [False, False, False, True], 92, False, [True, False, True, False], 117, 'North', (6, 7))
Element 5: (0, (6, 7), ['', '', '.', ''], [(1, 9), (5, 6), (18, 10)], [False, False, False, False], 90, False, [False, False, True, False], 156, 'North', (6, 8))
Element 6: (0, (6, 8), ['%', '', '.', '%'], [(1, 10), (5, 5), (18, 11)], [True, False, False, True], 88, False, [False, False, True, False], 185, 'North', (6, 9))
Element 7: (0, (6, 9), ['.', '', '.', '.'], [(1, 11), (4, 5), (17, 11)], [False, False, False, False], 86, False, [True, False, True, True], 214, 'East', (7, 9))
Element 8: (0, (7, 9), ['', '%', '%', '%'], [(2, 11), (4, 6), (16, 11)], [False, True, True, True], 84, False, [False, False, False, False], 253, 'West', (6, 9))
Element 9: (0, (6, 9), ['.', '', '.', ''], [(3, 11), (3, 6), (15, 11)], [False, False, False, False], 82, False, [True, False, True, False], 282, 'North', (6, 10))
Element 10: (0, (6, 10), ['%', '', '.', '%'], [(4, 11), (3, 5), (15, 10)], [True, False, False, True], 80, False, [False, False, True, False], 321, 'North', (6, 11))
Element 11: (0, (6, 11), ['%', '', '%', '.'], [(4, 10), (3, 4), (15, 9)], [True, False, True, False], 78, False, [False, False, False, True], 360, 'East', (7, 11))
Element 12: (0, (7, 11), ['', '%', '%', '.'], [(4, 9), (4, 4), (16, 9)], [False, True, True, False], 76, False, [False, False, False, True], 399, 'East', (8, 11))
Element 13: (0, (8, 11), ['', '%', '%', '.'], [(5, 9), (4, 3), (16, 8)], [False, True, True, False], 74, False, [False, False, False, True], 438, 'East', (9, 11))
Element 14: (0, (9, 11), ['', '.', '%', '.'], [(6, 9), (5, 3), (16, 7)], [False, False, True, False], 72, False, [False, True, False, True], 467, 'East', (10, 11))
Element 15: (0, (10, 11), ['', '.', '%', '.'], [(7, 9), (6, 3), (16, 6)], [False, False, True, False], 70, False, [False, True, False, True], 496, 'East', (11, 11))
Element 16: (0, (11, 11), ['', '%', '%', '.'], [(6, 9), (7, 3), (16, 5)], [False, True, True, False], 68, False, [False, False, False, True], 525, 'East', (12, 11))
Element 17: (0, (12, 11), ['', '%', '%', '.'], [(6, 10), (8, 3), (16, 4)], [False, True, True, False], 66, False, [False, False, False, True], 554, 'East', (13, 11))
Element 18: (0, (13, 11), ['', '.', '%', '%'], [(6, 11), (9, 3), (16, 3)], [False, False, True, True], 64, False, [False, True, False, False], 583, 'South', (13, 10))
Element 19: (0, (13, 10), ['%', '.', '', '%'], [(7, 11), (10, 3), (15, 3)], [True, False, False, True], 62, False, [False, True, False, False], 612, 'South', (13, 9))
Element 20: (0, (13, 9), ['.', '.', '', '.'], [(8, 11), (11, 3), (15, 4)], [False, False, False, False], 60, False, [True, True, False, True], 641, 'East', (14, 9))
Element 21: (0, (14, 9), ['', '%', '%', ''], [(9, 11), (12, 3), (15, 5)], [False, True, True, False], 58, False, [False, False, False, False], 670, 'East', (15, 9))
Element 22: (0, (15, 9), ['', '%', '', ''], [(9, 10), (13, 3), (15, 6)], [False, True, False, False], 56, False, [False, False, False, False], 699, 'East', (16, 9))
Element 23: (0, (16, 9), ['', '', '%', '%'], [(10, 10), (13, 4), (15, 7)], [False, False, True, True], 54, False, [False, False, False, False], 728, 'South', (16, 8))
Element 24: (0, (16, 8), ['%', '', '', '%'], [(10, 9), (13, 5), (15, 6)], [True, False, False, True], 52, False, [False, False, False, False], 747, 'South', (16, 7))
Element 25: (0, (16, 7), ['', '', '', ''], [(9, 9), (13, 6), (15, 5)], [False, False, False, False], 50, False, [False, False, False, False], 766, 'East', (17, 7))
Element 26: (0, (17, 7), ['', '%', '%', ''], [(9, 8), (13, 7), (15, 4)], [False, True, True, False], 48, False, [False, False, False, False], 775, 'East', (18, 7))
Element 27: (0, (18, 7), ['', '.', '', '%'], [(9, 7), (13, 8), (15, 3)], [False, False, False, True], 46, False, [False, True, False, False], 794, 'South', (18, 6))
Element 28: (0, (18, 6), ['%', '.', '', '%'], [(10, 7), (13, 9), (15, 2)], [True, False, False, True], 44, False, [False, True, False, False], 823, 'South', (18, 5))
Element 29: (0, (18, 5), ['%', '.', '', '%'], [(11, 7), (12, 9), (15, 1)], [True, False, False, True], 42, False, [False, True, False, False], 862, 'South', (18, 4))
Element 30: (0, (18, 4), ['%', '.', '', '%'], [(10, 7), (13, 9), (16, 1)], [True, False, False, True], 40, False, [False, True, False, False], 881, 'South', (18, 3))
Element 31: (0, (18, 3), ['%', '.', '', '%'], [(10, 8), (14, 9), (17, 1)], [True, False, False, True], 38, False, [False, True, False, False], 900, 'South', (18, 2))
Element 32: (0, (18, 2), ['%', 'G', '', '%'], [(10, 7), (15, 9), (18, 1)], [True, False, False, True], 36, False, [False, False, False, False], 909, 'North', (18, 3))
Element 33: (0, (18, 3), ['%', 'G', '', '%'], [(9, 7), (16, 9), (18, 2)], [True, False, False, True], 34, False, [False, False, False, False], 908, 'North', (18, 4))
Element 34: (0, (18, 4), ['%', 'G', '', '%'], [(9, 8), (16, 8), (18, 3)], [True, False, False, True], 32, False, [False, False, False, False], 907, 'North', (18, 5))
Element 35: (0, (18, 5), ['%', 'G', '', '%'], [(10, 8), (16, 7), (18, 4)], [True, False, False, True], 30, False, [False, False, False, False], 906, 'North', (18, 6))
Element 36: (0, (18, 6), ['%', 'G', '', '%'], [(9, 8), (17, 7), (18, 5)], [True, False, False, True], 28, False, [False, False, False, False], 905, 'North', (18, 7))
Element 37: (0, (18, 7), ['', 'G', '', '%'], [(9, 9), (16, 7), (18, 6)], [False, False, False, True], 26, False, [False, False, False, False], 904, 'North', (18, 8))
Element 38: (0, (18, 8), ['%', '', '', '%'], [(10, 9), (16, 6), (18, 5)], [True, False, False, True], 24, False, [False, False, False, False], 903, 'North', (18, 9))
Element 39: (0, (18, 9), ['%', '', '', '%'], [(10, 8), (16, 5), (18, 4)], [True, False, False, True], 22, False, [False, False, False, False], 902, 'North', (18, 10))
Element 40: (0, (18, 10), ['%', '', '', '%'], [(10, 9), (16, 4), (18, 3)], [True, False, False, True], 20, False, [False, False, False, False], 901, 'North', (18, 11))
Element 41: (0, (18, 11), ['', '', '%', '%'], [(10, 10), (16, 3), (18, 2)], [False, False, True, True], 18, False, [False, False, False, False], 900, 'West', (17, 11))
Element 42: (0, (17, 11), ['', '%', '%', ''], [(10, 11), (15, 3), (18, 1)], [False, True, True, False], 16, False, [False, False, False, False], 899, 'West', (16, 11))
Element 43: (0, (16, 11), ['', '%', '%', ''], [(11, 11), (15, 4), (17, 1)], [False, True, True, False], 14, False, [False, False, False, False], 898, 'West', (15, 11))
Element 44: (0, (15, 11), ['%', '', '%', ''], [(12, 11), (15, 5), (16, 1)], [True, False, True, False], 12, False, [False, False, False, False], 897, 'South', (15, 10))
Element 45: (0, (15, 10), ['%', '', '', '%'], [(13, 11), (15, 6), (15, 1)], [True, False, False, True], 10, False, [False, False, False, False], 896, 'North', (15, 11))
Element 46: (0, (15, 11), ['%', '', '%', ''], [(13, 10), (15, 7), (15, 2)], [True, False, True, False], 8, False, [False, False, False, False], 895, 'East', (16, 11))
Element 47: (0, (16, 11), ['', '%', '%', ''], [(13, 9), (15, 6), (15, 3)], [False, True, True, False], 6, False, [False, False, False, False], 894, 'East', (17, 11))
Element 48: (0, (17, 11), ['', '%', '%', ''], [(14, 9), (15, 5), (16, 3)], [False, True, True, False], 4, False, [False, False, False, False], 893, 'East', (18, 11))
Element 49: (0, (18, 11), ['', '', '%', '%'], [(15, 9), (15, 4), (16, 4)], [False, False, True, True], 2, False, [False, False, False, False], 892, 'South', (18, 10))
Element 50: (0, (18, 10), ['%', '', '', '%'], [(16, 9), (15, 3), (15, 4)], [True, False, False, True], 0, False, [False, False, False, False], 891, 'Stop', (18, 10))
Element 51: #0#
