Element 1: (2, (12, 9), ['%', '%', '%', '.'], [(13, 11), (5, 3), (15, 1)], [True, True, True, False], 98, False, [False, False, False, True], 19, 'East', (13, 9))
Element 2: (2, (13, 9), ['', '.', '', '.'], [(12, 11), (6, 3), (16, 1)], [False, False, False, False], 96, False, [False, True, False, True], 58, 'East', (14, 9))
Element 3: (2, (14, 9), ['', '%', '%', '.'], [(11, 11), (7, 3), (17, 1)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (15, 9))
Element 4: (2, (15, 9), ['', '%', '.', '.'], [(10, 11), (8, 3), (18, 1)], [False, True, False, False], 92, False, [False, False, True, True], 126, 'East', (16, 9))
Element 5: (2, (16, 9), ['', '.', '%', '%'], [(10, 10), (9, 3), (18, 2)], [False, False, True, True], 90, False, [False, True, False, False], 165, 'South', (16, 8))
Element 6: (2, (16, 8), ['%', '.', '', '%'], [(10, 9), (10, 3), (18, 3)], [True, False, False, True], 88, False, [False, True, False, False], 204, 'South', (16, 7))
Element 7: (2, (16, 7), ['.', '.', '', '.'], [(9, 9), (11, 3), (18, 4)], [False, False, False, False], 86, False, [True, True, False, True], 243, 'East', (17, 7))
Element 8: (2, (17, 7), ['', '%', '%', '.'], [(9, 10), (12, 3), (18, 5)], [False, True, True, False], 84, False, [False, False, False, True], 282, 'East', (18, 7))
Element 9: (2, (18, 7), ['', 'G', '.', '%'], [(9, 11), (13, 3), (18, 6)], [False, False, False, True], 82, False, [False, False, True, False], 321, 'North', (18, 8))
Element 10: (2, (18, 8), ['%', 'G', '.', '%'], [(8, 11), (13, 4), (18, 7)], [True, False, False, True], 80, False, [False, False, True, False], 350, 'North', (18, 9))
Element 11: (2, (18, 9), ['%', 'G', '.', '%'], [(7, 11), (13, 5), (18, 8)], [True, False, False, True], 78, False, [False, False, True, False], 379, 'North', (18, 10))
Element 12: (2, (18, 10), ['%', 'G', '', '%'], [(6, 11), (13, 6), (18, 9)], [True, False, False, True], 76, False, [False, False, False, False], 408, 'North', (18, 11))
Element 13: (2, (18, 11), ['.', 'G', '%', '%'], [(6, 10), (13, 7), (18, 10)], [False, False, True, True], 74, False, [True, False, False, False], 427, 'West', (17, 11))
Element 14: (2, (17, 11), ['.', '%', '%', 'G'], [(6, 9), (13, 8), (18, 11)], [False, True, True, False], 72, False, [True, False, False, False], 456, 'West', (16, 11))
Element 15: (2, (16, 11), ['.', '%', '%', 'G'], [(7, 9), (13, 9), (17, 11)], [False, True, True, False], 70, False, [True, False, False, False], 475, 'West', (15, 11))
Element 16: (2, (15, 11), ['%', '.', '%', 'G'], [(6, 9), (14, 9), (16, 11)], [True, False, True, False], 68, False, [False, True, False, False], 484, 'South', (15, 10))
Element 17: (2, (15, 10), ['%', 'G', 'G', '%'], [(6, 8), (15, 9), (15, 11)], [True, False, False, True], 66, False, [False, False, False, False], 503, 'Stop', (15, 10))
Element 18: (2, (15, 10), ['%', '', '', '%'], [(6, 7), (16, 9), (16, 11)], [True, False, False, True], 64, False, [False, False, False, False], 512, 'South', (15, 9))
Element 19: (2, (15, 9), ['', '%', '', ''], [(6, 6), (16, 8), (17, 11)], [False, True, False, False], 62, False, [False, False, False, False], 521, 'West', (14, 9))
Element 20: (2, (14, 9), ['', '%', '%', ''], [(6, 5), (16, 7), (18, 11)], [False, True, True, False], 60, False, [False, False, False, False], 530, 'West', (13, 9))
Element 21: (2, (13, 9), ['', '', '', ''], [(6, 4), (16, 6), (18, 10)], [False, False, False, False], 58, False, [False, False, False, False], 549, 'West', (12, 9))
Element 22: (2, (12, 9), ['%', '%', '%', ''], [(5, 4), (16, 5), (18, 9)], [True, True, True, False], 56, False, [False, False, False, False], 568, 'East', (13, 9))
Element 23: (2, (13, 9), ['', '', '', ''], [(5, 5), (16, 4), (18, 8)], [False, False, False, False], 54, False, [False, False, False, False], 587, 'West', (12, 9))
Element 24: (2, (12, 9), ['%', '%', '%', ''], [(5, 6), (16, 3), (18, 7)], [True, True, True, False], 52, False, [False, False, False, False], 606, 'East', (13, 9))
Element 25: (2, (13, 9), ['', '', '', ''], [(5, 7), (15, 3), (17, 7)], [False, False, False, False], 50, False, [False, False, False, False], 625, 'West', (12, 9))
Element 26: (2, (12, 9), ['%', '%', '%', ''], [(4, 7), (15, 4), (16, 7)], [True, True, True, False], 48, False, [False, False, False, False], 644, 'East', (13, 9))
Element 27: (2, (13, 9), ['', '', '', ''], [(4, 6), (15, 5), (15, 7)], [False, False, False, False], 46, False, [False, False, False, False], 673, 'South', (13, 8))
Element 28: (2, (13, 8), ['%', '', '', '%'], [(4, 5), (15, 4), (15, 6)], [True, False, False, True], 44, False, [False, False, False, False], 692, 'South', (13, 7))
Element 29: (2, (13, 7), ['%', '', '', '%'], [(4, 4), (15, 3), (16, 6)], [True, False, False, True], 42, False, [False, False, False, False], 701, 'South', (13, 6))
Element 30: (2, (13, 6), ['%', '', '', '%'], [(3, 4), (15, 2), (16, 5)], [True, False, False, True], 40, False, [False, False, False, False], 720, 'South', (13, 5))
Element 31: (2, (13, 5), ['%', '', '', '%'], [(3, 5), (15, 1), (16, 4)], [True, False, False, True], 38, False, [False, False, False, False], 729, 'South', (13, 4))
Element 32: (2, (13, 4), ['%', '', '', '%'], [(3, 6), (16, 1), (16, 3)], [True, False, False, True], 36, False, [False, False, False, False], 738, 'South', (13, 3))
Element 33: (2, (13, 3), ['', '.', '', '%'], [(3, 7), (17, 1), (15, 3)], [False, False, False, True], 34, False, [False, True, False, False], 747, 'South', (13, 2))
Element 34: (2, (13, 2), ['%', '.', '', '%'], [(3, 8), (18, 1), (15, 4)], [True, False, False, True], 32, False, [False, True, False, False], 766, 'South', (13, 1))
Element 35: (2, (13, 1), ['.', '%', '', '%'], [(3, 9), (18, 2), (15, 5)], [False, True, False, True], 30, False, [True, False, False, False], 785, 'West', (12, 1))
