Element 1: (2, (13, 1), ['.', '%', '.', '%'], [(8, 11), (10, 10), (18, 7)], [False, True, False, True], 98, False, [True, False, True, False], 19, 'North', (13, 2))
Element 2: (2, (13, 2), ['%', '', '.', '%'], [(9, 11), (10, 11), (18, 8)], [True, False, False, True], 96, False, [False, False, True, False], 58, 'North', (13, 3))
Element 3: (2, (13, 3), ['.', '', '.', '%'], [(9, 10), (11, 11), (18, 9)], [False, False, False, True], 94, False, [True, False, True, False], 97, 'North', (13, 4))
Element 4: (2, (13, 4), ['%', '', '.', '%'], [(9, 9), (12, 11), (18, 10)], [True, False, False, True], 92, False, [False, False, True, False], 136, 'North', (13, 5))
Element 5: (2, (13, 5), ['%', '', '.', '%'], [(10, 9), (13, 11), (18, 11)], [True, False, False, True], 90, False, [False, False, True, False], 155, 'North', (13, 6))
Element 6: (2, (13, 6), ['%', '', '.', '%'], [(10, 10), (13, 10), (17, 11)], [True, False, False, True], 88, False, [False, False, True, False], 184, 'North', (13, 7))
Element 7: (2, (13, 7), ['%', '', '.', '%'], [(10, 11), (13, 9), (16, 11)], [True, False, False, True], 86, False, [False, False, True, False], 213, 'North', (13, 8))
Element 8: (2, (13, 8), ['%', '', '', '%'], [(11, 11), (14, 9), (15, 11)], [True, False, False, True], 84, False, [False, False, False, False], 242, 'North', (13, 9))
Element 9: (2, (13, 9), ['.', '', '', ''], [(12, 11), (15, 9), (15, 10)], [False, False, False, False], 82, False, [True, False, False, False], 261, 'West', (12, 9))
Element 10: (2, (12, 9), ['%', '%', '%', ''], [(13, 11), (16, 9), (15, 11)], [True, True, True, False], 80, False, [False, False, False, False], 280, 'East', (13, 9))
Element 11: (2, (13, 9), ['', '', 'G', ''], [(13, 10), (16, 8), (16, 11)], [False, False, False, False], 78, False, [False, False, False, False], 289, 'East', (14, 9))
Element 12: (2, (14, 9), ['G', '%', '%', ''], [(13, 9), (16, 7), (17, 11)], [False, True, True, False], 76, False, [False, False, False, False], 298, 'East', (15, 9))
Element 13: (2, (15, 9), ['G', '%', '', ''], [(14, 9), (17, 7), (18, 11)], [False, True, False, False], 74, False, [False, False, False, False], 307, 'East', (16, 9))
Element 14: (2, (16, 9), ['G', '', '%', '%'], [(15, 9), (18, 7), (18, 10)], [False, False, True, True], 72, False, [False, False, False, False], 306, 'South', (16, 8))
Element 15: (2, (16, 8), ['%', '', 'G', '%'], [(16, 9), (18, 6), (18, 9)], [True, False, False, True], 70, False, [False, False, False, False], 315, 'South', (16, 7))
Element 16: (2, (16, 7), ['.', '.', 'G', ''], [(16, 8), (18, 5), (18, 8)], [False, False, False, False], 68, False, [True, True, False, False], 324, 'South', (16, 6))
Element 17: (2, (16, 6), ['.', '.', 'G', '%'], [(16, 7), (18, 4), (18, 7)], [False, False, False, True], 66, False, [True, True, False, False], 343, 'South', (16, 5))
Element 18: (2, (16, 5), ['.', '.', '', '%'], [(15, 7), (18, 3), (18, 6)], [False, False, False, True], 64, False, [True, True, False, False], 372, 'South', (16, 4))
Element 19: (2, (16, 4), ['.', '.', '', '%'], [(15, 6), (18, 2), (18, 5)], [False, False, False, True], 62, False, [True, True, False, False], 401, 'South', (16, 3))
Element 20: (2, (16, 3), ['.', '%', '', '%'], [(15, 5), (18, 1), (18, 4)], [False, True, False, True], 60, False, [True, False, False, False], 420, 'West', (15, 3))
Element 21: (2, (15, 3), ['%', '.', 'G', ''], [(15, 4), (17, 1), (18, 3)], [True, False, False, False], 58, False, [False, True, False, False], 449, 'South', (15, 2))
Element 22: (2, (15, 2), ['%', '.', '', '%'], [(16, 4), (16, 1), (18, 2)], [True, False, False, True], 56, False, [False, True, False, False], 468, 'South', (15, 1))
Element 23: (2, (15, 1), ['%', '%', '', ''], [(16, 5), (17, 1), (18, 1)], [True, True, False, False], 54, False, [False, False, False, False], 477, 'East', (16, 1))
Element 24: (2, (16, 1), ['', '%', '%', ''], [(16, 6), (18, 1), (18, 2)], [False, True, True, False], 52, False, [False, False, False, False], 476, 'East', (17, 1))
Element 25: (2, (17, 1), ['', '%', '%', ''], [(16, 5), (18, 2), (18, 3)], [False, True, True, False], 50, False, [False, False, False, False], 475, 'East', (18, 1))
Element 26: (2, (18, 1), ['', '%', '', '%'], [(16, 4), (18, 3), (18, 4)], [False, True, False, True], 48, False, [False, False, False, False], 474, 'North', (18, 2))
Element 27: (2, (18, 2), ['%', '', '', '%'], [(16, 3), (18, 4), (18, 5)], [True, False, False, True], 46, False, [False, False, False, False], 473, 'North', (18, 3))
Element 28: (2, (18, 3), ['%', '', '', '%'], [(15, 3), (18, 5), (18, 6)], [True, False, False, True], 44, False, [False, False, False, False], 472, 'North', (18, 4))
Element 29: (2, (18, 4), ['%', '', '', '%'], [(15, 2), (18, 6), (18, 7)], [True, False, False, True], 42, False, [False, False, False, False], 471, 'North', (18, 5))
Element 30: (2, (18, 5), ['%', '', '', '%'], [(15, 1), (18, 7), (17, 7)], [True, False, False, True], 40, False, [False, False, False, False], 470, 'North', (18, 6))
Element 31: (2, (18, 6), ['%', '', '', '%'], [(16, 1), (18, 8), (16, 7)], [True, False, False, True], 38, False, [False, False, False, False], 469, 'North', (18, 7))
Element 32: (2, (18, 7), ['', '', '', '%'], [(17, 1), (18, 9), (16, 8)], [False, False, False, True], 36, False, [False, False, False, False], 468, 'North', (18, 8))
Element 33: (2, (18, 8), ['%', '', '', '%'], [(18, 1), (18, 10), (16, 9)], [True, False, False, True], 34, False, [False, False, False, False], 467, 'North', (18, 9))
Element 34: (2, (18, 9), ['%', '', '', '%'], [(18, 2), (18, 11), (15, 9)], [True, False, False, True], 32, False, [False, False, False, False], 466, 'North', (18, 10))
Element 35: (2, (18, 10), ['%', '', '', '%'], [(18, 3), (17, 11), (14, 9)], [True, False, False, True], 30, False, [False, False, False, False], 465, 'North', (18, 11))
Element 36: (2, (18, 11), ['', '', '%', '%'], [(18, 4), (16, 11), (13, 9)], [False, False, True, True], 28, False, [False, False, False, False], 464, 'West', (17, 11))
Element 37: (2, (17, 11), ['', '%', '%', ''], [(18, 5), (15, 11), (13, 10)], [False, True, True, False], 26, False, [False, False, False, False], 463, 'West', (16, 11))
Element 38: (2, (16, 11), ['', '%', '%', ''], [(18, 6), (15, 10), (13, 11)], [False, True, True, False], 24, False, [False, False, False, False], 462, 'West', (15, 11))
Element 39: (2, (15, 11), ['%', '', '%', ''], [(18, 7), (15, 9), (12, 11)], [True, False, True, False], 22, False, [False, False, False, False], 461, 'South', (15, 10))
Element 40: (2, (15, 10), ['%', '', '', '%'], [(18, 8), (15, 10), (11, 11)], [True, False, False, True], 20, False, [False, False, False, False], 460, 'North', (15, 11))
Element 41: (2, (15, 11), ['%', '', '%', ''], [(18, 9), (15, 11), (10, 11)], [True, False, True, False], 18, False, [False, False, False, False], 459, 'East', (16, 11))
Element 42: (2, (16, 11), ['', '%', '%', ''], [(18, 10), (16, 11), (10, 10)], [False, True, True, False], 16, False, [False, False, False, False], 458, 'East', (17, 11))
Element 43: (2, (17, 11), ['G', '%', '%', 'G'], [(18, 11), (16, 11), (10, 9)], [False, True, True, False], 14, False, [False, False, False, False], 457, 'Stop', (17, 11))
Element 44: (2, (17, 11), ['G', '%', '%', ''], [(18, 10), (16, 11), (10, 8)], [False, True, True, False], 12, False, [False, False, False, False], 456, 'East', (18, 11))
Element 45: (2, (18, 11), ['', '', '%', '%'], [(18, 9), (16, 11), (10, 7)], [False, False, True, True], 10, False, [False, False, False, False], 465, 'West', (17, 11))
Element 46: (2, (17, 11), ['G', '%', '%', ''], [(18, 8), (16, 11), (11, 7)], [False, True, True, False], 8, False, [False, False, False, False], 474, 'East', (18, 11))
Element 47: (2, (18, 11), ['', '', '%', '%'], [(18, 7), (16, 11), (10, 7)], [False, False, True, True], 6, False, [False, False, False, False], 473, 'West', (17, 11))
Element 48: (2, (17, 11), ['G', '%', '%', ''], [(17, 7), (16, 11), (9, 7)], [False, True, True, False], 4, False, [False, False, False, False], 482, 'East', (18, 11))
Element 49: (2, (18, 11), ['', '', '%', '%'], [(18, 7), (16, 11), (9, 8)], [False, False, True, True], 2, False, [False, False, False, False], 481, 'West', (17, 11))
Element 50: (2, (17, 11), ['G', '%', '%', ''], [(18, 7), (16, 11), (9, 9)], [False, True, True, False], 0, False, [False, False, False, False], 480, 'Stop', (17, 11))
Element 51: #0#
