Element 1: (2, (9, 9), ['%', '', '.', '.'], [(16, 11), (6, 4), (16, 7)], [True, False, False, False], 98, False, [False, False, True, True], 19, 'East', (10, 9))
Element 2: (2, (10, 9), ['', '', '.', '%'], [(15, 11), (6, 5), (17, 7)], [False, False, False, True], 96, False, [False, False, True, False], 58, 'North', (10, 10))
Element 3: (2, (10, 10), ['.', '', '.', '%'], [(15, 10), (6, 6), (18, 7)], [False, False, False, True], 94, False, [True, False, True, False], 97, 'North', (10, 11))
Element 4: (2, (10, 11), ['.', '', '%', '.'], [(15, 9), (6, 7), (18, 8)], [False, False, True, False], 92, False, [True, False, False, True], 136, 'East', (11, 11))
Element 5: (2, (11, 11), ['', '%', '%', '.'], [(16, 9), (6, 8), (18, 9)], [False, True, True, False], 90, False, [False, False, False, True], 175, 'East', (12, 11))
Element 6: (2, (12, 11), ['', '%', '%', '.'], [(16, 8), (6, 9), (18, 10)], [False, True, True, False], 88, False, [False, False, False, True], 214, 'East', (13, 11))
Element 7: (2, (13, 11), ['', '.', '%', '%'], [(16, 7), (7, 9), (18, 11)], [False, False, True, True], 86, False, [False, True, False, False], 233, 'South', (13, 10))
Element 8: (2, (13, 10), ['%', '.', '', '%'], [(16, 6), (6, 9), (17, 11)], [True, False, False, True], 84, False, [False, True, False, False], 252, 'South', (13, 9))
Element 9: (2, (13, 9), ['.', '.', '', '.'], [(16, 5), (6, 10), (16, 11)], [False, False, False, False], 82, False, [True, True, False, True], 281, 'East', (14, 9))
Element 10: (2, (14, 9), ['', '%', '%', ''], [(16, 4), (6, 11), (15, 11)], [False, True, True, False], 80, False, [False, False, False, False], 310, 'East', (15, 9))
Element 11: (2, (15, 9), ['', '%', 'G', ''], [(16, 3), (7, 11), (15, 10)], [False, True, False, False], 78, False, [False, False, False, False], 329, 'East', (16, 9))
Element 12: (2, (16, 9), ['G', '', '%', '%'], [(15, 3), (8, 11), (15, 9)], [False, False, True, True], 76, False, [False, False, False, False], 348, 'South', (16, 8))
Element 13: (2, (16, 8), ['%', '', 'G', '%'], [(15, 4), (9, 11), (16, 9)], [True, False, False, True], 74, False, [False, False, False, False], 367, 'South', (16, 7))
Element 14: (2, (16, 7), ['.', '', 'G', ''], [(15, 5), (9, 10), (16, 8)], [False, False, False, False], 72, False, [True, False, False, False], 386, 'West', (15, 7))
Element 15: (2, (15, 7), ['%', 'G', '%', ''], [(15, 6), (10, 10), (16, 9)], [True, False, True, False], 70, False, [False, False, False, False], 405, 'East', (16, 7))
Element 16: (2, (16, 7), ['G', '', '', ''], [(15, 7), (10, 11), (15, 9)], [False, False, False, False], 68, False, [False, False, False, False], 404, 'East', (17, 7))
Element 17: (2, (17, 7), ['', '%', '%', ''], [(15, 6), (11, 11), (14, 9)], [False, True, True, False], 66, False, [False, False, False, False], 403, 'East', (18, 7))
Element 18: (2, (18, 7), ['', '.', '', '%'], [(15, 5), (12, 11), (13, 9)], [False, False, False, True], 64, False, [False, True, False, False], 402, 'South', (18, 6))
Element 19: (2, (18, 6), ['%', '.', '', '%'], [(15, 4), (13, 11), (13, 8)], [True, False, False, True], 62, False, [False, True, False, False], 421, 'South', (18, 5))
Element 20: (2, (18, 5), ['%', '.', '', '%'], [(15, 3), (13, 10), (13, 7)], [True, False, False, True], 60, False, [False, True, False, False], 440, 'South', (18, 4))
Element 21: (2, (18, 4), ['%', '.', '', '%'], [(15, 2), (13, 9), (13, 6)], [True, False, False, True], 58, False, [False, True, False, False], 469, 'South', (18, 3))
Element 22: (2, (18, 3), ['%', '.', '', '%'], [(15, 1), (12, 9), (13, 5)], [True, False, False, True], 56, False, [False, True, False, False], 508, 'South', (18, 2))
Element 23: (2, (18, 2), ['%', '', '', '%'], [(16, 1), (13, 9), (13, 4)], [True, False, False, True], 54, False, [False, False, False, False], 537, 'South', (18, 1))
Element 24: (2, (18, 1), ['G', '%', '', '%'], [(17, 1), (14, 9), (13, 3)], [False, True, False, True], 52, False, [False, False, False, False], 556, 'North', (18, 2))
Element 25: (2, (18, 2), ['%', 'G', '', '%'], [(18, 1), (15, 9), (13, 2)], [True, False, False, True], 50, False, [False, False, False, False], 565, 'North', (18, 3))
Element 26: (2, (18, 3), ['%', 'G', '', '%'], [(18, 2), (16, 9), (13, 1)], [True, False, False, True], 48, False, [False, False, False, False], 574, 'North', (18, 4))
Element 27: (2, (18, 4), ['%', 'G', '', '%'], [(18, 3), (16, 8), (12, 1)], [True, False, False, True], 46, False, [False, False, False, False], 583, 'North', (18, 5))
Element 28: (2, (18, 5), ['%', 'G', '', '%'], [(18, 4), (16, 7), (11, 1)], [True, False, False, True], 44, False, [False, False, False, False], 592, 'North', (18, 6))
Element 29: (2, (18, 6), ['%', 'G', '', '%'], [(18, 5), (17, 7), (10, 1)], [True, False, False, True], 42, False, [False, False, False, False], 601, 'North', (18, 7))
Element 30: (2, (18, 7), ['', 'G', '', '%'], [(18, 6), (16, 7), (9, 1)], [False, False, False, True], 40, False, [False, False, False, False], 610, 'North', (18, 8))
Element 31: (2, (18, 8), ['%', 'G', '', '%'], [(18, 7), (16, 6), (8, 1)], [True, False, False, True], 38, False, [False, False, False, False], 619, 'North', (18, 9))
Element 32: (2, (18, 9), ['%', 'G', '', '%'], [(18, 8), (16, 5), (7, 1)], [True, False, False, True], 36, False, [False, False, False, False], 628, 'North', (18, 10))
Element 33: (2, (18, 10), ['%', 'G', '', '%'], [(18, 9), (16, 4), (6, 1)], [True, False, False, True], 34, False, [False, False, False, False], 637, 'North', (18, 11))
Element 34: (2, (18, 11), ['', 'G', '%', '%'], [(18, 10), (16, 3), (6, 2)], [False, False, True, True], 32, False, [False, False, False, False], 646, 'West', (17, 11))
Element 35: (2, (17, 11), ['', '%', '%', 'G'], [(18, 11), (15, 3), (6, 3)], [False, True, True, False], 30, False, [False, False, False, False], 655, 'West', (16, 11))
Element 36: (2, (16, 11), ['', '%', '%', ''], [(18, 10), (15, 4), (7, 3)], [False, True, True, False], 28, False, [False, False, False, False], 664, 'West', (15, 11))
Element 37: (2, (15, 11), ['%', '', '%', ''], [(18, 9), (15, 5), (8, 3)], [True, False, True, False], 26, False, [False, False, False, False], 673, 'South', (15, 10))
Element 38: (2, (15, 10), ['%', '', '', '%'], [(18, 8), (15, 6), (9, 3)], [True, False, False, True], 24, False, [False, False, False, False], 682, 'North', (15, 11))
Element 39: (2, (15, 11), ['%', '', '%', ''], [(18, 7), (15, 7), (10, 3)], [True, False, True, False], 22, False, [False, False, False, False], 691, 'East', (16, 11))
Element 40: (2, (16, 11), ['', '%', '%', ''], [(17, 7), (15, 6), (11, 3)], [False, True, True, False], 20, False, [False, False, False, False], 700, 'East', (17, 11))
Element 41: (2, (17, 11), ['', '%', '%', ''], [(18, 7), (15, 5), (12, 3)], [False, True, True, False], 18, False, [False, False, False, False], 709, 'East', (18, 11))
Element 42: (2, (18, 11), ['', '', '%', '%'], [(18, 6), (15, 4), (11, 3)], [False, False, True, True], 16, False, [False, False, False, False], 708, 'South', (18, 10))
Element 43: (2, (18, 10), ['%', '', '', '%'], [(18, 5), (15, 3), (10, 3)], [True, False, False, True], 14, False, [False, False, False, False], 707, 'South', (18, 9))
Element 44: (2, (18, 9), ['%', '', '', '%'], [(18, 4), (15, 2), (9, 3)], [True, False, False, True], 12, False, [False, False, False, False], 706, 'South', (18, 8))
Element 45: (2, (18, 8), ['%', '', '', '%'], [(18, 3), (15, 1), (8, 3)], [True, False, False, True], 10, False, [False, False, False, False], 705, 'South', (18, 7))
Element 46: (2, (18, 7), ['', '', '', '%'], [(18, 2), (16, 1), (8, 4)], [False, False, False, True], 8, False, [False, False, False, False], 704, 'West', (17, 7))
