Element 1: (3, (18, 2), ['%', '', '.', '%'], [(15, 9), (16, 4), (15, 11)], [True, False, False, True], 98, False, [False, False, True, False], 29, 'North', (18, 3))
Element 2: (3, (18, 3), ['%', '', '.', '%'], [(16, 9), (16, 5), (16, 11)], [True, False, False, True], 96, False, [False, False, True, False], 68, 'North', (18, 4))
Element 3: (3, (18, 4), ['%', '', '.', '%'], [(16, 8), (16, 6), (17, 11)], [True, False, False, True], 94, False, [False, False, True, False], 107, 'North', (18, 5))
Element 4: (3, (18, 5), ['%', '', '.', '%'], [(16, 7), (15, 6), (18, 11)], [True, False, False, True], 92, False, [False, False, True, False], 136, 'North', (18, 6))
Element 5: (3, (18, 6), ['%', '', '.', '%'], [(17, 7), (15, 7), (18, 10)], [True, False, False, True], 90, False, [False, False, True, False], 175, 'North', (18, 7))
Element 6: (3, (18, 7), ['', '', '.', '%'], [(16, 7), (15, 6), (18, 9)], [False, False, False, True], 88, False, [False, False, True, False], 194, 'North', (18, 8))
Element 7: (3, (18, 8), ['%', '', '', '%'], [(15, 7), (15, 5), (18, 10)], [True, False, False, True], 86, False, [False, False, False, False], 213, 'North', (18, 9))
Element 8: (3, (18, 9), ['%', '', '', '%'], [(15, 6), (15, 4), (18, 11)], [True, False, False, True], 84, False, [False, False, False, False], 212, 'North', (18, 10))
Element 9: (3, (18, 10), ['%', '', '', '%'], [(16, 6), (15, 5), (17, 11)], [True, False, False, True], 82, False, [False, False, False, False], 211, 'North', (18, 11))
Element 10: (3, (18, 11), ['', '', '%', '%'], [(16, 5), (15, 4), (16, 11)], [False, False, True, True], 80, False, [False, False, False, False], 210, 'West', (17, 11))
Element 11: (3, (17, 11), ['', '%', '%', ''], [(16, 4), (15, 5), (15, 11)], [False, True, True, False], 78, False, [False, False, False, False], 209, 'West', (16, 11))
Element 12: (3, (16, 11), ['', '%', '%', ''], [(16, 3), (16, 5), (15, 10)], [False, True, True, False], 76, False, [False, False, False, False], 218, 'West', (15, 11))
Element 13: (3, (15, 11), ['%', 'G', '%', ''], [(15, 3), (16, 4), (15, 10)], [True, False, True, False], 74, False, [False, False, False, False], 227, 'East', (16, 11))
Element 14: (3, (16, 11), ['G', '%', '%', ''], [(15, 2), (16, 3), (15, 11)], [False, True, True, False], 72, False, [False, False, False, False], 236, 'East', (17, 11))
Element 15: (3, (17, 11), ['G', '%', '%', ''], [(15, 1), (15, 3), (16, 11)], [False, True, True, False], 70, False, [False, False, False, False], 245, 'East', (18, 11))
Element 16: (3, (18, 11), ['G', '', '%', '%'], [(16, 1), (15, 2), (17, 11)], [False, False, True, True], 68, False, [False, False, False, False], 254, 'South', (18, 10))
Element 17: (3, (18, 10), ['%', '', 'G', '%'], [(17, 1), (15, 1), (18, 11)], [True, False, False, True], 66, False, [False, False, False, False], 263, 'South', (18, 9))
Element 18: (3, (18, 9), ['%', '', 'G', '%'], [(18, 1), (16, 1), (18, 10)], [True, False, False, True], 64, False, [False, False, False, False], 262, 'South', (18, 8))
Element 19: (3, (18, 8), ['%', '', 'G', '%'], [(18, 2), (17, 1), (18, 9)], [True, False, False, True], 62, False, [False, False, False, False], 261, 'South', (18, 7))
Element 20: (3, (18, 7), ['', '', 'G', '%'], [(18, 3), (18, 1), (18, 8)], [False, False, False, True], 60, False, [False, False, False, False], 260, 'West', (17, 7))
Element 21: (3, (17, 7), ['', '%', '%', 'G'], [(18, 4), (18, 2), (18, 7)], [False, True, True, False], 58, False, [False, False, False, False], 259, 'West', (16, 7))
Element 22: (3, (16, 7), ['', '', '', ''], [(18, 5), (18, 3), (18, 6)], [False, False, False, False], 56, False, [False, False, False, False], 258, 'North', (16, 8))
Element 23: (3, (16, 8), ['%', '', '', '%'], [(18, 4), (18, 2), (18, 5)], [True, False, False, True], 54, False, [False, False, False, False], 257, 'North', (16, 9))
Element 24: (3, (16, 9), ['', '', '%', '%'], [(18, 3), (18, 1), (18, 4)], [False, False, True, True], 52, False, [False, False, False, False], 256, 'West', (15, 9))
Element 25: (3, (15, 9), ['', '%', '', ''], [(18, 2), (17, 1), (18, 3)], [False, True, False, False], 50, False, [False, False, False, False], 255, 'North', (15, 10))
Element 26: (3, (15, 10), ['%', '', '', '%'], [(18, 1), (16, 1), (18, 2)], [True, False, False, True], 48, False, [False, False, False, False], 254, 'South', (15, 9))
Element 27: (3, (15, 9), ['', '%', '', ''], [(17, 1), (15, 1), (18, 1)], [False, True, False, False], 46, False, [False, False, False, False], 253, 'West', (14, 9))
Element 28: (3, (14, 9), ['.', '%', '%', ''], [(16, 1), (15, 2), (17, 1)], [False, True, True, False], 44, False, [True, False, False, False], 252, 'West', (13, 9))
Element 29: (3, (13, 9), ['.', '.', '.', ''], [(15, 1), (15, 3), (16, 1)], [False, False, False, False], 42, False, [True, True, True, False], 261, 'North', (13, 10))
Element 30: (3, (13, 10), ['%', '', '.', '%'], [(15, 2), (16, 3), (15, 1)], [True, False, False, True], 40, False, [False, False, True, False], 270, 'North', (13, 11))
Element 31: (3, (13, 11), ['.', '', '%', '%'], [(15, 3), (16, 4), (15, 2)], [False, False, True, True], 38, False, [True, False, False, False], 279, 'West', (12, 11))
Element 32: (3, (12, 11), ['.', '%', '%', ''], [(15, 4), (16, 3), (15, 3)], [False, True, True, False], 36, False, [True, False, False, False], 288, 'West', (11, 11))
Element 33: (3, (11, 11), ['.', '%', '%', ''], [(15, 5), (16, 4), (16, 3)], [False, True, True, False], 34, False, [True, False, False, False], 297, 'West', (10, 11))
Element 34: (3, (10, 11), ['.', '.', '%', ''], [(15, 4), (16, 5), (16, 4)], [False, False, True, False], 32, False, [True, True, False, False], 306, 'South', (10, 10))
Element 35: (3, (10, 10), ['.', '.', '', '%'], [(15, 3), (15, 5), (16, 5)], [False, False, False, True], 30, False, [True, True, False, False], 315, 'South', (10, 9))
Element 36: (3, (10, 9), ['.', '', '', '%'], [(16, 3), (15, 4), (16, 6)], [False, False, False, True], 28, False, [True, False, False, False], 324, 'West', (9, 9))
Element 37: (3, (9, 9), ['%', '', '.', ''], [(16, 4), (15, 4), (16, 7)], [True, False, False, False], 26, False, [False, False, True, False], 333, 'North', (9, 10))
Element 38: (3, (9, 10), ['%', '', '.', ''], [(16, 3), (16, 4), (17, 7)], [True, False, False, False], 24, False, [False, False, True, False], 342, 'North', (9, 11))
Element 39: (3, (9, 11), ['.', '', '%', ''], [(15, 3), (16, 5), (16, 7)], [False, False, True, False], 22, False, [True, False, False, False], 351, 'West', (8, 11))
Element 40: (3, (8, 11), ['.', '%', '%', ''], [(15, 2), (16, 6), (16, 8)], [False, True, True, False], 20, False, [True, False, False, False], 360, 'West', (7, 11))
Element 41: (3, (7, 11), ['.', '%', '%', ''], [(15, 3), (16, 7), (16, 9)], [False, True, True, False], 18, False, [True, False, False, False], 369, 'West', (6, 11))
Element 42: (3, (6, 11), ['%', '.', '%', ''], [(15, 4), (17, 7), (15, 9)], [True, False, True, False], 16, False, [False, True, False, False], 378, 'South', (6, 10))
Element 43: (3, (6, 10), ['%', '.', '', '%'], [(15, 5), (18, 7), (14, 9)], [True, False, False, True], 14, False, [False, True, False, False], 387, 'South', (6, 9))
Element 44: (3, (6, 9), ['.', '.', '', '.'], [(15, 6), (18, 8), (13, 9)], [False, False, False, False], 12, False, [True, True, False, True], 396, 'East', (7, 9))
Element 45: (3, (7, 9), ['', '%', '%', '%'], [(15, 5), (18, 9), (13, 8)], [False, True, True, True], 10, False, [False, False, False, False], 415, 'West', (6, 9))
Element 46: (3, (6, 9), ['.', '.', '', ''], [(15, 6), (18, 10), (13, 7)], [False, False, False, False], 8, False, [True, True, False, False], 424, 'South', (6, 8))
Element 47: (3, (6, 8), ['%', '.', '', '%'], [(15, 7), (18, 11), (13, 6)], [True, False, False, True], 6, False, [False, True, False, False], 443, 'South', (6, 7))
Element 48: (3, (6, 7), ['.', '.', '', ''], [(16, 7), (17, 11), (13, 5)], [False, False, False, False], 4, False, [True, True, False, False], 462, 'South', (6, 6))
Element 49: (3, (6, 6), ['.', '.', '', '%'], [(16, 6), (16, 11), (13, 4)], [False, False, False, True], 2, False, [True, True, False, False], 481, 'South', (6, 5))
Element 50: (3, (6, 5), ['.', '.', '', '%'], [(16, 6), (16, 11), (13, 4)], [False, False, False, True], 0, False, [True, True, False, False], 490, 'Stop', (6, 5))
Element 51: #0#
