Element 1: (0, (9, 11), ['.', '.', '%', '.'], [(12, 11), (13, 1), (15, 3)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (10, 11))
Element 2: (0, (10, 11), ['', '.', '%', '.'], [(13, 11), (13, 2), (16, 3)], [False, False, True, False], 96, False, [False, True, False, True], 39, 'East', (11, 11))
Element 3: (0, (11, 11), ['', '%', '%', ''], [(13, 10), (13, 3), (16, 4)], [False, True, True, False], 94, False, [False, False, False, False], 78, 'East', (12, 11))
Element 4: (0, (12, 11), ['', '%', '%', ''], [(13, 9), (13, 4), (16, 5)], [False, True, True, False], 92, False, [False, False, False, False], 107, 'East', (13, 11))
Element 5: (0, (13, 11), ['', '', '%', '%'], [(14, 9), (13, 5), (16, 6)], [False, False, True, True], 90, False, [False, False, False, False], 136, 'South', (13, 10))
Element 6: (0, (13, 10), ['%', '', '', '%'], [(15, 9), (13, 6), (16, 7)], [True, False, False, True], 88, False, [False, False, False, False], 165, 'South', (13, 9))
Element 7: (0, (13, 9), ['.', '.', '', ''], [(16, 9), (13, 7), (17, 7)], [False, False, False, False], 86, False, [True, True, False, False], 194, 'South', (13, 8))
Element 8: (0, (13, 8), ['%', '', '', '%'], [(16, 8), (13, 6), (18, 7)], [True, False, False, True], 84, False, [False, False, False, False], 223, 'South', (13, 7))
Element 9: (0, (13, 7), ['%', '', '', '%'], [(16, 7), (13, 5), (18, 8)], [True, False, False, True], 82, False, [False, False, False, False], 232, 'South', (13, 6))
Element 10: (0, (13, 6), ['%', '', '', '%'], [(15, 7), (13, 4), (18, 9)], [True, False, False, True], 80, False, [False, False, False, False], 251, 'South', (13, 5))
Element 11: (0, (13, 5), ['%', '', '', '%'], [(15, 6), (13, 3), (18, 10)], [True, False, False, True], 78, False, [False, False, False, False], 270, 'South', (13, 4))
Element 12: (0, (13, 4), ['%', '', '', '%'], [(15, 5), (12, 3), (18, 11)], [True, False, False, True], 76, False, [False, False, False, False], 289, 'South', (13, 3))
