Element 39: (0, (13, 7), ['%', '', '', '%'], [(13, 10), (15, 4), (16, 5)], [True, False, False, True], 22, False, [False, False, False, False], 712, 'North', (13, 8))
Element 40: (0, (13, 8), ['%', '', 'G', '%'], [(13, 9), (15, 5), (16, 6)], [True, False, False, True], 20, False, [False, False, False, False], 731, 'South', (13, 7))
Element 41: (0, (13, 7), ['%', '', '', '%'], [(14, 9), (15, 6), (16, 5)], [True, False, False, True], 18, False, [False, False, False, False], 740, 'South', (13, 6))
Element 42: (0, (13, 6), ['%', '', '', '%'], [(15, 9), (15, 7), (16, 4)], [True, False, False, True], 16, False, [False, False, False, False], 749, 'South', (13, 5))
Element 43: (0, (13, 5), ['%', '', '', '%'], [(16, 9), (16, 7), (16, 3)], [True, False, False, True], 14, False, [False, False, False, False], 748, 'South', (13, 4))
Element 44: (0, (13, 4), ['%', '', '', '%'], [(16, 8), (17, 7), (15, 3)], [True, False, False, True], 12, False, [False, False, False, False], 747, 'South', (13, 3))
Element 45: (0, (13, 3), ['', '', '', '%'], [(16, 7), (18, 7), (15, 4)], [False, False, False, True], 10, False, [False, False, False, False], 746, 'South', (13, 2))
Element 46: (0, (13, 2), ['%', '', '', '%'], [(17, 7), (18, 6), (15, 5)], [True, False, False, True], 8, False, [False, False, False, False], 745, 'South', (13, 1))
Element 47: (0, (13, 1), ['', '%', '', '%'], [(18, 7), (18, 7), (15, 6)], [False, True, False, True], 6, False, [False, False, False, False], 744, 'West', (12, 1))
Element 48: (0, (12, 1), ['', '%', '%', ''], [(18, 8), (17, 7), (15, 7)], [False, True, True, False], 4, False, [False, False, False, False], 743, 'West', (11, 1))
Element 49: (0, (11, 1), ['', '%', '%', ''], [(18, 9), (17, 7), (15, 6)], [False, True, True, False], 2, False, [False, False, False, False], 742, 'West', (10, 1))
Element 50: (0, (10, 1), ['', '%', '%', ''], [(18, 10), (17, 7), (15, 5)], [False, True, True, False], 0, False, [False, False, False, False], 741, 'Stop', (10, 1))
Element 51: #0#
